#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa00983	Drug metabolism - other enzymes	5	74	0.85	0.64	0.0020	9606.ENSP00000300738,9606.ENSP00000354357,9606.ENSP00000356864,9606.ENSP00000360002,9606.ENSP00000482639	RRM1,GSTM3,MGST3,GSTA4,MGST2
hsa04630	JAK-STAT signaling pathway	7	158	0.66	0.58	0.0022	9606.ENSP00000262367,9606.ENSP00000270139,9606.ENSP00000341208,9606.ENSP00000346508,9606.ENSP00000428056,9606.ENSP00000489597,9606.ENSP00000500582	CREBBP,IFNAR1,STAT5A,PDGFA,PIK3R1,PTPN11,AKT3
hsa04962	Vasopressin-regulated water reabsorption	4	43	0.99	0.66	0.0022	9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000387699	PRKACA,CREB3L2,CREB3,CREB1
hsa05204	Chemical carcinogenesis	5	76	0.84	0.62	0.0022	9606.ENSP00000354357,9606.ENSP00000356864,9606.ENSP00000360002,9606.ENSP00000420269,9606.ENSP00000482639	GSTM3,MGST3,GSTA4,ADH7,MGST2
hsa04621	NOD-like receptor signaling pathway	7	173	0.63	0.53	0.0036	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000263464,9606.ENSP00000270139,9606.ENSP00000384273,9606.ENSP00000400175,9606.ENSP00000483825	MAPK14,MAPK3,BIRC3,IFNAR1,RELA,RHOA,IKBKG
hsa04330	Notch signaling pathway	4	52	0.9	0.58	0.0041	9606.ENSP00000262367,9606.ENSP00000290921,9606.ENSP00000362649,9606.ENSP00000364163	CREBBP,CTBP1,HDAC1,NOTCH4
hsa04070	Phosphatidylinositol signaling system	5	94	0.74	0.53	0.0053	9606.ENSP00000264380,9606.ENSP00000357883,9606.ENSP00000365757,9606.ENSP00000428056,9606.ENSP00000466363	PIKFYVE,PIP5K1A,PIP4K2A,PIK3R1,PIP5K1C
hsa00564	Glycerophospholipid metabolism	5	97	0.73	0.52	0.0060	9606.ENSP00000243501,9606.ENSP00000263088,9606.ENSP00000371886,9606.ENSP00000393847,9606.ENSP00000396045	PLA2G12A,PLD2,JMJD7-PLA2G4B,PLA2G10,PLA2G4B
hsa00590	Arachidonic acid metabolism	4	60	0.84	0.53	0.0066	9606.ENSP00000243501,9606.ENSP00000371886,9606.ENSP00000393847,9606.ENSP00000396045	PLA2G12A,JMJD7-PLA2G4B,PLA2G10,PLA2G4B
hsa04217	Necroptosis	6	147	0.63	0.48	0.0071	9606.ENSP00000263464,9606.ENSP00000270139,9606.ENSP00000295006,9606.ENSP00000341208,9606.ENSP00000371886,9606.ENSP00000396045	BIRC3,IFNAR1,CAPN2,STAT5A,JMJD7-PLA2G4B,PLA2G4B
hsa04929	GnRH secretion	4	63	0.82	0.51	0.0077	9606.ENSP00000263025,9606.ENSP00000378517,9606.ENSP00000428056,9606.ENSP00000500582	MAPK3,SPP1,PIK3R1,AKT3
hsa04726	Serotonergic synapse	5	108	0.68	0.47	0.0091	9606.ENSP00000263025,9606.ENSP00000290277,9606.ENSP00000309591,9606.ENSP00000371886,9606.ENSP00000396045	MAPK3,ARAF,PRKACA,JMJD7-PLA2G4B,PLA2G4B
hsa04724	Glutamatergic synapse	5	112	0.67	0.46	0.0104	9606.ENSP00000263025,9606.ENSP00000263088,9606.ENSP00000309591,9606.ENSP00000371886,9606.ENSP00000396045	MAPK3,PLD2,PRKACA,JMJD7-PLA2G4B,PLA2G4B
hsa00562	Inositol phosphate metabolism	4	72	0.76	0.46	0.0118	9606.ENSP00000264380,9606.ENSP00000357883,9606.ENSP00000365757,9606.ENSP00000466363	PIKFYVE,PIP5K1A,PIP4K2A,PIP5K1C
hsa05340	Primary immunodeficiency	3	37	0.93	0.48	0.0127	9606.ENSP00000264972,9606.ENSP00000411355,9606.ENSP00000483825	ZAP70,PTPRC,IKBKG
hsa04216	Ferroptosis	3	41	0.88	0.45	0.0165	9606.ENSP00000346437,9606.ENSP00000359258,9606.ENSP00000495750	ATG7,GCLM,GSS
hsa04930	Type II diabetes mellitus	3	45	0.84	0.42	0.0209	9606.ENSP00000263025,9606.ENSP00000306124,9606.ENSP00000428056	MAPK3,PRKCE,PIK3R1
hsa04540	Gap junction	4	87	0.68	0.4	0.0216	9606.ENSP00000263025,9606.ENSP00000309591,9606.ENSP00000346508,9606.ENSP00000348416	MAPK3,PRKACA,PDGFA,TJP1
hsa00270	Cysteine and methionine metabolism	3	46	0.83	0.42	0.0218	9606.ENSP00000359258,9606.ENSP00000366156,9606.ENSP00000495750	GCLM,SRM,GSS
hsa00280	Valine, leucine and isoleucine degradation	3	46	0.83	0.42	0.0218	9606.ENSP00000325136,9606.ENSP00000345774,9606.ENSP00000346827	HADHB,ALDH3A2,ALDH9A1
hsa05144	Malaria	3	46	0.83	0.42	0.0218	9606.ENSP00000222390,9606.ENSP00000317272,9606.ENSP00000355751	HGF,MET,THBS2
hsa00330	Arginine and proline metabolism	3	47	0.82	0.41	0.0227	9606.ENSP00000345774,9606.ENSP00000346827,9606.ENSP00000366156	ALDH3A2,ALDH9A1,SRM
hsa04640	Hematopoietic cell lineage	4	90	0.67	0.39	0.0234	9606.ENSP00000241453,9606.ENSP00000296585,9606.ENSP00000385519,9606.ENSP00000452786	FLT3,ITGA2,CD14,ITGB3
hsa04657	IL-17 signaling pathway	4	91	0.66	0.39	0.0241	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000384273,9606.ENSP00000483825	MAPK14,MAPK3,RELA,IKBKG
hsa04913	Ovarian steroidogenesis	3	50	0.8	0.39	0.0261	9606.ENSP00000309591,9606.ENSP00000371886,9606.ENSP00000396045	PRKACA,JMJD7-PLA2G4B,PLA2G4B
hsa04972	Pancreatic secretion	4	97	0.63	0.37	0.0293	9606.ENSP00000243501,9606.ENSP00000358723,9606.ENSP00000393847,9606.ENSP00000400175	PLA2G12A,RAP1A,PLA2G10,RHOA
hsa04923	Regulation of lipolysis in adipocytes	3	54	0.76	0.37	0.0313	9606.ENSP00000309591,9606.ENSP00000428056,9606.ENSP00000500582	PRKACA,PIK3R1,AKT3
hsa05168	Herpes simplex virus 1 infection	10	478	0.34	0.31	0.0341	9606.ENSP00000263464,9606.ENSP00000270139,9606.ENSP00000326031,9606.ENSP00000379873,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000452786,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000500582	BIRC3,IFNAR1,PPP1CA,HLA-A,RELA,PIK3R1,ITGB3,IKBKG,PTPN11,AKT3
hsa00340	Histidine metabolism	2	21	1.0	0.38	0.0364	9606.ENSP00000345774,9606.ENSP00000346827	ALDH3A2,ALDH9A1
hsa00010	Glycolysis / Gluconeogenesis	3	64	0.69	0.33	0.0471	9606.ENSP00000345774,9606.ENSP00000346827,9606.ENSP00000420269	ALDH3A2,ALDH9A1,ADH7
