#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa01522	Endocrine resistance	9	94	1.0	1.24	2.11e-06	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000290277,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000364163,9606.ENSP00000364995,9606.ENSP00000428056,9606.ENSP00000500582	MAPK14,MAPK3,ARAF,RPS6KB2,PRKACA,NOTCH4,SHC3,PIK3R1,AKT3
hsa04917	Prolactin signaling pathway	8	68	1.09	1.29	2.14e-06	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000339527,9606.ENSP00000341208,9606.ENSP00000364995,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000500582	MAPK14,MAPK3,FOXO3,STAT5A,SHC3,RELA,PIK3R1,AKT3
hsa04728	Dopaminergic synapse	10	126	0.92	1.17	2.42e-06	9606.ENSP00000229795,9606.ENSP00000261461,9606.ENSP00000309591,9606.ENSP00000326031,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699,9606.ENSP00000418447,9606.ENSP00000500582	MAPK14,PPP2R5A,PRKACA,PPP1CA,CREB3L2,ATF4,CREB3,CREB1,PPP2CA,AKT3
hsa01524	Platinum drug resistance	8	70	1.08	1.27	2.56e-06	9606.ENSP00000263025,9606.ENSP00000263464,9606.ENSP00000354357,9606.ENSP00000356864,9606.ENSP00000360002,9606.ENSP00000428056,9606.ENSP00000482639,9606.ENSP00000500582	MAPK3,BIRC3,GSTM3,MGST3,GSTA4,PIK3R1,MGST2,AKT3
hsa04659	Th17 cell differentiation	9	99	0.98	1.2	3.03e-06	9606.ENSP00000229795,9606.ENSP00000254066,9606.ENSP00000263025,9606.ENSP00000264972,9606.ENSP00000341208,9606.ENSP00000351905,9606.ENSP00000363817,9606.ENSP00000384273,9606.ENSP00000483825	MAPK14,RARA,MAPK3,ZAP70,STAT5A,TGFBR2,RXRB,RELA,IKBKG
hsa04620	Toll-like receptor signaling pathway	9	100	0.97	1.19	3.24e-06	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000270139,9606.ENSP00000378517,9606.ENSP00000384273,9606.ENSP00000385519,9606.ENSP00000428056,9606.ENSP00000483825,9606.ENSP00000500582	MAPK14,MAPK3,IFNAR1,SPP1,RELA,CD14,PIK3R1,IKBKG,AKT3
hsa04140	Autophagy - animal	10	131	0.9	1.14	3.25e-06	9606.ENSP00000263025,9606.ENSP00000289104,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000311318,9606.ENSP00000346437,9606.ENSP00000361306,9606.ENSP00000418447,9606.ENSP00000428056,9606.ENSP00000500582	MAPK3,MRAS,RPS6KB2,PRKACA,ATG4D,ATG7,ATG4A,PPP2CA,PIK3R1,AKT3
hsa04144	Endocytosis	13	241	0.75	1.03	3.25e-06	9606.ENSP00000228825,9606.ENSP00000263088,9606.ENSP00000264033,9606.ENSP00000294742,9606.ENSP00000298316,9606.ENSP00000351905,9606.ENSP00000357883,9606.ENSP00000379873,9606.ENSP00000400175,9606.ENSP00000410294,9606.ENSP00000429900,9606.ENSP00000466363,9606.ENSP00000497733	ARPC3,PLD2,CBL,ARPC5,ARF6,TGFBR2,PIP5K1A,HLA-A,RHOA,FGFR2,ASAP1,PIP5K1C,CDC42
hsa05133	Pertussis	8	73	1.06	1.24	3.26e-06	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000298159,9606.ENSP00000379350,9606.ENSP00000384273,9606.ENSP00000385519,9606.ENSP00000400175,9606.ENSP00000432660	MAPK14,MAPK3,CFL2,ITGB1,RELA,CD14,RHOA,CFL1
hsa04915	Estrogen signaling pathway	10	133	0.89	1.13	3.59e-06	9606.ENSP00000254066,9606.ENSP00000263025,9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364995,9606.ENSP00000387699,9606.ENSP00000428056,9606.ENSP00000500582	RARA,MAPK3,PRKACA,CREB3L2,ATF4,CREB3,SHC3,CREB1,PIK3R1,AKT3
