#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0016491	Oxidoreductase activity	29	731	0.62	1.06	6.94e-08	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000266544,9606.ENSP00000290921,9606.ENSP00000299335,9606.ENSP00000300738,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000325136,9606.ENSP00000345774,9606.ENSP00000346827,9606.ENSP00000356864,9606.ENSP00000359098,9606.ENSP00000360688,9606.ENSP00000364699,9606.ENSP00000371886,9606.ENSP00000407336,9606.ENSP00000420269,9606.ENSP00000438689,9606.ENSP00000441126,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000482639,9606.ENSP00000483888,9606.ENSP00000497587	COX15,NDUFB4,COX6A1,NDUFA2,COX5B,NDUFB5,NDUFA9,CTBP1,COX11,RRM1,UQCRFS1,COX5A,HADHB,ALDH3A2,ALDH9A1,MGST3,COX7A2,TXNDC12,SDHD,JMJD7-PLA2G4B,NDUFB3,ADH7,ACADVL,NDUFC1,COX6B1,UQCR11,MGST2,NDUFB1,NDUFV1
GO:0019904	Protein domain specific binding	28	695	0.62	1.06	9.81e-08	9606.ENSP00000216181,9606.ENSP00000231487,9606.ENSP00000254066,9606.ENSP00000262320,9606.ENSP00000264033,9606.ENSP00000264634,9606.ENSP00000266970,9606.ENSP00000268182,9606.ENSP00000286201,9606.ENSP00000290921,9606.ENSP00000300574,9606.ENSP00000300738,9606.ENSP00000309591,9606.ENSP00000336790,9606.ENSP00000338157,9606.ENSP00000346839,9606.ENSP00000348416,9606.ENSP00000362649,9606.ENSP00000363826,9606.ENSP00000365042,9606.ENSP00000371897,9606.ENSP00000384273,9606.ENSP00000400175,9606.ENSP00000417273,9606.ENSP00000428924,9606.ENSP00000483825,9606.ENSP00000495556,9606.ENSP00000497733	MYH9,SKP1,RARA,AXIN1,CBL,WNT5A,CDK2,IQGAP1,FZD7,CTBP1,CRK,RRM1,PRKACA,ATF4,ZBTB16,FN1,TJP1,HDAC1,FZD8,CSNK2B,ARHGAP5,RELA,RHOA,NCK1,LYN,IKBKG,TBL1X,CDC42
GO:0098772	Molecular function regulator activity	48	1960	0.41	0.78	3.99e-07	9606.ENSP00000222390,9606.ENSP00000225655,9606.ENSP00000229379,9606.ENSP00000257430,9606.ENSP00000258111,9606.ENSP00000261461,9606.ENSP00000263464,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000267843,9606.ENSP00000268182,9606.ENSP00000287842,9606.ENSP00000289104,9606.ENSP00000293829,9606.ENSP00000298316,9606.ENSP00000303507,9606.ENSP00000306124,9606.ENSP00000314067,9606.ENSP00000319370,9606.ENSP00000337261,9606.ENSP00000339916,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000348461,9606.ENSP00000352414,9606.ENSP00000357177,9606.ENSP00000358723,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000359258,9606.ENSP00000363081,9606.ENSP00000365042,9606.ENSP00000371897,9606.ENSP00000375821,9606.ENSP00000378367,9606.ENSP00000378517,9606.ENSP00000379092,9606.ENSP00000382697,9606.ENSP00000385886,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000417273,9606.ENSP00000420269,9606.ENSP00000428056,9606.ENSP00000429900,9606.ENSP00000472929,9606.ENSP00000482639,9606.ENSP00000497733	HGF,PFN1,COX6A1,APC,KCNMB4,PPP2R5A,BIRC3,WNT5A,WNT2,FGF7,IQGAP1,NRG1,MRAS,FGF11,ARF6,BCR,PRKCE,PAK2,KCNMB3,ARHGEF1,LIMK2,PDGFA,FN1,RAC1,FGF17,ARHGEF11,RAP1A,FLNA,VAV3,GCLM,DKK1,CSNK2B,ARHGAP5,PPP1R12B,NRG4,SPP1,BTC,ROCK1,RASGRP3,PPP1R12A,RHOA,NCK1,ADH7,PIK3R1,ASAP1,VAV1,MGST2,CDC42
GO:0051219	Phosphoprotein binding	11	92	1.1	1.34	1.23e-06	9606.ENSP00000225655,9606.ENSP00000263025,9606.ENSP00000264033,9606.ENSP00000264972,9606.ENSP00000300574,9606.ENSP00000364995,9606.ENSP00000365012,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000489597	PFN1,MAPK3,CBL,ZAP70,CRK,SHC3,HCK,PIK3R1,LYN,VAV1,PTPN11
GO:0016773	Phosphotransferase activity, alcohol group as acceptor	26	692	0.59	0.93	1.42e-06	9606.ENSP00000229795,9606.ENSP00000241453,9606.ENSP00000263025,9606.ENSP00000264380,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000282397,9606.ENSP00000290277,9606.ENSP00000303507,9606.ENSP00000306124,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000329127,9606.ENSP00000339916,9606.ENSP00000351905,9606.ENSP00000357883,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000365757,9606.ENSP00000382697,9606.ENSP00000410294,9606.ENSP00000428924,9606.ENSP00000466363,9606.ENSP00000500582	MAPK14,FLT3,MAPK3,PIKFYVE,ZAP70,CDK2,FLT1,ARAF,BCR,PRKCE,RPS6KB2,PRKACA,PAK2,MET,PRKCH,LIMK2,TGFBR2,PIP5K1A,HCK,CSNK2B,PIP4K2A,ROCK1,FGFR2,LYN,PIP5K1C,AKT3
GO:0015078	Proton transmembrane transporter activity	12	126	1.0	1.23	2.25e-06	9606.ENSP00000016171,9606.ENSP00000229379,9606.ENSP00000253413,9606.ENSP00000258424,9606.ENSP00000290949,9606.ENSP00000302194,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000329757,9606.ENSP00000411672,9606.ENSP00000434729,9606.ENSP00000466818	COX15,COX6A1,ATP6V1E1,COX5B,ATP6V0D1,ATP6V1G2,UQCRFS1,COX5A,ATP6V0C,ATP6V0E2,ATP6V0B,COX6B1
GO:0050839	Cell adhesion molecule binding	23	560	0.63	0.95	2.25e-06	9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000225655,9606.ENSP00000264033,9606.ENSP00000268182,9606.ENSP00000287842,9606.ENSP00000296585,9606.ENSP00000314067,9606.ENSP00000324532,9606.ENSP00000326031,9606.ENSP00000327290,9606.ENSP00000346839,9606.ENSP00000348416,9606.ENSP00000354826,9606.ENSP00000358866,9606.ENSP00000378517,9606.ENSP00000379350,9606.ENSP00000382004,9606.ENSP00000417273,9606.ENSP00000428924,9606.ENSP00000429900,9606.ENSP00000452786,9606.ENSP00000489597	ITGB4,MYH9,PFN1,CBL,IQGAP1,NRG1,ITGA2,PAK2,LAMA3,PPP1CA,ITGA11,FN1,TJP1,CALD1,FLNA,SPP1,ITGB1,CTNND1,NCK1,LYN,ASAP1,ITGB3,PTPN11
GO:0043168	Anion binding	52	2404	0.35	0.68	3.19e-06	9606.ENSP00000216181,9606.ENSP00000225655,9606.ENSP00000229795,9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000263025,9606.ENSP00000264380,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000268182,9606.ENSP00000282397,9606.ENSP00000286201,9606.ENSP00000289104,9606.ENSP00000290277,9606.ENSP00000297029,9606.ENSP00000298316,9606.ENSP00000300738,9606.ENSP00000303507,9606.ENSP00000306124,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000329127,9606.ENSP00000339916,9606.ENSP00000348461,9606.ENSP00000351905,9606.ENSP00000354357,9606.ENSP00000354952,9606.ENSP00000357883,9606.ENSP00000358723,9606.ENSP00000365012,9606.ENSP00000365757,9606.ENSP00000371897,9606.ENSP00000379616,9606.ENSP00000382697,9606.ENSP00000384273,9606.ENSP00000400175,9606.ENSP00000410294,9606.ENSP00000420269,9606.ENSP00000428924,9606.ENSP00000429900,9606.ENSP00000438689,9606.ENSP00000458162,9606.ENSP00000458770,9606.ENSP00000466363,9606.ENSP00000482639,9606.ENSP00000493594,9606.ENSP00000495750,9606.ENSP00000497587,9606.ENSP00000497733,9606.ENSP00000500582	MYH9,PFN1,MAPK14,FLT3,RARA,MAPK3,PIKFYVE,ZAP70,CDK2,IQGAP1,FLT1,FZD7,MRAS,ARAF,SCIN,ARF6,RRM1,BCR,PRKCE,RPS6KB2,PRKACA,PAK2,MET,PRKCH,LIMK2,RAC1,TGFBR2,GSTM3,GAB2,PIP5K1A,RAP1A,HCK,PIP4K2A,ARHGAP5,MYH11,ROCK1,RELA,RHOA,FGFR2,ADH7,LYN,ASAP1,ACADVL,ACTG1,NDUFAB1,PIP5K1C,MGST2,MYH14,GSS,NDUFV1,CDC42,AKT3
GO:0016301	Kinase activity	27	788	0.55	0.86	3.52e-06	9606.ENSP00000229795,9606.ENSP00000241453,9606.ENSP00000263025,9606.ENSP00000264380,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000282397,9606.ENSP00000290277,9606.ENSP00000303507,9606.ENSP00000306124,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000329127,9606.ENSP00000339916,9606.ENSP00000351905,9606.ENSP00000357883,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000365757,9606.ENSP00000382697,9606.ENSP00000410294,9606.ENSP00000428924,9606.ENSP00000466363,9606.ENSP00000483825,9606.ENSP00000500582	MAPK14,FLT3,MAPK3,PIKFYVE,ZAP70,CDK2,FLT1,ARAF,BCR,PRKCE,RPS6KB2,PRKACA,PAK2,MET,PRKCH,LIMK2,TGFBR2,PIP5K1A,HCK,CSNK2B,PIP4K2A,ROCK1,FGFR2,LYN,PIP5K1C,IKBKG,AKT3
GO:0004672	Protein kinase activity	23	583	0.61	0.91	3.70e-06	9606.ENSP00000229795,9606.ENSP00000241453,9606.ENSP00000263025,9606.ENSP00000264380,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000282397,9606.ENSP00000290277,9606.ENSP00000303507,9606.ENSP00000306124,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000329127,9606.ENSP00000339916,9606.ENSP00000351905,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000382697,9606.ENSP00000410294,9606.ENSP00000428924,9606.ENSP00000500582	MAPK14,FLT3,MAPK3,PIKFYVE,ZAP70,CDK2,FLT1,ARAF,BCR,PRKCE,RPS6KB2,PRKACA,PAK2,MET,PRKCH,LIMK2,TGFBR2,HCK,CSNK2B,ROCK1,FGFR2,LYN,AKT3
