"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"ADGRE5","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"ADORA2B","up",-0.0464086481801797,10.4591913564194,-0.0813484405568436,0.935863491233349,0.995393294915256,TRUE,"down",FALSE,FALSE
"AKR1B10","up",-0.903469524937982,11.640910656375,-0.685179919330469,0.500028545755836,0.974763679508199,TRUE,"down",FALSE,FALSE
"CAPN6","down",0.260104862793319,11.6850526705876,0.480215842991961,0.635576694526961,0.974763679508199,TRUE,"up",FALSE,FALSE
"CASP1","up",0.176080315330237,13.6346532148971,0.631071501764295,0.534170290238328,0.974763679508199,TRUE,"up",TRUE,FALSE
"CD52","up",0.153437998453004,11.8470563341472,0.477405571192161,0.637546063968144,0.974763679508199,TRUE,"up",TRUE,FALSE
"CDKN1C","down",0.500239849129119,10.3167343683976,1.18308104612363,0.248774844108505,0.974763679508199,TRUE,"up",FALSE,FALSE
"CHD3","down",0.378199788615112,12.8514259713249,1.15408367199918,0.260231619604052,0.974763679508199,TRUE,"up",FALSE,FALSE
"CIRBP","down",0.167550515979832,18.4747323061495,0.571492792884291,0.573168409512739,0.974763679508199,TRUE,"up",FALSE,FALSE
"CKMT1A","up",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"CKS2","up",0.535305437591847,11.756036700751,1.10423020069023,0.280829498250137,0.974763679508199,TRUE,"up",TRUE,FALSE
"CLDN1","up",-0.69441814845424,9.53495835507748,-1.39737263304308,0.175540454876865,0.974763679508199,TRUE,"down",FALSE,FALSE
"COL17A1","up",-0.383436167828006,10.0071022564203,-0.664726332575037,0.512787908575274,0.974763679508199,TRUE,"down",FALSE,FALSE
"CRAT","down",0.388201316884907,12.7901796756297,1.19968947489712,0.242384428813563,0.974763679508199,TRUE,"up",FALSE,FALSE
"DIO2","up",-1.06000733274162,12.960960328862,-1.40825478228734,0.172333222774757,0.974763679508199,TRUE,"down",FALSE,FALSE
"DKK1","up",0.658070126166252,13.9024058583048,0.795987527120971,0.43411942017825,0.974763679508199,TRUE,"up",TRUE,FALSE
