"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"SLC24A4",1.04116686250346,8.751362700068,4.43187059004514,6.79732769131048e-05,0.967211871231795
"ANGPTL5",1.40495436336407,9.78523912909618,4.05262927881491,0.000219665810629918,0.967211871231795
"RSAD2",1.42879015958255,8.88820912204378,3.76040197920102,0.000529314772568876,0.967211871231795
"THBS1",1.59578401814047,14.2056004619422,3.73668789634978,0.000567860858038814,0.967211871231795
"NR4A3",1.56289505210848,10.8723010857501,3.73159321322828,0.000576488628358915,0.967211871231795
"ZNF569",1.01192042472183,10.046874335254,3.68855632718297,0.000654593744748307,0.967211871231795
"F5",1.20538252197494,9.33835440044814,3.65663489731786,0.00071901418478769,0.967211871231795
"KRTAP8-1",0.881485798618835,8.84486024729006,3.56908606030269,0.000928552041956418,0.967211871231795
"UNQ6122",0.863883527772381,8.49200660824516,3.49054230586175,0.00116546376845564,0.967211871231795
"PDE4B",1.32060427266656,9.69717051129252,3.48485152366992,0.0011847135500862,0.967211871231795
"IL6",2.46600953912384,12.306243191845,3.47972804534443,0.00120230447190047,0.967211871231795
"LOC222171",0.958331467969648,8.68583774602609,3.46541568783048,0.00125277914078931,0.967211871231795
"GNRHR2",0.742593125196084,8.83488204999426,3.42771912155719,0.00139560742200446,0.967211871231795
"TREM1",1.60542241181507,9.58847349826723,3.40403968061801,0.00149314786274225,0.967211871231795
"GDF15",1.28033890700456,10.6603029104516,3.38281000731477,0.00158610218600354,0.967211871231795
"TNFSF14",1.16064450495783,9.49552399425047,3.37835636482169,0.00160629116417418,0.967211871231795
"ZNF331",1.39684168738637,14.7944006794001,3.34728883032885,0.00175409652402943,0.967211871231795
"SLC2A12",1.2052181381953,9.20782713387339,3.3315744621102,0.00183370848056216,0.967211871231795
"SAMSN1",1.21225772166441,10.9948125176099,3.30433693199432,0.00197991185946545,0.967211871231795
"FPRL1",1.18008244247618,9.03402495447317,3.30415867350438,0.00198090426475997,0.967211871231795
"CLC",0.93619082196784,9.77312208798584,3.2895060855434,0.0020641162077401,0.967211871231795
"FLJ34633",1.02509444109757,9.22835817315237,3.28896933583778,0.00206722663657221,0.967211871231795
"GK",1.35301434033885,9.5759855417301,3.24418776606413,0.00234301761706816,0.967211871231795
"GPR1",1.03337636383176,9.31445547346549,3.19105513147242,0.00271554717259383,0.967211871231795
"FLJ13941",0.868624074716644,8.79889691648339,3.18978511368959,0.00272510375165008,0.967211871231795
"ICAM1",1.30617382003061,11.752615556863,3.17223906370718,0.00286043551361061,0.967211871231795
"KIAA1559",0.914173511554986,12.2921632029226,3.16643556044243,0.00290658016663488,0.967211871231795
"CIAS1",1.04600323170075,10.0733167457563,3.14267621643216,0.00310293847289865,0.967211871231795
"BMP6",0.86311935433834,11.1894736824257,3.12257989767499,0.0032787444110385,0.967211871231795
"GDAP1L1",0.809340435769848,8.79689085107429,3.11401462518503,0.00335649791471309,0.967211871231795
"HAS1",1.23348451252283,9.45131492261638,3.108443635735,0.00340800059065489,0.967211871231795
"SOCS3",1.49354630739679,10.8396608538576,3.10296085380138,0.00345941516257798,0.967211871231795
"MGC42090",0.649866413983055,9.724993801142,3.09683272433333,0.00351774710694299,0.967211871231795
"GEM",1.04557037217821,15.1916354642652,3.07815363370115,0.00370132252702629,0.967211871231795
"YEATS4",0.826524232167436,11.3663902826636,3.06264520735483,0.0038605578088602,0.967211871231795
"PPP1R15B",1.10795438541969,10.4619705728091,3.05939152286121,0.00389477423703938,0.967211871231795
"PBEF1",0.941720356568693,12.4300169179465,3.05762450837481,0.00391347595748443,0.967211871231795
"HAS2",1.44225107697794,9.58466963360454,3.0433073424505,0.0040681531367735,0.967211871231795
"PLAUR",1.16400830967403,11.7943479305714,3.03550847431247,0.00415481077230573,0.967211871231795
"OR5J2",0.67117554948509,8.32946682763363,3.01287331236488,0.00441625511825655,0.967211871231795
"GC",0.785020568845298,8.09957274959375,3.01100982965855,0.00443845390315727,0.967211871231795
"C14orf148",1.04540915453944,8.99856448727186,2.99046143412663,0.00469028593503762,0.967211871231795
"FCAR",0.875840234520437,9.38460189589795,2.98153500071162,0.00480380972577793,0.967211871231795
"SERPINA10",0.913069113540314,8.53060298099913,2.97391819801762,0.00490271059093571,0.967211871231795
"PLA2G2A",2.01356222523699,10.2566406773002,2.97191839433402,0.00492899180890872,0.967211871231795
"MOG",0.737529995082454,9.32404122291654,2.96349418350116,0.00504115855272077,0.967211871231795
"TAGAP",0.759994199807212,10.7071655308226,2.94949842804142,0.00523281210521816,0.967211871231795
"PTPN4",0.633722269515893,9.64225551960337,2.92906225169122,0.00552494398814778,0.967211871231795
"SLC12A3",1.0368650356001,9.48439317629792,2.92839708459797,0.00553470407218059,0.967211871231795
"ATOH7",0.76109972789314,9.82276981899744,2.9136385078631,0.00575545104060468,0.967211871231795
