"PATH","Nh_POP_preranked","NES_POP_preranked","p.adjust_POP_preranked","Nh_Wei2020","NES_Wei2020","p.adjust_Wei2020","Mesma_direcao"
"00230",144,-1.32744064116291,0.0593951503042412,36,1.4695269893301,0.225386858039919,FALSE
"00563",24,-1.25991405180712,0.170199548350809,13,1.59068363262807,0.17488962650253,FALSE
"00564",61,1.04134346902914,0.230981140072049,28,1.84045090621458,0.0944937415525651,TRUE
"03010",85,-2.13222319414463,0.00725940725940726,47,3.19483342569956,0.0501998001998002,FALSE
"03013",117,-1.36486386349397,0.0598901098901099,49,1.86442446105976,0.0944937415525651,FALSE
"04012",80,1.72812014552319,0.00725940725940726,34,-1.77570493115662,0.0944937415525651,FALSE
"04020",170,1.74202755796058,0.00725940725940726,58,1.50781498565463,0.225386858039919,TRUE
"04140",29,1.2550618488937,0.154427390791027,6,1.38768748198657,0.243275954814416,TRUE
"04144",175,1.5908769252572,0.00725940725940726,69,-1.69059171976844,0.0573712002283431,FALSE
"04145",136,1.00842929633804,0.230981140072049,64,-1.128641630351,0.225386858039919,FALSE
"04146",73,-1.14281569574606,0.227990759240759,27,1.55143807252403,0.195221445221445,FALSE
"04270",105,1.21671126316712,0.112258875145473,37,-1.54552058147886,0.130956000521218,FALSE
"04310",144,1.12645693342756,0.131092208762112,57,-1.40612860144951,0.158966033966034,FALSE
"04360",124,1.46006753690945,0.0241980241980242,48,-1.63900973223207,0.0912723639996367,FALSE
"04370",67,1.36538983015683,0.0618393951727285,30,-1.41671030594003,0.17488962650253,FALSE
"04380",121,1.6871057676595,0.00725940725940726,57,-1.24451484735948,0.189324960753532,FALSE
"04510",184,1.72440495573891,0.00725940725940726,71,-2.00272334450704,0.0501998001998002,FALSE
"04512",82,1.6449622764537,0.0120990120990121,22,-1.94215664496338,0.0752997002997003,FALSE
"04520",66,1.34457070086248,0.0502574348728195,30,-1.47673871984592,0.127781309599491,FALSE
"04621",44,1.90040869730303,0.00725940725940726,28,-1.37469304442564,0.171051171051171,FALSE
"04660",102,1.18577633059973,0.113335643947889,36,-1.36141856513844,0.182544727999273,FALSE
"04662",70,1.35853478715955,0.0536564884390971,27,-2.20641027867097,0.0573712002283431,FALSE
"04666",83,1.02678742883837,0.241802315331727,45,-1.58347522684008,0.12047952047952,FALSE
"04810",197,1.67212191704546,0.00725940725940726,82,-1.55997393689117,0.0944937415525651,FALSE
"04910",129,1.3779449355079,0.0241980241980242,44,-1.15659216094546,0.225386858039919,FALSE
"05212",66,1.54483945382073,0.0298916769505005,26,-1.40760575203876,0.17488962650253,FALSE
"05213",49,1.10378060487425,0.198617382617383,22,-1.61997876779583,0.12047952047952,FALSE
"05214",60,1.34295797068251,0.0734381897172595,22,-1.23282623858565,0.225386858039919,FALSE
"05215",83,1.57295261747233,0.00725940725940726,34,-1.90148104499671,0.0501998001998002,FALSE
"05217",54,-1.15599221707196,0.222926679619593,16,1.71311652484044,0.12430426716141,FALSE
"05218",70,1.36899643062952,0.0552123932405623,23,-1.88482032646042,0.0912723639996367,FALSE
"05219",37,1.38803574969777,0.078303718753157,15,-1.28742101369286,0.225386858039919,FALSE
"05220",69,1.57781012312759,0.00725940725940726,35,-1.63837236111175,0.0944937415525651,FALSE
"05221",54,1.415778325551,0.0593951503042412,23,-1.65642796138516,0.111555111555112,FALSE
"05223",50,1.13810576536109,0.170596070596071,20,-1.58062786289608,0.169907016060862,FALSE
"05310",30,-1.53310055069333,0.0552123932405623,13,1.45992379581588,0.225386858039919,FALSE
