"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"03030",1,30,16752,14,0.0247913788180861,"MCM4",0.139491675245152
"04621",1,42,16752,14,0.0345471588310591,"CASP1",0.139491675245152
"05014",1,47,16752,14,0.0385852566193368,"CASP1",0.139491675245152
"04623",1,50,16752,14,0.0410005814438776,"CASP1",0.139491675245152
"04640",1,79,16752,14,0.0640599805611033,"IL1R2",0.139491675245152
"00240",1,82,16752,14,0.0664158155388742,"NME1",0.139491675245152
"05146",1,101,16752,14,0.0812087027036752,"IL1R2",0.139491675245152
"04110",1,109,16752,14,0.0873719253027953,"MCM4",0.139491675245152
"04142",1,112,16752,14,0.0896732198004548,"LAMP3",0.139491675245152
"00230",1,138,16752,14,0.109393257520705,"NME1",0.143043931362549
"04310",1,142,16752,14,0.112391660356289,"DKK1",0.143043931362549
"04060",1,225,16752,14,0.172532503671329,"IL1R2",0.199301314076127
"04010",1,243,16752,14,0.185065505927832,"IL1R2",0.199301314076127
"01100",1,905,16752,14,0.54060030033862,"NME1",0.54060030033862
