"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"00230",36,0.2958511174445,1.04351415029509,0.4,"PAICS/NME2/PGM1/NME1-NME2/RRM2B/NME3/PGM2/GMPR2/POLE2/ATIC/DCK/PDE6G/ENTPD1/GMPR/AMPD1/AK4/RRM1/IMPDH1/ADPRM/PDE6B/AMPD2/DGUOK/PNP/NUDT9/ADCY9/ENTPD4/POLR3H/NTPCR/ADSL/PDE9A/PDE11A/PDE1B/NME1/PDE7B/PDE4B/PDE8A",0.73394495412844
"00980",27,0.432244896866764,1.21963613810501,0.4,"EPHX1/MGST3/ADH7/ADH1A/UGT1A7/GSTA4/ADH1C/CYP2C8/UGT1A6/CYP2F1/MGST1/GSTM3/AKR1C2/AKR1C4/MGST2/ALDH3B2/CYP2E1/GSTT1/GSTM2/ALDH1A3/GSTK1/ALDH3B1/UGT2B7/CYP2C19/UGT2A1/UGT1A9/CYP1B1",0.73394495412844
"05016",53,0.365921754752631,1.04132195534682,0.4,"GPX1/AP2A1/UQCRB/NDUFAB1/NDUFV1/NDUFB4/BAX/BDNF/CASP8/COX7A2/NDUFB1/SLC25A5/VDAC1/DCTN4/COX6C/UQCRFS1/SDHD/PLCB1/VDAC2/DCTN1/DNAI2/NDUFA5/COX5B/NDUFA11/UQCR11/COX6A1/COX7A2L/TBP/DNAL4/UQCRQ/HDAC1/NDUFC1/NDUFA2/COX6B1/DNALI1/NDUFA9/CLTC/NDUFB3/COX4I2/NDUFB5/COX7C/HTT/COX5A/CREB3/SDHC/CLTA/NDUFA13/CREB3L2/SLC25A31/SP1/CREBBP/CREB1/GRIN1",0.73394495412844
"00040",11,0.423939016449148,1.04644423620512,0.45,"CRYL1/UGT1A7/UGT1A6/UGDH/AKR1B1/ALDH3A2/GUSB/RPE/UGT2B7/UGT2A1/UGT1A9",0.782608695652174
"00564",28,0.298318660588611,1.05807884254512,0.45,"PLA2G10/CDIPT/LPCAT4/GPD1/JMJD7-PLA2G4B/LPCAT3/CRLS1/LPCAT2/PTDSS1/AGPAT2/CEPT1/PLA2G15/PCYT2/AGPAT4/CHPT1/LYPLA1/PLB1/ADPRM/ETNK1/PLA2G12A/PLD2/PLA2G4B/DGKZ/DGKI/PLA2G3/ACHE/LCLAT1/PLA2G4E",0.782608695652174
"03050",13,0.312678372172635,0.926259303817559,0.45,"PSMB11/PSMA1/PSMC5/PSMB2/PSMA5/PSMB5/PSMD6/PSMB3/PSMB4/PSMA3/PSME3/PSMD1/PSME1",0.782608695652174
"04146",27,0.329466799546708,1.03082022462981,0.45,"ACSL5/PEX6/PEX11B/PAOX/PRDX1/PEX12/SLC27A2/MPV17L/HMGCL/PEX2/PEX19/PEX3/ECI2/HSD17B4/PEX7/PIPOX/SCP2/AMACR/CROT/CAT/MPV17/GSTK1/PEX10/ECH1/PEX1/ABCD1/PEX26",0.782608695652174
"05010",53,0.315534990955632,0.965335485171079,0.45,"UQCRB/NDUFAB1/ATP2A1/NDUFV1/CACNA1S/NDUFB4/CASP8/COX7A2/NDUFB1/GRIN2C/ATP2A2/GAPDH/COX6C/BACE1/UQCRFS1/SDHD/CDK5R1/PLCB1/NDUFA5/COX5B/NDUFA11/UQCR11/COX6A1/COX7A2L/TNFRSF1A/UQCRQ/IDE/NDUFC1/NDUFA2/COX6B1/NDUFA9/NDUFB3/NAE1/COX4I2/CAPN2/NDUFB5/COX7C/BACE2/MAPK1/COX5A/ATP2A3/MAPK3/PSENEN/CACNA1C/SDHC/APH1A/NDUFA13/LRP1/APP/LPL/IL1B/MAPT/GRIN1",0.782608695652174
"05217",16,0.374815967737629,0.989351471052896,0.45,"FZD7/PTCH2/GLI3/WNT5A/BMP4/FZD6/AXIN1/BMP2/LEF1/FZD2/FZD1/WNT2/APC2/APC/FZD8/WNT3A",0.782608695652174
"00630",7,0.408206017312287,0.978226095239034,0.5,"MCEE/MDH1/MDH2/GRHPR/HYI/PGP/AFMID",0.840336134453782
