"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"UBL3","down",-0.191651354166665,11.59378818375,-4.31234558619319,0.000682334375087823,0.0210894028757315,TRUE,"down",TRUE,FALSE
"SERPINB8","up",0.530841262750001,7.44999123645833,4.26754710212044,0.000744962765547712,0.0217042643110168,TRUE,"up",TRUE,FALSE
"KRT17","up",1.00846954983333,7.81735798366667,4.01819026383157,0.00121844252884036,0.0272174308095814,TRUE,"up",TRUE,TRUE
"USP13","down",0.313145465333334,8.40109359333333,3.84174402475712,0.00173072510856964,0.0315408155856162,TRUE,"up",FALSE,FALSE
"CDKN1C","down",-0.371837063333333,13.5461588975,-3.80491404312677,0.00186272817046602,0.032696310829117,TRUE,"down",TRUE,FALSE
"TNFRSF25","up",-0.252989926833332,10.53620532075,-3.43359520807612,0.00392066513755316,0.0479806644954911,TRUE,"down",FALSE,FALSE
"CIRBP","down",-0.202792008333333,11.8417965725,-3.01566955297234,0.00907080815186312,0.0764645010566172,TRUE,"down",TRUE,FALSE
"RHPN2","down",0.142017840583334,6.05366787479167,2.73004536959703,0.0160138591975415,0.105764680868841,TRUE,"up",FALSE,FALSE
"LGALS8","up",0.148822227583333,8.02049524945833,2.62026244215734,0.0198810605261342,0.118751309624768,TRUE,"up",TRUE,FALSE
"GAS7","down",-0.184124120583333,9.477905607625,-2.37969177433226,0.0317424883792309,0.155764781888734,TRUE,"down",TRUE,FALSE
"CAPN6","down",-0.771732968583334,9.166636035125,-2.11117479919496,0.0528027438717022,0.210531726895441,TRUE,"down",TRUE,FALSE
"IL1R2","up",0.36939305325,7.828356427625,2.1012194273284,0.0537906235994143,0.212768212238125,TRUE,"up",TRUE,FALSE
"KRT14","up",0.533038799166668,8.50623333766667,2.08698352816546,0.0552329343112781,0.216636926902302,TRUE,"up",TRUE,FALSE
"NISCH","down",-0.149535724166666,11.34777166625,-2.01014989978733,0.0636505825515266,0.234998918849933,TRUE,"down",TRUE,FALSE
"KRT16","up",0.577602231666668,7.15803544733333,1.93926050439949,0.0724405462501538,0.254185645870576,TRUE,"up",TRUE,FALSE
"MAD2L1","up",-0.112479465416666,6.94349873204167,-1.91529351920205,0.075652700728039,0.260350181456479,TRUE,"down",FALSE,FALSE
"THSD1","down",-0.199584817499999,12.01055206875,-1.84913490037735,0.0851966494857367,0.277733990062701,TRUE,"down",TRUE,FALSE
"MCM4","up",0.0909028505000004,7.31414396633333,1.80292919072195,0.0924874282395092,0.291546045476111,TRUE,"up",TRUE,FALSE
"DPP3","up",0.119571553916667,8.78247418545833,1.71996664868589,0.106977089001371,0.315788724059529,TRUE,"up",TRUE,FALSE
"LRRC32","up",0.201575264166668,11.3449311429167,1.66694484827968,0.117248833054313,0.333013885128468,TRUE,"up",TRUE,FALSE
"UBE2I","down",-0.0552405066666675,11.8571345891667,-1.5823380221841,0.135412174457406,0.360202644015113,TRUE,"down",TRUE,FALSE
"DIO2","up",0.451650457833334,11.7312056654167,1.57793702267691,0.136419657688558,0.361771758397959,TRUE,"up",TRUE,FALSE
"CD52","up",-0.146827979583332,10.356858093875,-1.46802416835103,0.163727674451862,0.3987665634099,TRUE,"down",FALSE,FALSE
"SMC2","up",-0.155631514083333,7.325165743875,-1.41046290573691,0.179764474980482,0.420510559857978,TRUE,"down",FALSE,FALSE
"CRAT","down",0.0705487962499996,8.45235123820833,1.32896100038686,0.204657578703227,0.452413224634795,TRUE,"up",FALSE,FALSE
"S100A2","up",0.352274115750001,8.733362864125,1.32885210936588,0.204692612252381,0.452438824124205,TRUE,"up",TRUE,FALSE
"PTGER2","down",-0.168742508083332,9.289029159625,-1.29194956071088,0.216845644131965,0.467547557731484,TRUE,"down",TRUE,FALSE
"TLE1","down",-0.127158564166665,11.79202126625,-1.27942248121723,0.22109963085468,0.472750325482839,TRUE,"down",TRUE,FALSE
"KCNN3","down",-0.200575664083333,9.00642926129167,-1.24405001690928,0.233469244802109,0.487065689169539,TRUE,"down",TRUE,FALSE
"CASP1","up",0.124302207,9.74024234766667,1.15459899237516,0.267167715417139,0.524406794570441,TRUE,"up",TRUE,FALSE
"CKS2","up",0.103066090416668,8.577880861125,1.15096981953054,0.268609633535766,0.525743839883795,TRUE,"up",TRUE,FALSE
"ADORA2B","up",0.132354187166667,6.98750367083333,1.11667583316388,0.282528041278418,0.540970617351083,TRUE,"up",TRUE,FALSE
"HBS1L","down",0.0580048964166676,8.94878739354167,1.08798613174553,0.294582275015982,0.553568820640859,TRUE,"up",FALSE,FALSE
"HLA-DRB4","down",-0.0723023791666664,11.8728803479167,-1.04587609291934,0.312959825752484,0.572825618860814,TRUE,"down",TRUE,FALSE
"LAMP3","up",-0.139613175833333,6.43208763283333,-0.998943570415792,0.334411091897375,0.593829091749641,TRUE,"down",FALSE,FALSE
"KRT8","up",-0.0396326025833326,8.463194295125,-0.913468233293925,0.376126862962108,0.632756572060564,TRUE,"down",FALSE,FALSE
"S100A7","up",0.5576845555,8.85087177516667,0.759071230812205,0.460128506076859,0.703009929725139,TRUE,"up",TRUE,FALSE
"FXYD3","up",0.124750400833334,6.96312481658333,0.607997652408202,0.552714647608932,0.771376160718541,TRUE,"up",TRUE,FALSE
"PI3","up",-0.252747492,9.09138370383333,-0.601282565111681,0.557055204809001,0.774097465287356,TRUE,"down",FALSE,FALSE
"SFRS2","up",-0.0490771349999991,12.6847928525,-0.587104531402,0.566279778867659,0.779732575067619,TRUE,"down",FALSE,FALSE
"DKK1","up",0.332675404,8.72714304516667,0.56171901188897,0.58299670863659,0.790731753055836,TRUE,"up",TRUE,FALSE
"COL17A1","up",0.0750661902500004,5.961078003625,0.535040029738799,0.600836200190151,0.801871935929404,TRUE,"up",TRUE,FALSE
"S100A13","down",-0.0324242866666658,13.6833698833333,-0.527143016679385,0.60616872600937,0.805115613172743,TRUE,"down",TRUE,FALSE
"PKP1","up",0.0763897794166667,6.148338560125,0.472043662003872,0.644011364333307,0.828961132933867,TRUE,"up",TRUE,FALSE
"NME1","up",0.0258157508333356,12.80428901375,0.431319735959731,0.672661352406368,0.845951897922478,TRUE,"up",TRUE,FALSE
"PBK","up",-0.0446377703333326,5.81151647891667,-0.419467853128592,0.681101875474701,0.850816011688908,TRUE,"down",FALSE,FALSE
"CLDN1","up",-0.031527300416666,6.554147175375,-0.268632619353991,0.792045520961313,0.908636507826478,TRUE,"down",FALSE,FALSE
"AKR1B10","up",0.0858375462500001,7.44904652445833,0.211460295500868,0.83550937126423,0.927331450030596,TRUE,"up",TRUE,FALSE
"ZNF148","down",0.00917026583333576,12.1546856295833,0.207342403185806,0.83866338932599,0.928500195337314,TRUE,"up",FALSE,FALSE
"SGCA","down",0.0448506855000011,10.8179644744167,0.195245192723374,0.847945427142319,0.932746107509239,TRUE,"up",FALSE,FALSE
"CHD3","down",-0.0138816706666652,8.51514054433333,-0.133951106839572,0.89530644650463,0.955177941953147,TRUE,"down",TRUE,FALSE
"SAE1","down",-0.00376183416666685,11.0966304829167,-0.0564314913666461,0.955778261031576,0.981634111353248,TRUE,"down",TRUE,FALSE
"NPR1","down",0.000617433916667214,9.449442064125,0.00496646779385121,0.996105905053659,0.999128500284953,TRUE,"up",FALSE,FALSE
"ADGRE5","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"CKMT1A","up",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"FOXO3","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"LARGE1","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"PRKCB","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"TP63","up",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
