"PATH","Nh","NES_normal_fenotipo","pvalue_normal_fenotipo","p.adjust_normal_fenotipo","NES_preranked_genesetperm","pvalue_preranked_genesetperm","p.adjust_preranked_genesetperm","Direcao_normal","Direcao_preranked","Direcao_concorda","Sig_normal_FDR05","Sig_preranked_FDR05","Sig_so_no_preranked"
"03020",27,-1.77076598283232,0.00199600798403194,0.00659287485634791,-1.3269223612177,0.0619380619380619,0.131092208762112,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"03022",32,NA,0.00199600798403194,0.00659287485634791,-0.831943895031649,0.434565434565435,0.466676180961895,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03030",31,-2.05638132014788,0.00199600798403194,0.00659287485634791,-1.39562104525895,0.034965034965035,0.0846930846930847,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"03040",94,NA,0.00199600798403194,0.00659287485634791,-0.975676389356191,0.301698301698302,0.366600066600067,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03060",19,-1.47621909813068,0.00199600798403194,0.00659287485634791,-1.11136218237001,0.187812187812188,0.286315083517881,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"03410",33,-2.50542898733645,0.00199600798403194,0.00659287485634791,-1.52652912563084,0.020979020979021,0.0593951503042412,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"03420",44,NA,0.00199600798403194,0.00659287485634791,-1.05111875446495,0.227772227772228,0.320350617124811,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03430",23,-1.95435642608261,0.00199600798403194,0.00659287485634791,-1.45435340191566,0.027972027972028,0.0725940725940726,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"03440",23,-2.39054101435658,0.00199600798403194,0.00659287485634791,-1.71853901472072,0.00599400599400599,0.0272227772227772,"para baixo no POP","para baixo no POP",TRUE,TRUE,TRUE,FALSE
"03450",12,-1.68852195235654,0.00199600798403194,0.00659287485634791,-1.16034473649837,0.166833166833167,0.256124157532608,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"04120",120,NA,0.00199600798403194,0.00659287485634791,-0.906633547760494,0.428571428571429,0.462517680339463,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04142",113,NA,0.00199600798403194,0.00659287485634791,-0.720515744900232,0.597402597402597,0.597402597402597,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04146",73,NA,0.00199600798403194,0.00659287485634791,-1.14281569574606,0.133866133866134,0.227990759240759,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04612",71,NA,0.00199600798403194,0.00659287485634791,-1.42143920929735,0.021978021978022,0.0598901098901099,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04614",16,-1.21195557113229,0.00199600798403194,0.00659287485634791,-0.86013852819383,0.341658341658342,0.402602802602803,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"04650",118,NA,0.00199600798403194,0.00659287485634791,-1.05607301421735,0.226773226773227,0.320350617124811,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04664",73,NA,0.00199600798403194,0.00659287485634791,-0.950396406486998,0.320679320679321,0.382011431191759,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04672",48,-1.77402461356071,0.00199600798403194,0.00659287485634791,-1.27041397677483,0.0789210789210789,0.154998154998155,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"04742",46,NA,0.00199600798403194,0.00659287485634791,-0.770481218023052,0.512487512487512,0.524517735785341,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"04940",41,-2.06554711259424,0.00199600798403194,0.00659287485634791,-1.45563493024825,0.018981018981019,0.0574703074703075,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"04977",20,NA,0.00199600798403194,0.00659287485634791,-0.945033134511546,0.2997002997003,0.366600066600067,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"05110",50,NA,0.00199600798403194,0.00659287485634791,-0.521160791071027,0.554445554445554,0.562182004042469,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"05140",63,-1.44744175365755,0.00199600798403194,0.00659287485634791,-0.937769546962657,0.351648351648352,0.407762450315642,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"05150",50,-1.67590510631574,0.00199600798403194,0.00659287485634791,-1.13496683757174,0.153846153846154,0.244417453050547,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"05217",54,NA,0.00199600798403194,0.00659287485634791,-1.15599221707196,0.12987012987013,0.222926679619593,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"05310",30,-1.98066176992497,0.00199600798403194,0.00659287485634791,-1.53310055069333,0.017982017982018,0.0552123932405623,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"05320",47,-1.98579196466362,0.00199600798403194,0.00659287485634791,-1.2384617186873,0.0859140859140859,0.167225631511346,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"05322",53,-2.09023841221037,0.00199600798403194,0.00659287485634791,-1.19927820661622,0.0999000999000999,0.178510014575588,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
