"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"05144",3,0.757575757575758,1.5563672727685,0.023976023976024,"MET/GYPC/TGFB3",0.445451983913522
"05146",3,-0.566155680891483,-1.21474507004398,0.101898101898102,"TGFB3/LAMA3/IL1R2",0.445451983913522
"04144",3,0.621212121212121,1.24550445253081,0.112887112887113,"MET/TGFB3/SMAD2",0.445451983913522
"00970",2,-0.686567164179104,-1.19185895765027,0.116883116883117,"MARS1/YARS1",0.445451983913522
"04722",2,-0.671641791044776,-1.20989800607026,0.120879120879121,"RAF1/YWHAZ",0.445451983913522
"04640",2,-0.641791044776119,-1.14628141430497,0.125874125874126,"ITGA2B/IL1R2",0.445451983913522
"04666",2,-0.656716417910448,-1.15288730971578,0.135864135864136,"MARCKS/RAF1",0.445451983913522
"05145",3,-0.522524973887201,-1.08517392708365,0.13986013986014,"TGFB3/LAMA3/PPIF",0.445451983913522
"01100",7,0.431009746089982,1.2236222026533,0.140859140859141,"AGL/NDUFA4/FECH/AGPAT1/COX4I1/ITPKB/ALOX12",0.445451983913522
"04512",2,-0.641791044776119,-1.11978631761379,0.15984015984016,"ITGA2B/LAMA3",0.445451983913522
"04810",2,-0.641791044776119,-1.11543994787828,0.165834165834166,"ITGA2B/RAF1",0.445451983913522
"04360",2,0.644717713367513,1.11472303724177,0.17982017982018,"MET/DPYSL2",0.445451983913522
"05012",2,0.626865671641791,1.09061844805928,0.18981018981019,"NDUFA4/COX4I1",0.445451983913522
"05211",3,0.52178217949041,1.08082778922146,0.190809190809191,"MET/TGFB3/RAF1",0.445451983913522
"05010",2,0.626865671641791,1.08725659578269,0.193806193806194,"NDUFA4/COX4I1",0.445451983913522
"00190",2,0.626865671641791,1.10121591475466,0.198801198801199,"NDUFA4/COX4I1",0.445451983913522
"05222",3,-0.46969696969697,-0.969436031114977,0.201798201798202,"CDK4/ITGA2B/LAMA3",0.445451983913522
"05142",2,0.611940298507463,1.06264533484817,0.221778221778222,"TGFB3/SMAD2",0.445451983913522
"04020",2,-0.552238805970149,-0.986187495916326,0.228771228771229,"HTR2C/ITPKB",0.445451983913522
"04540",2,-0.552238805970149,-0.975835526785565,0.232767232767233,"HTR2C/RAF1",0.445451983913522
"05410",3,0.498650394520827,0.999518568346801,0.243756243756244,"DMD/TGFB3/ITGA2B",0.445451983913522
"05414",3,0.498650394520827,1.00540765933843,0.246753246753247,"DMD/TGFB3/ITGA2B",0.445451983913522
"04010",3,-0.426544130600936,-0.890915305707045,0.251748251748252,"TGFB3/RAF1/IL1R2",0.445451983913522
"04115",2,0.552238805970149,0.950240931030977,0.278721278721279,"DDB2/CDK4",0.445451983913522
"05218",3,0.48104472508583,0.970633938558369,0.281718281718282,"MET/CDK4/RAF1",0.445451983913522
"04350",4,0.418195880468936,0.935908238347275,0.293706293706294,"BMP4/TGFB3/SMAD2/DCN",0.445451983913522
"04520",3,0.468135824682009,0.942762329670531,0.303696303696304,"MET/SMAD2/CTNND1",0.445451983913522
"04120",2,0.537313432835821,0.935250031747384,0.30969030969031,"DDB2/TRIP12",0.445451983913522
"05412",2,0.514643282280486,0.901734300209728,0.31968031968032,"DMD/ITGA2B",0.445451983913522
"05219",2,-0.462686567164179,-0.808718583754121,0.337662337662338,"CDK4/RAF1",0.445451983913522
"04660",2,-0.462686567164179,-0.809223666857584,0.33966033966034,"CDK4/RAF1",0.445451983913522
"04110",5,-0.28125,-0.731578719358889,0.348651348651349,"TGFB3/SMAD2/CDK4/CCNH/YWHAZ",0.445451983913522
"05016",3,-0.351444701509208,-0.745625887692727,0.34965034965035,"NDUFA4/COX4I1/RCOR1",0.445451983913522
"05214",2,-0.462686567164179,-0.8128262950057,0.34965034965035,"CDK4/RAF1",0.445451983913522
"04910",2,0.48149783935356,0.840099572730235,0.354645354645355,"EIF4E/RAF1",0.445451983913522
"05223",2,-0.462686567164179,-0.817978750601945,0.35964035964036,"CDK4/RAF1",0.445451983913522
"03018",2,-0.432835820895522,-0.771459047841941,0.364635364635365,"PABPC1/TOB2",0.445451983913522
"04974",2,-0.417910447761194,-0.761965613237434,0.366633366633367,"CPA3/COL17A1",0.445451983913522
"04510",4,0.378981287055897,0.852904719452935,0.36963036963037,"MET/ITGA2B/RAF1/LAMA3",0.445451983913522
"04060",3,0.413008620235336,0.842077810616457,0.391608391608392,"MET/TGFB3/IL1R2",0.456933310591847
"04080",2,0.462686567164179,0.795424041108451,0.398601398601399,"ADORA3/HTR2C",0.456933310591847
"03420",2,0.477611940298507,0.823340649260679,0.423576423576424,"DDB2/CCNH",0.465162744232512
"05212",4,0.353846153846154,0.819042048157308,0.425574425574426,"TGFB3/SMAD2/CDK4/RAF1",0.465162744232512
"03013",5,0.316195327448489,0.7795821898829,0.441558441558442,"EIF4E/KPNB1/PABPC1/EIF2S3/EIF4A1",0.471664698937426
"05200",8,0.253775710155867,0.763194948751553,0.452547452547453,"MET/BMP4/TGFB3/SMAD2/CDK4/ITGA2B/RAF1/LAMA3",0.472660672660673
"05210",3,0.348484848484848,0.706395060053681,0.475524475524476,"TGFB3/SMAD2/RAF1",0.476523476523477
"05220",3,0.348484848484849,0.716174077772215,0.476523476523477,"TGFB3/CDK4/RAF1",0.476523476523477
