"Gene","logFC_GSE12852","P.Value_GSE12852","adj.P.Val_GSE12852","logFC_GSE53868","P.Value_GSE53868","adj.P.Val_GSE53868","Dir_12852","Dir_53868","Concordante"
"ABCA6",0.594034694199772,0.0973409753090391,0.963518020108213,-0.180933466166667,0.264828937337188,0.521933367851316,"up","down",FALSE
"ABCA7",0.230822688011244,0.533475157192296,0.974763679508199,0.0226507842500011,0.688472862024458,0.855210233022466,"up","up",TRUE
"ABCA8",0.191466460522058,0.486771042711042,0.974763679508199,-0.130452532333333,0.36053589749441,0.619200276749189,"up","down",FALSE
"ABCA9",0.686895201885209,0.0947812691453036,0.963518020108213,-0.29847376125,0.0441766411017607,0.189227542364752,"up","down",FALSE
"ABCB1",0.238560375235906,0.518849892845803,0.974763679508199,0.065976001333333,0.633521047687204,0.822288566512252,"up","up",TRUE
"ABCB10",-0.149426909262695,0.64056492031741,0.974763679508199,0.0931054818333339,0.121868044691062,0.339673832493781,"down","up",FALSE
"ABCB11",0.415150984126605,0.195129849231278,0.974763679508199,0.00782349725000095,0.883084181563386,0.949640785877226,"up","up",TRUE
"ABCB4",0.121185702143088,0.625345562521647,0.974763679508199,0.362338434833334,3.2112084081433e-05,0.00853743118443771,"up","up",TRUE
"ABCB5",0.601870742925627,0.10504308830742,0.963814244254665,-0.1854581355,0.0903590235978626,0.28737314035136,"up","down",FALSE
"ABCB6",-0.0999994050181118,0.785279619133093,0.983408385787627,-0.206214138166667,0.00987602292094547,0.0802478515166364,"down","down",TRUE
"ABCB7",0.079524609190281,0.781768284689549,0.982276692963795,0.0994825901666674,0.131165875450532,0.354090884621974,"up","up",TRUE
"ABCB8",0.193426543683706,0.510616394922644,0.974763679508199,-0.0559417084999994,0.402931144900395,0.655517007277206,"up","down",FALSE
"ABCB9",0.0895000699840018,0.812473434201104,0.986157112005997,-0.0335234128333331,0.473063705292299,0.712473241764447,"up","down",FALSE
"ABCC1",1.08068672749149,0.00254606849358638,0.657181039977301,-0.018629907333332,0.76714982743001,0.896032708835065,"up","down",FALSE
"ABCC10",0.331584657630369,0.333298638937824,0.974763679508199,-0.0635484645833316,0.292378141040538,0.551320821433891,"up","down",FALSE
"ABCC11",0.127417181630158,0.700474423329578,0.977080388019528,-0.0909730324166664,0.0822595285406651,0.272462218400548,"up","down",FALSE
"ABCC12",0.613118321716718,0.110194229219764,0.963898920258714,-0.0491540484999997,0.390261924589448,0.645096581630198,"up","down",FALSE
"ABCC13",0.973945200097718,0.0068935874014151,0.700198817717551,-0.0315224899999996,0.498921258951048,0.731525167899536,"up","down",FALSE
"ABCC2",-0.00322796353587684,0.990525835001608,0.999748227003823,-0.079849383666666,0.10458527729266,0.311428934220571,"down","down",TRUE
"ABCC3",-0.00636816348315468,0.990299540047779,0.999748227003823,-0.17871091425,0.501043042597656,0.733321216184379,"down","down",TRUE
"ABCC4",0.0244425553852883,0.949563789968936,0.996964285652889,0.0518264673333338,0.242170518036064,0.497337894012992,"up","up",TRUE
"ABCC5",0.225914998061926,0.387193019524294,0.974763679508199,-0.136198402166666,0.0460340674863642,0.193554877528594,"up","down",FALSE
"ABCC6",0.370671987160476,0.340879303994053,0.974763679508199,0.097859645916667,0.445953539983371,0.692141278439725,"up","up",TRUE
"ABCC8",0.152747214694944,0.621087962297689,0.974763679508199,-0.310611450249999,0.20052451073124,0.447113308188256,"up","down",FALSE
"ABCC9",0.495302495235689,0.108146628008323,0.963898920258714,0.304882715333334,0.000215546070951584,0.0135620572108562,"up","up",TRUE
"ABCD1",-0.427044353057884,0.296311587141848,0.974763679508199,-0.0858862810833332,0.324987684253749,0.585188764785147,"down","down",TRUE
"ABCD2",-0.224264987286334,0.607887542145612,0.974763679508199,-0.18608641375,0.0319472642060764,0.156423793477971,"down","down",TRUE
"ABCD3",0.373712373443647,0.245741715769595,0.974763679508199,-0.0480889464166651,0.262973528458568,0.519987398579684,"up","down",FALSE
"ABCD4",0.215029539158006,0.447308751165131,0.974763679508199,-0.0642741018333336,0.397465206998596,0.650493189243936,"up","down",FALSE
"ABCE1",0.111482471303566,0.696513520904553,0.976706202264256,-0.0411303978333319,0.509382435849089,0.739569695187275,"up","down",FALSE
"ABCF1",0.15839766977357,0.589316402921961,0.974763679508199,0.0683115775000016,0.143940949102821,0.37309473328896,"up","up",TRUE
"ABCF2",0.13291628539509,0.605972989277904,0.974763679508199,0.0727229980000009,0.136188113155944,0.361511699652216,"up","up",TRUE
"ABCF3",0.493282320672159,0.206566555845241,0.974763679508199,-0.0939581941666677,0.0863940234444552,0.279882164478325,"up","down",FALSE
"ABCG1",0.537291234851649,0.186471834477997,0.974763679508199,-0.0085250519999999,0.914821683196961,0.964126423372654,"up","down",FALSE
"ABCG2",-0.261760821312925,0.42196562171457,0.974763679508199,-0.431746221666666,0.000864404701266823,0.0231341799119403,"down","down",TRUE
"ABCG4",-0.0615071897239199,0.888899434211257,0.991908372835379,0.0316246585000009,0.655241532855678,0.836538125930299,"down","up",FALSE
"ABCG5",0.04972737758685,0.901830913082194,0.992437212320734,0.0431446247500009,0.506087814110058,0.736886624181243,"up","up",TRUE
"ABCG8",-0.344338153134965,0.359507577614561,0.974763679508199,0.00715024858333291,0.899883898404066,0.957166962454234,"down","up",FALSE
"ABHD1",0.264134059702396,0.41570921629866,0.974763679508199,-0.0502219532499989,0.364748430586291,0.622853324367488,"up","down",FALSE
"ABHD10",-0.0841384918895585,0.775004705707196,0.98127873623652,-0.244824617666666,0.00014128880353114,0.0119727756319591,"down","down",TRUE
"ABHD11",-0.111079640683704,0.78487679518752,0.983408385787627,-0.0354859723333318,0.487433399300248,0.722890645452065,"down","down",TRUE
"ABHD3",0.428636326520746,0.194272366519009,0.974763679508199,-0.117306392583333,0.102635875966408,0.308154656061964,"up","down",FALSE
"ABHD4",0.163180282678186,0.634336111892884,0.974763679508199,0.0860574241666676,0.0891214797080666,0.284690307133653,"up","up",TRUE
"ABHD5",0.389068200365164,0.258479203524858,0.974763679508199,0.4712496335,0.00550581253150616,0.0575240776660926,"up","up",TRUE
"ABHD6",0.0188594495638621,0.949435600095238,0.996964285652889,0.0715325031666676,0.352021536136312,0.610823318860082,"up","up",TRUE
"ABHD7",0.159351105199687,0.582404421862993,0.974763679508199,0.20163426325,0.00466065847503434,0.0523772015447283,"up","up",TRUE
"ABHD8",0.0769032047420194,0.801221534888625,0.984985678405527,0.0226638408333343,0.749155896104261,0.886738486295821,"up","up",TRUE
"ABHD9",-0.910882179991477,0.256760560717929,0.974763679508199,0.336523292500002,0.00123957217425198,0.0274106154776611,"down","up",FALSE
"ABI1",0.83784640885086,0.192466627884042,0.974763679508199,0.0264694555000009,0.63649422923081,0.824460092156901,"up","up",TRUE
"ABI2",0.793334165289901,0.0414513474342744,0.897122527377769,-0.0428200010833327,0.248558360543477,0.504158585991705,"up","down",FALSE
"ABI3",0.0313536408144365,0.911105760572587,0.993667661871804,0.0759593612500006,0.423902739848056,0.674804341029704,"up","up",TRUE
"ABL1",0.395897161105874,0.232086689148242,0.974763679508199,0.128199932083334,0.0214244666175473,0.123989760987229,"up","up",TRUE
"ABL2",0.871761921088872,0.0890149291776419,0.963518020108213,0.861054810499999,2.26239308091954e-05,0.00832928205094626,"up","up",TRUE
"ABLIM1",0.234046386516129,0.548398241545733,0.974763679508199,0.111589959166668,0.0783588513782025,0.265485359287265,"up","up",TRUE
"ABLIM2",-0.271055460625047,0.500800563730652,0.974763679508199,0.374860661500002,0.000943482870374369,0.0241283125500184,"down","up",FALSE
"ABLIM3",-0.300754729884481,0.378482894212137,0.974763679508199,-0.106193188416666,0.270415129178054,0.527818260809127,"down","down",TRUE
"ABO",-0.182332719455444,0.589194804667614,0.974763679508199,-0.0286027840833334,0.658791623564611,0.838626957975882,"down","down",TRUE
"ABP1",-0.339294906368522,0.446801588850832,0.974763679508199,0.15397759375,0.018590408127861,0.114747946235379,"down","up",FALSE
"ABR",0.411834613998389,0.196522278121195,0.974763679508199,0.0990834975000011,0.198397230229392,0.444375321604091,"up","up",TRUE
"ABT1",0.0689092380158783,0.783107409677669,0.983109661789592,0.0449963933333343,0.366111965276717,0.624174541643589,"up","up",TRUE
"ABTB1",0.0785618810190279,0.777546761832062,0.981475898396484,0.146425574666669,0.0667033976953556,0.24165242178919,"up","up",TRUE
"ABTB2",0.643950990208769,0.0914261080153407,0.963518020108213,0.0805634343333343,0.7450459382513,0.884352844148348,"up","up",TRUE
