"GeneSymbol","Direction","PValue","FDR","FoldChange","EntrezID","logFC"
"FAM21B","up",2.98021973e-05,0.007667464,2.0332609,55747,1.02379534798447
"ZNF281","down",3.01797702e-05,0.007667548,5.2624479,23528,2.39573404508474
"KRTCAP2","up",3.10914961e-05,0.007688736,18.7793228,200185,4.23107313388027
"RNF10","up",3.12094435e-05,0.007688736,6.604024,9921,2.72334536322786
"CXCR2","up",3.13980354e-05,0.007688736,2.544679,3579,1.34748367818065
"SORCS2","up",3.31561804e-05,0.007731504,4.796624,57537,2.26201935331971
"RBP7","up",3.3793465e-05,0.007731504,5.9487897,116362,2.57259617742561
"SLA2","up",3.39138121e-05,0.007731504,3.7170203,84174,1.89414656730361
"RGS10","up",3.39529167e-05,0.007731504,16.4800034,6001,4.04264463505186
"HGD","down",3.40098633e-05,0.007731504,76.0524947,3081,6.24892366739057
"FEZ1","up",3.41765513e-05,0.007731504,4.1311088,9638,2.0465290566001
"PEX26","down",3.45384712e-05,0.007731504,323.3320552,55670,8.33687273338344
"RPLP2","up",3.57037602e-05,0.007731504,26.7129796,6181,4.73946899989057
"SAE1","up",3.58033491e-05,0.007731504,2.6910148,10055,1.42815032551118
"ZNF385C","up",3.60575643e-05,0.007731504,5.2941069,201181,2.40438732640543
"C2orf69","down",3.62582941e-05,0.007731504,2.6052362,205327,1.38141417830828
"ZNF673","up",3.65212465e-05,0.007731504,4.8156864,55634,2.26774144610598
"PAOX","up",3.73720018e-05,0.007731504,6.642708,196743,2.73177149785621
"CNBP","up",3.75045187e-05,0.007731504,4.521509,7555,2.17680433536122
"DDX39B","up",3.84619719e-05,0.007731504,29.582964,7919,4.88669470222206
"PRDX3","up",3.8570795e-05,0.007731504,19.9418,10935,4.31772373199913
"JMJD1C","down",3.88307915e-05,0.007731504,3.9342372,221037,1.97608394209724
"MTHFD1L","down",3.94847797e-05,0.007731504,73.8938897,25902,6.2073831674595
"GNG3","up",3.95798278e-05,0.007731504,20.7943829,2785,4.37812196668001
"GPD1","up",3.9765799e-05,0.007731504,3.6078153,2819,1.85112548255263
"HLA-DPA1","up",4.02269997e-05,0.007731504,23.152311,3113,4.53308430141111
"FNBP1","down",4.04032081e-05,0.007731504,2.9160117,23048,1.54399650824445
"KRTAP10-2","up",4.10825303e-05,0.007731504,3.5781652,386679,1.83921999659018
"TM9SF1","up",4.17847228e-05,0.007791509,6.3558184,10548,2.66807790423925
"USH1G","up",4.24313106e-05,0.007840149,3.8238186,124590,1.93501408422664
"MFSD4","up",4.48201991e-05,0.008206942,4.7571111,148808,2.25008571912996
"HTR2A","up",4.58574037e-05,0.008262911,4.6654612,3356,2.22201970445634
