"PATH","Nh_POP_normal","NES_POP_normal","p.adjust_POP_normal","Nh_Wei2020","NES_Wei2020","p.adjust_Wei2020","Mesma_direcao"
"00071",38,NA,0.00659287485634791,13,1.94090953022023,0.0501998001998002,NA
"00230",144,NA,0.00659287485634791,36,1.4695269893301,0.225386858039919,NA
"00380",35,-1.46755490555073,0.00659287485634791,12,-1.53449463653939,0.168671328671329,TRUE
"00480",47,NA,0.00659287485634791,17,1.93156888281166,0.0944937415525651,NA
"00510",46,NA,0.00659287485634791,23,1.49907348082666,0.195372195372195,NA
"00563",24,-1.93784896711781,0.00659287485634791,13,1.59068363262807,0.17488962650253,FALSE
"00620",39,-1.44357013688353,0.00659287485634791,12,1.42829932375353,0.225386858039919,FALSE
"00980",61,NA,0.00659287485634791,27,1.42905301514295,0.236234353881413,NA
"00982",64,NA,0.00659287485634791,25,1.54033703827847,0.21109659571198,NA
"03010",85,-2.40382225459045,0.00659287485634791,47,3.19483342569956,0.0501998001998002,FALSE
"03013",117,NA,0.00659287485634791,49,1.86442446105976,0.0944937415525651,NA
"03018",57,NA,0.00659287485634791,22,1.47311413909174,0.225386858039919,NA
"04146",73,NA,0.00659287485634791,27,1.55143807252403,0.195221445221445,NA
"04621",44,1.43788552351771,0.160808817148312,28,-1.37469304442564,0.171051171051171,FALSE
"04650",118,NA,0.00659287485634791,45,-1.26444293071093,0.21109659571198,NA
"04664",73,NA,0.00659287485634791,30,-1.18577817609695,0.236234353881413,NA
"05110",50,NA,0.00659287485634791,27,1.5918411057509,0.17488962650253,NA
"05217",54,NA,0.00659287485634791,16,1.71311652484044,0.12430426716141,NA
"05310",30,-1.98066176992497,0.00659287485634791,13,1.45992379581588,0.225386858039919,FALSE
