"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_GSE53868","Significativo_GSE53868_FDR05","Direcao_GSE53868","Concordante"
"UBL3","down",-0.191651354166665,11.59378818375,-4.31234558619319,0.000682334375087823,0.0210894028757315,TRUE,FALSE,"down",TRUE
"SERPINB8","up",0.530841262750001,7.44999123645833,4.26754710212044,0.000744962765547712,0.0217042643110168,TRUE,TRUE,"up",TRUE
"KRT17","up",1.00846954983333,7.81735798366667,4.01819026383157,0.00121844252884036,0.0272174308095814,TRUE,TRUE,"up",TRUE
"USP13","down",0.313145465333334,8.40109359333333,3.84174402475712,0.00173072510856964,0.0315408155856162,TRUE,FALSE,"up",FALSE
"CDKN1C","down",-0.371837063333333,13.5461588975,-3.80491404312677,0.00186272817046602,0.032696310829117,TRUE,FALSE,"down",TRUE
"TNFRSF25","up",-0.252989926833332,10.53620532075,-3.43359520807612,0.00392066513755316,0.0479806644954911,TRUE,FALSE,"down",FALSE
"CIRBP","down",-0.202792008333333,11.8417965725,-3.01566955297234,0.00907080815186312,0.0764645010566172,TRUE,FALSE,"down",TRUE
"RHPN2","down",0.142017840583334,6.05366787479167,2.73004536959703,0.0160138591975415,0.105764680868841,TRUE,FALSE,"up",FALSE
"LGALS8","up",0.148822227583333,8.02049524945833,2.62026244215734,0.0198810605261342,0.118751309624768,TRUE,FALSE,"up",TRUE
"GAS7","down",-0.184124120583333,9.477905607625,-2.37969177433226,0.0317424883792309,0.155764781888734,TRUE,FALSE,"down",TRUE
"CAPN6","down",-0.771732968583334,9.166636035125,-2.11117479919496,0.0528027438717022,0.210531726895441,TRUE,FALSE,"down",TRUE
"IL1R2","up",0.36939305325,7.828356427625,2.1012194273284,0.0537906235994143,0.212768212238125,TRUE,FALSE,"up",TRUE
"KRT14","up",0.533038799166668,8.50623333766667,2.08698352816546,0.0552329343112781,0.216636926902302,TRUE,FALSE,"up",TRUE
"NISCH","down",-0.149535724166666,11.34777166625,-2.01014989978733,0.0636505825515266,0.234998918849933,TRUE,FALSE,"down",TRUE
"KRT16","up",0.577602231666668,7.15803544733333,1.93926050439949,0.0724405462501538,0.254185645870576,TRUE,FALSE,"up",TRUE
"MAD2L1","up",-0.112479465416666,6.94349873204167,-1.91529351920205,0.075652700728039,0.260350181456479,TRUE,FALSE,"down",FALSE
"THSD1","down",-0.199584817499999,12.01055206875,-1.84913490037735,0.0851966494857367,0.277733990062701,TRUE,FALSE,"down",TRUE
"MCM4","up",0.0909028505000004,7.31414396633333,1.80292919072195,0.0924874282395092,0.291546045476111,TRUE,FALSE,"up",TRUE
"DPP3","up",0.119571553916667,8.78247418545833,1.71996664868589,0.106977089001371,0.315788724059529,TRUE,FALSE,"up",TRUE
"LRRC32","up",0.201575264166668,11.3449311429167,1.66694484827968,0.117248833054313,0.333013885128468,TRUE,FALSE,"up",TRUE
"UBE2I","down",-0.0552405066666675,11.8571345891667,-1.5823380221841,0.135412174457406,0.360202644015113,TRUE,FALSE,"down",TRUE
"DIO2","up",0.451650457833334,11.7312056654167,1.57793702267691,0.136419657688558,0.361771758397959,TRUE,FALSE,"up",TRUE
"CD52","up",-0.146827979583332,10.356858093875,-1.46802416835103,0.163727674451862,0.3987665634099,TRUE,FALSE,"down",FALSE
"SMC2","up",-0.155631514083333,7.325165743875,-1.41046290573691,0.179764474980482,0.420510559857978,TRUE,FALSE,"down",FALSE
"CRAT","down",0.0705487962499996,8.45235123820833,1.32896100038686,0.204657578703227,0.452413224634795,TRUE,FALSE,"up",FALSE
"S100A2","up",0.352274115750001,8.733362864125,1.32885210936588,0.204692612252381,0.452438824124205,TRUE,FALSE,"up",TRUE
"PTGER2","down",-0.168742508083332,9.289029159625,-1.29194956071088,0.216845644131965,0.467547557731484,TRUE,FALSE,"down",TRUE
