Gene,Penney_p,Cartwright_p,HUNT_p,UKBiobank_p
LPIN3,8.03E-05*,1.39E-01,4.25E-01,6.89E-01
LSP1,3.28E-01,7.37E-01,8.32E-05*,4.08E-01
MAP4K4,6.86E-04*,8.83E-01,3.45E-01,4.04E-01
MAPK10,9.31E-01,7.34E-04*,8.25E-01,5.31E-01
MAPK9,4.14E-01,3.70E-02†,6.09E-01,8.23E-06*
MCEMP1,3.14E-01,6.36E-01,4.43E-01,1.52E-04*
MED31,2.92E-01,4.29E-01,5.63E-04*,1.51E-01
METTL21A,2.21E-04*,4.47E-01,4.59E-01,7.23E-01
MNR,2.72E-01,2.06E-01,8.44E-04*,1.84E-01
MOGS,2.33E-06*,3.73E-01,6.07E-01,7.27E-01
MRPL23,6.52E-01,4.06E-01,2.52E-05*,9.34E-01
MRPL53,3.64E-06*,1.67E-01,6.58E-01,7.79E-01
MYO9A,3.21E-01,6.07E-01,5.86E-02,5.93E-04*
MYT1L,5.60E-01,7.71E-01,1.15E-01,6.34E-04*
NANOG,7.25E-01,9.64E-05*,3.55E-01,8.64E-02
NANOGNB,5.73E-01,3.66E-05*,5.95E-01,1.44E-01
NBEAL1,4.95E-01,8.77E-01,3.39E-01,5.26E-07*
NCF1,8.05E-04*,2.73E-01,3.03E-01,9.70E-01
NDUFB1,1.92E-04*,9.37E-02,5.86E-01,1.15E-02†
NFATC3,4.04E-01,6.26E-01,4.10E-01,1.58E-04*
NME8,7.18E-04*,9.33E-02,6.70E-02,7.40E-01
NMRK1,2.86E-04*,1.83E-01,9.54E-01,7.20E-01
NPC1,5.54E-04*,8.81E-01,3.03E-01,1.91E-01
NPNT,3.19E-01,7.78E-02,9.61E-04*,7.34E-01
NRAP,2.58E-01,2.86E-04*,3.81E-01,5.81E-01
NRN1L,4.89E-01,1.05E-01,4.76E-01,6.26E-04*
OSTF1,8.26E-04*,1.26E-01,8.34E-01,7.08E-01
PAQR9,5.49E-04*,6.67E-01,3.56E-01,1.03E-03†
PCGF1,8.01E-06*,3.33E-01,5.54E-01,3.35E-01
PCOLCE2,8.83E-04*,9.14E-01,8.63E-02,4.52E-03†
PCP2,5.21E-01,5.53E-01,4.39E-02†,7.16E-04*
PDE8B,9.11E-01,2.11E-01,6.29E-01,5.98E-04*
PDZD3,3.98E-01,4.74E-02†,1.61E-04*,5.08E-02
PELI3,1.70E-01,6.57E-01,6.43E-01,5.71E-04*
