GeneSymbol,Sui1,Sui2,Sui3,Ctrl1,Ctrl2,Ctrl3
TMEM47,5.0402446,5.1865544,5.3361826,2.756008,2.6312828,2.7142286
LRRC70,7.8696976,8.931837,8.75821,5.6151624,6.649694,4.2939034
GAGE1,10.119783,9.216386,9.785971,7.7458806,7.944159,7.6568165
JTB,12.90511,12.363244,12.523493,10.751464,11.102227,10.846067
PCGF1,6.8899584,6.645714,7.0127597,3.4713686,2.7644894,4.177662
DHCR7,5.6565504,5.952039,6.1915274,2.40226,2.321939,3.905721
GDPD3,8.070349,7.592916,8.146214,4.091498,2.4874501,6.2789598
TSPAN3,10.455255,10.807748,10.628826,8.950446,9.494722,8.706928
CFC1B,4.5099745,5.089123,5.614969,3.7617543,3.3137426,3.7501328
TBC1D7,8.5016775,8.912462,8.902749,5.853502,6.172951,6.2671127
WDPCP,6.0223827,6.012478,6.385138,4.1630735,5.051791,4.9450226
PLAC8L1,5.6619887,5.3586206,5.7264395,3.8353136,4.2526445,4.1399393
ZFC3H1,8.026726,8.984928,8.962451,6.4143677,6.4005737,5.759631
LILRA3,4.7631216,4.2291064,6.620192,2.548443,2.82122,2.7142286
CENPB,11.885521,11.353838,11.905307,10.611284,10.194184,10.655601
IL12RB2,4.6467915,4.726125,4.9011827,3.312743,2.7032738,2.7142286
ANG,5.958841,5.7043095,6.746972,3.58215,3.034862,3.991816
RORA,6.1149163,5.817884,6.418582,2.8435953,3.98133,3.8722749
ASMTL,4.266774,3.3646128,4.506095,2.6072812,2.483314,2.7142286
CDHR2,5.3899307,5.3679714,6.007665,3.6278753,3.1216545,2.7142286
TEAD2,4.6771207,4.1944323,4.936431,2.9570947,2.4186563,3.7823339
KLF10,5.409033,5.8697963,6.1449447,4.093076,4.1403685,2.7142286
DDA1,6.0967245,6.1167574,6.412441,4.5749593,3.90301,5.3300114
ZNF772,4.422019,5.028594,4.9201336,3.228118,3.2655334,2.7142286
DGCR14,12.972316,13.02419,13.327597,10.978786,10.935223,10.369544
METAP1D,6.5970354,6.7545247,6.587586,4.625684,4.8443456,5.9374084
RGS9,4.7261906,3.8926482,5.733609,2.7983203,2.8488119,2.7142286
FGFR2,5.444479,5.9258018,5.858923,3.749388,3.0406544,4.704932
LIF,11.800457,12.008894,11.895139,9.889372,9.349896,10.019527
MRRF,6.2884464,7.0751276,6.773391,3.1408744,3.706018,3.8050852
CD276,10.124645,10.116143,10.354267,8.570064,9.055149,7.721035
CMTM6,8.890481,10.099834,9.87219,7.058987,7.7261906,7.08576
OTOP2,5.763016,5.2275887,6.1504035,4.4151773,4.7532926,4.4681597
FBLN2,4.2353034,4.180654,4.9599395,2.40226,2.6843817,3.6957688
PKP2,7.2302146,8.710249,8.308382,5.863083,5.9272156,6.8438005
OR10G2,7.5576353,7.7009993,8.528815,5.961829,6.117962,5.6242394
VPS72,12.313086,12.085691,12.225569,10.048109,10.522516,10.389189
ABCA9,3.260751,4.276105,4.580643,2.40226,2.5532007,2.7142286
CCL25,5.8380265,4.7919097,5.556181,2.9180562,4.080656,2.7142286
NOD1,4.7377768,5.785627,5.7892733,2.40226,2.5108707,2.7142286
ITM2A,8.408152,8.365433,8.444515,6.9908338,7.8505297,6.602862
TMEM25,4.7847733,3.6985822,4.271708,2.40226,2.4993312,2.7142286
CSTA,15.631241,16.223732,15.821205,8.91758,6.3744607,9.69485
TNKS1BP1,15.513716,15.453839,16.521275,11.920856,12.17249,11.762993
CSTF1,6.1278195,7.477959,7.359886,3.0823004,3.599066,4.257594
TERF2IP,8.434163,8.612113,8.813577,7.5252247,7.0639715,7.1750965
WDR66,5.857624,5.541963,5.6396294,2.6251736,4.668938,2.7142286
UQCC,6.0777564,5.8873487,6.4069552,4.5814476,4.151295,5.354366
CD1E,5.604072,5.153371,5.7012806,2.40226,2.4165552,2.7142286
TCOF1,11.120964,10.637742,11.377604,9.437854,9.382616,8.672127
RIPPLY1,4.9000034,4.330826,5.0869007,3.363763,3.5878444,2.7142286
DUSP15,5.422577,3.624344,4.051546,2.5997086,2.8185332,2.7142286
KLF8,8.40501,8.768068,8.812225,6.624537,6.5195613,7.3742704
TIRAP,4.4779377,4.4531255,4.415393,2.40226,2.321939,3.7487853
METTL23,8.891389,8.612925,8.827357,6.6087155,7.3709846,7.382697
IRF2,6.6478057,7.076686,7.4057384,4.3489733,4.5407596,5.4674163
HRH1,4.01459,4.1204705,4.4556885,2.9310822,2.5815146,2.7142286
STIM2,6.766635,7.6975436,7.3823442,5.911893,5.634276,5.43984
C11orf49,5.2272468,4.823974,5.0402446,3.578655,2.7139206,4.202902
SLC17A4,5.3391094,5.2914743,6.218067,2.6414208,2.5825036,4.036548
TELO2,6.9653573,6.6247015,6.8547664,4.0565133,3.7573013,4.3227644
C15orf44,5.7702694,7.4454436,7.3629017,4.046457,3.4767878,4.5108657
PIAS3,5.0599813,5.554218,5.462348,2.40226,2.4321833,2.7142286
ATP2A1,11.070015,11.498917,11.438498,7.6648006,8.299265,6.8998446
ATP2A2,10.533263,11.604623,11.405542,7.2026153,8.222266,7.70371
C3orf23,5.9338017,6.6995597,6.762808,4.3612366,4.598293,5.7081594
NOB1,7.9283466,7.870386,8.066873,6.431135,6.2851787,7.3938465
PSG6,4.924298,5.617742,6.038751,4.2253222,4.2085094,2.7142286
EVI2B,4.495735,6.4897556,6.1483183,2.6098197,2.4153552,2.7142286
SEC13,7.731204,7.7760363,7.8346314,6.1586456,6.3012733,6.7078147
NPC2,15.181977,14.974939,14.937746,11.9938965,11.883992,12.005208
ADO,12.304861,12.285377,12.128928,10.258748,9.713324,10.431729
SLC9A3,4.4116225,5.525667,3.627187,2.6538098,3.2065496,2.7142286
CASP8,4.9575467,4.9013515,5.5157433,2.40226,2.5198917,2.7142286
PIGZ,9.92015,10.017925,10.277895,9.16261,9.044511,8.698905
NHS,11.960107,11.492682,11.938016,8.982964,9.943855,8.618151
AP2A1,9.151815,9.099281,9.719872,5.3132453,5.5863466,5.225988
IGSF9,7.7603354,7.239626,7.725415,5.4775825,5.8520927,5.8782706
ABCC5,6.4093328,6.852291,7.175528,2.40226,2.4185755,2.7142286
LRRC15,4.925618,3.8430548,4.9114857,2.40226,2.813033,2.7142286
CAPRIN2,7.331047,7.382697,7.479639,5.7730093,6.797898,5.7868733
SLC24A3,5.9464693,5.907956,6.2545385,3.5307512,4.3666673,4.71825
MPZ,13.325602,12.749035,13.208147,10.940557,11.664228,10.008845
PRDM2,8.502878,8.92633,8.853146,7.3394446,7.8804874,7.8193116
C1orf74,8.983316,8.620188,9.480648,6.622589,6.436118,7.5309777
ZNF547,3.5795975,4.166197,4.2940874,2.40226,2.6405342,2.7142286
IARS2,6.792118,8.665981,8.178419,4.295251,4.724014,5.02431
PDE9A,5.2572775,4.9310155,5.231722,2.884155,3.157214,4.2465153
IGLL1,5.7960377,5.187081,5.8995514,3.3957605,3.4392962,2.7142286
CHST10,4.755658,4.2512074,4.5327234,2.40226,3.2609541,2.7142286
UTP6,9.737982,9.671588,9.677657,8.035228,7.796568,8.513381
ZBP1,8.125946,8.1921625,8.504919,5.485095,4.612488,5.985099
RAD9A,7.1635613,7.435615,7.7930593,5.8072505,6.1424704,5.9738526
PPP6R3,8.34801,7.9344444,8.208788,5.400136,5.4107294,6.0744896
GPNMB,7.363682,7.940443,7.793853,5.7282357,6.176077,5.951884
AKIRIN2,11.756438,11.958879,12.010238,10.622474,10.332467,11.1475115
NFE2L2,10.857542,12.711711,12.161793,9.45153,10.359703,9.737982
ECHDC3,7.273711,5.7061033,7.0578747,4.397311,4.365461,5.7098656
SNX13,8.636629,9.45153,9.132559,8.073634,7.5245805,8.48607
RPL26,11.820566,12.722366,12.040331,8.592297,7.492272,9.520515
PABPC4,8.270866,8.229997,8.377104,5.8527184,5.805497,6.089214
MTG1,5.9530854,4.7527766,5.1391616,3.2640615,2.321939,2.7142286
RALGPS1,5.0025654,4.013302,4.9933033,2.40226,2.4904745,2.7142286
TGIF2,8.810927,8.386203,8.87844,6.810859,7.9729652,6.0376005
SPAG8,8.940604,8.045791,8.716879,5.8697963,5.950554,6.03081
ALOX12B,4.1132107,5.4865212,5.0396066,2.40226,2.321939,2.7142286
B3GALNT1,7.653713,7.793283,7.698103,6.2176294,6.2064786,6.6952915
KLHL29,5.6616535,6.039585,5.939811,4.413109,4.660983,4.4790664
FOXN1,8.024322,8.060487,8.254347,5.926399,6.1676393,6.339923
DYX1C1,9.246232,8.73961,8.860719,7.1449113,6.7087293,8.106168
FASTKD3,8.686036,8.929329,8.826677,6.0542703,5.455702,7.014186
FAM21B,14.074715,14.12673,14.010258,12.991397,13.037632,13.111288
GALK2,6.1356816,6.981303,6.623417,5.2605824,4.8017597,5.3476806
SLC34A3,6.9679275,6.9795637,7.1569595,5.841163,6.102146,5.6392903
C22orf29,7.3184404,6.78542,6.430931,4.2623663,4.0929008,5.28973
C8orf58,5.652383,5.414746,5.56379,2.9877124,2.7094936,2.7142286
RPP14,13.902719,14.084601,13.838831,12.090469,11.086977,12.057793
ARF6,10.524707,11.565413,11.388713,9.5865345,9.387955,9.643122
ANKHD1,12.611818,12.36176,12.385809,10.457445,10.023615,10.862129
NAT1,6.4383745,7.1629496,6.8232727,4.2526445,4.0856366,5.0987887
SLC6A16,5.3695602,5.073593,5.4212255,2.6400394,3.3008788,2.7142286
C1orf198,4.823974,4.384407,5.24698,3.0170937,2.5379994,4.1534257
RASGEF1B,5.072841,4.927411,4.6068316,3.5436428,3.7913527,4.1769834
SHBG,7.8766446,8.064741,8.243465,4.3181887,3.4903474,5.195533
ZFYVE27,5.836791,5.532274,5.482659,2.6326768,3.45231,4.298193
WDR44,7.999853,9.07906,8.77454,5.2508254,4.98888,5.9275627
TERF2,5.8794794,6.799425,6.7712517,2.8614593,3.8440135,4.0395255
CAPZA3,6.042673,5.1199617,5.8217874,3.0911844,2.8787374,2.7142286
C3orf20,5.0251,4.555784,4.942695,2.40226,2.7208176,2.7142286
CACNA1I,5.3393097,5.22124,5.8157635,3.7450898,3.6155567,4.2191997
KCTD18,7.029581,7.481625,7.4013,4.2411213,4.681037,5.4873834
COQ10A,4.416112,4.2677374,4.5036244,3.3075676,2.6600804,2.7142286
RRAS2,7.2631884,8.199068,7.966392,5.9528646,6.539636,6.0211363
PTPRR,7.261574,7.5652447,7.7435055,3.133369,4.37115,3.7074327
LEPREL1,4.3062015,4.473078,4.5186396,2.6259892,2.6302547,2.7142286
TRIM55,10.427975,10.320694,10.362755,7.1729236,7.9712114,6.4170475
DECR1,9.341341,9.8106785,9.627916,5.031419,4.6227736,6.0719166
MBIP,11.515539,11.711512,11.6196995,8.895473,8.497339,9.24802
TRIM55,9.565443,9.809939,10.151203,7.6732993,8.222474,6.7181773
B4GALT3,6.97638,6.648934,7.6368694,5.0494447,4.406214,4.94134
KRTAP10-10,15.9108095,15.961725,16.481556,15.199484,14.005828,15.212586
OTX2,8.511975,8.011506,8.461736,6.787771,7.420434,6.5966787
CLEC10A,7.8305497,7.3021235,7.576186,4.928952,5.1739745,5.0309253
TM9SF1,10.104149,9.977785,10.224318,7.7070036,7.476116,8.5746765
GTF2H3,5.9927044,6.3838263,6.5563836,3.5304778,2.703947,4.3813562
SF1,9.541973,9.113478,9.8292885,5.4150953,4.084346,4.959086
TENC1,5.811461,5.645774,6.29817,3.1268084,2.594354,3.900621
SEH1L,8.355966,9.346351,9.015531,6.316161,5.544238,6.740996
TGS1,7.6340427,8.173582,8.222007,6.5297766,6.6879683,6.6761055
ZNF750,6.1594534,6.2513185,6.7353544,5.3405013,3.071782,4.170703
OMP,9.744271,9.336703,9.728745,5.8380265,6.1733413,6.9566126
DLGAP4,13.13724,12.6101055,13.665235,11.056994,11.411246,11.275681
DNAJC15,10.788215,10.769698,10.802879,9.436947,9.882036,9.317926
CTBP2,5.672568,5.342146,5.6263895,4.194976,4.9954243,4.02828
HLA-DMA,9.876295,9.616206,9.942433,7.942059,9.234793,8.047287
MAP3K4,7.896464,8.151598,8.168928,6.315962,6.520458,7.131966
ANKLE2,6.1817904,6.144464,6.1302686,4.5607433,4.3882236,5.529508
PARP4,9.93132,10.035175,9.911874,7.758555,6.715234,8.464651
ALG10B,6.0040703,6.683409,6.7752876,3.4167736,3.3255095,2.7142286
CLN5,9.4301195,9.65425,9.433662,8.294017,8.231217,8.754497
C5orf44,7.622184,8.122654,7.766647,5.5400505,5.265704,6.65087
CYP21A2,6.749467,6.0226216,7.1218243,5.310857,5.3258996,4.873789
RPL39L,14.159524,14.283144,14.344429,11.370292,11.61312,11.070015
DEPDC1B,7.1179547,7.804227,7.660042,4.9053097,3.0192885,6.2850657
C19orf53,12.34686,11.64529,12.073931,10.345632,10.284278,10.684905
MED6,9.298813,9.098662,9.326155,6.494631,7.022182,7.5537276
AP5M1,6.9262486,8.319386,8.051078,4.4516625,5.108113,5.0617394
LY6G6C,7.721035,9.02446,8.57684,4.3228574,5.333168,5.418134
FBXO15,5.7412953,5.4019117,5.4943714,3.1760187,2.916652,4.1439023
C20orf85,11.168325,10.9892645,11.112417,6.8339586,7.957376,7.2774053
USP5,4.695668,4.601895,5.4646034,3.111588,3.3238506,2.7142286
DSN1,5.9903817,6.620374,6.6103563,2.9347856,2.552683,4.171631
SRSF9,10.289698,10.660163,10.637742,9.3100815,8.616511,9.801871
CAMK2G,8.831647,8.616511,8.897565,5.100368,4.487588,5.3020153
SCN1B,4.6631274,4.749245,5.208487,2.8908067,2.6259892,2.7142286
CRISP2,6.12123,6.6516376,6.4861865,2.40226,3.381353,4.5992007
SCP2,12.889506,13.486388,13.120713,11.593047,11.961312,11.729326
ZNF438,4.4488273,4.7921453,4.908802,3.227325,3.711062,3.8402834
POT1,9.112561,9.696154,9.558394,7.5422826,6.9701,8.262487
CLIC6,5.468861,5.512064,5.8859644,2.9495094,2.8694253,4.958724
C15orf41,8.119843,8.420521,8.356986,5.9807143,5.0545025,7.2716923
C1orf43,9.963739,10.476187,10.158859,9.06899,9.19361,9.2015705
MOB3B,6.2905912,6.535844,6.4952645,5.1709347,5.370282,4.503967
TMEM150A,6.4706154,5.8091474,6.338933,4.5372863,5.0101566,3.9458604
ABCA2,5.4470906,4.6302967,5.186973,3.7656097,3.1128666,3.86762
PRICKLE4,6.186566,5.883457,6.144846,4.4717393,4.6567693,4.90314
IST1,9.196392,9.565443,9.754542,8.219355,8.742105,7.749061
MBIP,10.226769,10.710125,10.708321,9.027797,8.723558,9.352222
SLC3A2,5.8307858,5.7777514,6.251198,3.0274656,3.5190592,4.610047
THAP2,9.360001,9.420819,9.46863,7.155576,6.6941495,7.824043
INS-IGF2,12.093672,12.627554,12.472906,11.1975355,11.155374,10.506537
ANKRA2,10.425991,10.355333,10.324888,9.295848,8.740646,9.928209
CTSL2,8.698045,8.929109,8.761514,6.136278,5.2740364,7.1106195
RRN3,7.480214,8.103727,8.032869,5.17084,5.268986,4.6362257
STYXL1,9.191923,8.857214,9.127962,7.0033092,6.3279734,8.093282
KIF9,10.006114,10.094268,10.00952,8.804638,8.882265,9.154026
HEPACAM,4.6691947,3.9491599,4.203125,2.40226,2.5856717,2.7142286
TUBA1C,10.879393,11.592119,11.239205,8.85419,8.469308,9.457651
TTC34,8.477756,8.655529,8.609639,7.4680696,7.588255,7.42126
CASS4,5.0887113,5.297193,5.584174,3.3985815,3.9994626,2.7142286
REPS1,8.877515,9.605483,9.309859,7.0358872,6.5811973,8.255668
ALS2,6.1267967,7.2590504,7.2190742,3.1363015,3.6773617,4.657886
NFKB2,8.342564,8.562647,8.953187,5.035098,5.013703,5.495069
FAU,13.400251,12.679699,13.318165,10.7054405,11.035343,10.771333
TNK2,5.769139,4.125256,5.0348,2.867078,3.516806,3.6747158
TUBB2A,6.995933,7.0175724,7.352218,5.366841,5.395887,6.6211534
ZNF627,4.047039,5.6505775,5.438159,3.109009,2.6369314,2.7142286
CEBPZ,6.027023,7.580289,7.170164,5.1760206,5.432106,4.9970427
CELF2,6.2469378,6.308373,6.4913454,4.784707,4.8465347,5.0869007
SIVA1,11.828095,11.092231,11.366476,10.104149,10.180571,10.61631
PBX2,7.49201,6.0672464,7.247299,2.40226,2.321939,2.7142286
IAH1,8.114757,8.223147,8.05321,5.8094254,5.774946,6.2421794
MFF,9.1267805,9.231314,9.213312,7.2994914,7.557219,7.793283
SYPL2,4.7436213,4.791347,5.658135,2.40226,3.8142257,2.7142286
GOLGA8A,14.196535,14.035551,14.248107,12.761343,12.560364,12.606154
LPAR6,11.735183,12.635046,12.449884,8.6725645,7.2907343,9.549851
C5orf25,7.4747562,7.406126,7.6468253,5.4447393,5.800442,5.8760014
C11orf93,7.995522,6.9807553,7.4170995,5.74159,5.277918,6.209938
RGPD6,5.22536,6.095824,6.216888,4.0718236,4.2074766,4.938184
