GeneSymbol,Direction,PValue,FDR,FoldChange,EntrezID
MYO9B,up,0.0015845396113,0.020764518,2.8943532,4650.0
EBF4,up,0.0015885216805,0.020768521,3.1578058,57593.0
CST11,down,0.0015913622117,0.020768521,4.2664573,140880.0
UVRAG,up,0.0015921751322,0.020768521,2.4587545,7405.0
OTUD7A,down,0.0015924048528,0.020768521,4.4756931,161725.0
AKR1D1,down,0.0015925956141,0.020768521,4.9318718,6718.0
C17orf61,up,0.0015932317986,0.020768521,3.9173988,254863.0
HGFAC,up,0.0015938740586,0.020768521,3.9502506,3083.0
ZNF678,down,0.0015944153994,0.020768521,140.171843,339500.0
ARSA,up,0.0015944307136,0.020768521,4.9023335,410.0
CORT,down,0.0015950632556,0.020768521,2.558114,1325.0
C4orf33,up,0.0015981154674,0.020787602,12.1639774,132321.0
ERBB2,down,0.0015995806627,0.020787602,22.9025817,2064.0
CD300LB,up,0.0015999678552,0.020787602,2.7791706,124599.0
TSPAN8,up,0.0016006197615,0.020787602,10.9284703,7103.0
IRF2BP2,up,0.0016078844608,0.020857406,2.1565072,359948.0
SNRNP35,up,0.0016081827518,0.020857406,14.3918894,11066.0
ETV3,down,0.0016090731668,0.020857406,3.1338433,2117.0
OR52I1,up,0.0016106841917,0.020864982,2.2068424,390037.0
KHDRBS1,down,0.0016149492969,0.020877679,5.0324433,10657.0
ZBTB9,up,0.001615611961,0.020877679,4.8109061,221504.0
APBB2,up,0.0016159040704,0.020877679,2.7605321,323.0
MRPL52,up,0.0016166469481,0.020877679,2.7422321,122704.0
ALAS1,down,0.0016176325641,0.020877679,3.2396045,211.0
MYEOV,up,0.0016186736757,0.020877679,2.4871089,26579.0
SLC24A1,up,0.0016188547073,0.020877679,2.9757891,9187.0
ANTXR1,down,0.0016229122208,0.020915082,3.7357463,84168.0
WDR44,up,0.0016238463718,0.020915082,9.3744126,54521.0
MTRNR2L2,up,0.0016252025283,0.020915082,9.3418827,100462981.0
ACD,up,0.0016279094808,0.020915082,2.466369,65057.0
NR2C1,up,0.0016279291301,0.020915082,9.8465969,7181.0
AMY1A,up,0.0016310482886,0.020930517,2.8366169,276.0
PARL,down,0.001631901439,0.020930517,4.6677835,55486.0
MFSD7,up,0.0016322198875,0.020930517,2.3304032,84179.0
GRAMD1B,up,0.0016350904589,0.020949431,2.4430462,57476.0
RNF166,up,0.0016359064853,0.020949431,4.050866,115992.0
DBI,up,0.0016389582139,0.020949431,3.3206874,1622.0
VWA5B1,up,0.0016395411633,0.020949431,2.1839431,127731.0
IGLL1,up,0.0016396623365,0.020949431,5.4432247,3543.0
MYO9A,down,0.001642817977,0.020973791,9.7500014,4649.0
NDUFV1,up,0.0016470557971,0.020980356,4.1393167,4723.0
ZNF680,up,0.0016474611784,0.020980356,2.5358286,340252.0
EGFL8,up,0.0016493178539,0.020990849,6.6464469,80864.0
NDRG2,down,0.0016537385684,0.02103394,2.5332535,57447.0
TMEM8B,up,0.0016583550016,0.021079466,3.554905,51754.0
ME1,up,0.0016594255618,0.02107989,13.7805984,4199.0
ZBTB49,up,0.0016611072406,0.02108785,3.7919141,166793.0
ZGPAT,up,0.0016621272193,0.02108785,3.3492495,84619.0
TMEM171,up,0.0016661313403,0.021125464,2.845203,134285.0
ZNF330,down,0.0016718675618,0.02118498,2.3747459,27309.0
NRG1,up,0.0016748463142,0.021196296,2.3927331,3084.0
SF3B2,up,0.0016797009789,0.02123156,3.4374765,10992.0
WWOX,down,0.0016797219201,0.02123156,2.9161481,51741.0
CDCA5,up,0.0016819776548,0.021246859,11.5996344,113130.0
TMC4,up,0.0016868434089,0.021295088,5.7896287,147798.0
SLC25A31,down,0.0016937045961,0.021366487,2.4806316,83447.0
EI24,up,0.0016946015808,0.021366487,2.4123145,9538.0
SCML4,up,0.0016964803812,0.021376915,3.7031637,256380.0
PIP5K1C,down,0.001697786746,0.021380121,2.5470844,23396.0
SIPA1L1,down,0.001701426569,0.021385783,14.4035135,26037.0
XRCC3,up,0.001701777607,0.021385783,5.9251594,7517.0
GSTM3,up,0.0017026327302,0.021385783,3.8270551,2947.0
GALK2,up,0.0017083028526,0.021415085,3.4880543,2585.0
SLC3A2,up,0.0017093821514,0.021415085,5.0948884,6520.0
TMPRSS4,up,0.0017104908357,0.021415085,4.026979,56649.0
BTBD7,down,0.001711213388,0.021415085,3.3665716,55727.0
PPP6C,up,0.0017112932041,0.021415085,33.5918055,5537.0
TNFSF4,up,0.0017121531906,0.021415085,4.5170795,7292.0
ZNF415,down,0.0017135822684,0.021419778,62.534344,55786.0
CARS,up,0.0017195148033,0.02146753,4.3228478,833.0
ATXN3L,down,0.001721028391,0.021473236,10.153479,92552.0
UTP6,up,0.001722781885,0.021481927,2.9911149,55813.0
OSBPL1A,down,0.0017280026191,0.021533816,8.4256277,114876.0
SCYL3,up,0.0017304863104,0.021546637,7.7974952,57147.0
PPP1R36,up,0.0017311517203,0.021546637,3.2359082,145376.0
PPP4C,up,0.0017338262579,0.021559142,8.5051273,5531.0
SYNPO,up,0.0017342778516,0.021559142,2.9804902,11346.0
E2F5,up,0.0017382045489,0.021594748,3.8905081,1875.0
BEX1,down,0.0017435620191,0.021634858,4.6778326,55859.0
HEPACAM,up,0.001745554934,0.021646372,3.2635446,220296.0
CSTA,up,0.0017509471548,0.021700001,189.111825,1475.0
ZDHHC12,up,0.0017527730857,0.021709392,9.3460121,84885.0
IRF9,up,0.0017573605867,0.021736478,7.1312587,10379.0
MEF2D,down,0.0017576113121,0.021736478,93.8630911,4209.0
PSMA1,up,0.0017639488426,0.021736478,4.3444629,5682.0
SLC35B2,up,0.0017646259707,0.021736478,2.8516007,347734.0
MYO18B,up,0.0017646610693,0.021736478,4.3305812,84700.0
KCTD13,up,0.001765608274,0.021736478,5.6828668,253980.0
PAICS,up,0.0017656546469,0.021736478,7.5352889,10606.0
MCCD1,up,0.0017667238597,0.021736478,6.8133164,401250.0
BDKRB1,up,0.0017700078722,0.021745511,4.4567592,623.0
PRKACG,down,0.0017704035413,0.021745511,4.0007958,5568.0
CTAGE5,up,0.0017706676458,0.021745511,2.6004391,4253.0
RGPD2,up,0.0017756481202,0.021785702,3.1882054,729857.0
PRRT2,up,0.0017760840337,0.021785702,4.459525,112476.0
ASMT,up,0.0017850473059,0.02186925,4.4749454,438.0
TSPAN15,up,0.0017889214,0.021903511,16.8935583,23555.0
C5orf45,up,0.001795456861,0.021969592,6.3954396,51149.0
CPEB2,up,0.0017964802564,0.021969592,3.1612029,132864.0
PDZD9,down,0.0018027311563,0.021976596,3.9747224,255762.0
HSD11B2,up,0.001802981662,0.021976596,3.4124147,3291.0
LYRM2,up,0.0018032325149,0.021976596,2.5579758,57226.0
SLC29A1,up,0.0018036967276,0.021976596,8.3048691,2030.0
FSD1,up,0.001803713246,0.021976596,3.0051733,79187.0
TMEM106B,up,0.0018048848275,0.021976596,5.0811646,54664.0
RPAIN,up,0.0018067843764,0.021976596,2.2654877,84268.0
TIAL1,up,0.0018088954078,0.021989114,7.9337575,7073.0
PHACTR4,down,0.0018104969395,0.021995428,3.6033557,65979.0
PHF12,up,0.0018117253093,0.021997202,5.8786145,57649.0
EFS,down,0.0018129131528,0.021998483,2.0657218,10278.0
EEF1E1,down,0.001814657476,0.022002856,97.6333187,9521.0
COG1,up,0.0018164132174,0.022002856,2.0384746,9382.0
INF2,up,0.0018165211545,0.022002856,2.8772678,64423.0
NRG4,up,0.0018178773362,0.022006168,5.0358434,145957.0
CYP2W1,down,0.0018217867428,0.022040366,9.3108615,54905.0
C2orf43,up,0.0018256950621,0.022057334,4.6796377,60526.0
SLC19A1,up,0.0018262222646,0.022057334,3.7422315,6573.0
RIPK1,up,0.0018264449026,0.022057334,3.2080671,8737.0
PURG,up,0.0018283585261,0.022063043,8.0633876,29942.0
GPBAR1,up,0.0018296845056,0.022063043,3.6234258,151306.0
POGZ,down,0.0018312039625,0.022063043,5.9608741,23126.0
PHC2,up,0.0018379813996,0.022117805,19.0659917,1912.0
XKRY2,up,0.0018394432222,0.022122298,8.0925232,353515.0
PAX1,down,0.0018412113813,0.022130468,2.9177719,5075.0
C9orf69,down,0.0018429464747,0.022138231,56.8161578,90120.0
SIAH1,up,0.0018446765214,0.022145925,3.0155423,6477.0
DDX21,down,0.0018465393818,0.022155202,8.5980039,9188.0
NOX5,up,0.0018490500812,0.022172238,5.9472709,79400.0
VOPP1,up,0.001853049636,0.022180939,2.4653848,81552.0
PBXIP1,up,0.0018544229809,0.022184313,3.2798468,57326.0
C2orf18,up,0.0018595092541,0.022219004,2.3693882,54978.0
OR10A4,up,0.0018628939127,0.022227079,2.5307506,283297.0
ZBTB38,down,0.0018633036332,0.022227079,9.6483996,253461.0
BTNL9,down,0.0018650850805,0.022227079,4.1182893,153579.0
C17orf72,up,0.0018658138446,0.022227079,7.0266888,92340.0
KCNC3,up,0.0018675312557,0.022227079,6.175212,3748.0
TMEM219,up,0.0018691913736,0.022230143,17.7908615,124446.0
MLC1,up,0.0018726847497,0.022258665,4.7126456,23209.0
TM2D2,up,0.0018840724393,0.022380931,4.7942298,83877.0
TMEFF2,up,0.0018859427692,0.022381536,3.46533,23671.0
C17orf89,down,0.0018863257305,0.022381536,5.0274111,284184.0
CHEK2,up,0.0018879007763,0.022387155,2.6758377,11200.0
AKNAD1,up,0.0018913645151,0.022415151,4.3133324,254268.0
SRM,up,0.0018950891878,0.022435103,2.6073074,6723.0
NUP133,up,0.0018952556909,0.022435103,4.2181789,55746.0
IFITM1,down,0.0018972667649,0.022445836,3.559904,8519.0
LRRC3B,down,0.0019037795614,0.022509785,19.2183708,116135.0
CCNL2,up,0.0019107999735,0.022575139,7.553684,81669.0
ARAF,up,0.0019115284171,0.022575139,4.637516,369.0
RNF144A,up,0.0019141368541,0.022592817,2.0325262,9781.0
LDHA,up,0.0019185209045,0.02263142,9.8772585,3939.0
C10orf71,up,0.0019230872113,0.022662538,4.354039,118461.0
NCAM1,down,0.0019255571822,0.022662538,4.2380136,4684.0
CCT3,up,0.0019256743532,0.022662538,6.8292376,7203.0
SPEF2,down,0.0019404020526,0.02278375,5.3494612,79925.0
AQP10,down,0.001950712863,0.022850981,9.3736483,89872.0
CARD9,down,0.0019514328545,0.022850981,3.6607792,64170.0
PGAP3,up,0.0019520862869,0.022850981,3.0285205,93210.0
DYSF,up,0.0019523256423,0.022850981,4.1360298,8291.0
DNAJC15,up,0.0019523932105,0.022850981,2.3641054,29103.0
RAD9A,up,0.0019538898961,0.022850981,2.8080216,5883.0
ZBTB16,down,0.0019547820191,0.022850981,16.8946173,7704.0
TMEM107,up,0.0019555581741,0.022850981,3.8474632,84314.0
CDHR2,up,0.0019565362841,0.022850981,5.4036575,54825.0
IL17RC,up,0.0019602471528,0.022850981,3.250168,84818.0
TRIM32,up,0.0019614263856,0.022850981,7.8033065,22954.0
CLCN6,up,0.0019626732768,0.022850981,3.0007614,1185.0
TMEM39B,up,0.0019634040148,0.022850981,3.084699,55116.0
FAHD2A,up,0.0019649901344,0.022850981,5.8998722,51011.0
BUB1,up,0.0019652405931,0.022850981,2.1058587,699.0
CYP2C8,up,0.0019677753139,0.022867372,5.9915933,1558.0
CBX1,down,0.0019696304315,0.022875851,9.6346737,10951.0
RALGAPA2,down,0.0019709851571,0.022878511,7.8933167,57186.0
SUPT3H,up,0.0019726116716,0.022884322,2.4372594,8464.0
CCDC116,down,0.0019748686318,0.022888841,2.5571747,164592.0
TXLNG,down,0.0019752535289,0.022888841,7.0517743,55787.0
UBE2V2,up,0.0019767223037,0.02289281,7.9383793,7336.0
DUSP23,up,0.0019800060751,0.022900617,2.3971327,54935.0
MED22,down,0.0019806700319,0.022900617,6.0492851,6837.0
ZC3HC1,up,0.0019811853958,0.022900617,2.7375225,51530.0
NOL7,down,0.0019819033431,0.022900617,2.6693587,51406.0
MDH2,up,0.0019836686748,0.022907667,2.0072011,4191.0
MYO1D,down,0.0019869284913,0.022919592,27.97369,4642.0
TNNT1,up,0.0019933120696,0.022972335,2.4189082,7138.0
GCNT4,down,0.0019937613451,0.022972335,3.2185276,51301.0
AADACL3,up,0.0019949191548,0.022972653,9.2649329,126767.0
HRASLS5,up,0.0019994154659,0.023011393,3.7810798,117245.0
AAMP,up,0.0020037295652,0.023036126,4.0700598,14.0
GOPC,down,0.002005339575,0.023036126,8.4807902,57120.0
ANGPT4,down,0.0020071058706,0.023036126,2.3952908,51378.0
OSTC,up,0.0020083648414,0.023036126,4.5714862,58505.0
CCDC104,up,0.0020140640674,0.023050564,4.8313649,112942.0
COMMD4,up,0.0020159942209,0.023050564,5.7946175,54939.0
MAGI3,up,0.0020162056243,0.023050564,2.7114091,260425.0
CTBP1,up,0.0020171919176,0.023050564,4.0448725,1487.0
ZNF644,down,0.0020176035787,0.023050564,3.0638041,84146.0
STMN2,down,0.0020180481602,0.023050564,2.5293147,11075.0
TTC30A,up,0.0020181538754,0.023050564,5.4639469,92104.0
PPT2,down,0.0020214927217,0.023050564,58.8955557,9374.0
SP1,down,0.0020242098751,0.023050564,2.6120943,6667.0
AMN1,up,0.0020245307574,0.023050564,10.3144741,196394.0
PNO1,up,0.0020263402948,0.023050564,2.2311206,56902.0
XRCC6,up,0.0020273947603,0.023050564,8.5062939,2547.0
TEAD3,down,0.0020278172699,0.023050564,3.578851,7005.0
FAF1,up,0.0020280526483,0.023050564,3.1830954,11124.0
SNX9,down,0.0020280800798,0.023050564,5.0544692,51429.0
TFDP2,down,0.0020289032946,0.023050564,3.5650785,7029.0
EID2B,up,0.0020317866623,0.023070427,6.3066796,126272.0
MYL12B,up,0.0020379175452,0.023106188,6.3175011,103910.0
DTX4,down,0.0020391327529,0.023106188,10.4778129,23220.0
WASF3,down,0.002039483497,0.023106188,115.7714011,10810.0
GSS,up,0.0020413827811,0.02310914,5.0471424,2937.0
JAKMIP1,up,0.0020420179435,0.02310914,2.7764459,152789.0
BRE,up,0.0020435860593,0.023114016,2.3386014,9577.0
MPHOSPH8,up,0.0020525712114,0.023195786,2.5297179,54737.0
ABCB11,up,0.0020530980731,0.023195786,4.4441339,8647.0
TULP3,up,0.0020629243314,0.023269228,2.9404256,7289.0
IL8,down,0.0020630331838,0.023269228,58.6366184,3576.0
TBATA,up,0.0020661901069,0.023275912,2.9926124,219793.0
FST,up,0.0020680348239,0.023275912,2.1213603,10468.0
DAB2IP,down,0.0020682064686,0.023275912,9.1799449,153090.0
GDE1,up,0.0020717674102,0.023283663,4.7745338,51573.0
PSMG2,up,0.0020722518031,0.023283663,7.4783525,56984.0
TGFBR2,down,0.0020734570179,0.023283663,8.5334889,7048.0
LCOR,up,0.0020734774661,0.023283663,2.5811512,84458.0
C10orf128,up,0.0020761539809,0.023294644,3.0066531,170371.0
POC1A,up,0.0020767475805,0.023294644,2.7077824,25886.0
MGAT1,up,0.0020803499714,0.02332218,3.1094024,4245.0
FAM157A,down,0.0020855913788,0.023358149,4.5816933,728262.0
LYN,down,0.0020865245186,0.023358149,2.6106562,4067.0
CACUL1,down,0.0020872949116,0.023358149,8.3052945,143384.0
SRSF11,down,0.0020890216745,0.023358149,3.8492463,9295.0
ITGAX,down,0.0020893045098,0.023358149,3.6521334,3687.0
GRIK3,down,0.0020913607986,0.023368284,4.2796162,2899.0
AXIN1,up,0.0020955391665,0.023402106,3.016645,8312.0
ZDHHC16,up,0.0020977656707,0.023411872,4.3186088,84287.0
LPCAT2,up,0.0020987173636,0.023411872,3.9091009,54947.0
E2F4,up,0.0021021486951,0.023425123,4.0470194,1874.0
GCFC1,up,0.0021024717713,0.023425123,8.2756047,94104.0
TARSL2,down,0.0021086746353,0.023460839,2.3262979,123283.0
LOC100505679,up,0.0021088784062,0.023460839,2.9346578,100505679.0
BTN3A2,down,0.0021124083745,0.023487254,3.6061831,11118.0
CLDN15,up,0.0021136094902,0.02348776,2.7424389,24146.0
NOS3,down,0.0021178067943,0.023489118,174.7000366,4846.0
KIF3A,down,0.0021194457429,0.023489118,72.1433144,11127.0
SATL1,up,0.0021195000514,0.023489118,4.7247543,340562.0
TGS1,up,0.0021195651372,0.023489118,2.600148,96764.0
MED6,up,0.0021208406078,0.023489118,4.6515014,10001.0
DRAP1,down,0.0021218214037,0.023489118,3.1300629,10589.0
FCGR3A,down,0.0021237959229,0.023492486,3.805434,2214.0
CXCL6,up,0.0021248058779,0.023492486,3.0981663,6372.0
CNTNAP3B,up,0.0021274642581,0.023492486,3.3805632,728577.0
GPR35,down,0.0021287247158,0.023492486,3.3563792,2859.0
VCAN,down,0.0021290033938,0.023492486,8.016867,1462.0
RNF185,up,0.0021324615086,0.023507365,12.5227601,91445.0
PQLC3,up,0.0021332984786,0.023507365,3.2071311,130814.0
EPAS1,down,0.002133878906,0.023507365,6.9689432,2034.0
LYVE1,up,0.0021362870223,0.02350841,11.6996973,10894.0
MEMO1,down,0.0021442481577,0.023557753,7.0450276,51072.0
FAM156B,up,0.0021496572039,0.023604421,3.489648,727866.0
RPP30,up,0.0021531468222,0.023629973,9.0480151,10556.0
CTSS,down,0.0021566116299,0.023655225,2.6421704,1520.0
ZNHIT1,up,0.0021608195175,0.023688596,5.8674557,10467.0
HSD11B1L,up,0.0021647258304,0.023718627,6.8761679,374875.0
CEP44,up,0.0021670927266,0.023727556,3.5743752,80817.0
UROS,down,0.0021689349826,0.023727556,2.5247826,7390.0
ITGB1,down,0.0021690430258,0.023727556,5.0475905,3688.0
TMEM30B,down,0.0021717015546,0.023729905,66.6714716,161291.0
TRIM41,up,0.0021727602628,0.023729905,7.4339925,90933.0
CADM1,down,0.0021750581666,0.023742243,2.4784397,23705.0
LOC100288966,down,0.0021781141847,0.02376284,4.4484257,100288966.0
MRPL1,up,0.0021826746382,0.023792955,4.0679506,65008.0
ANKS6,up,0.0021834504162,0.023792955,2.3226198,203286.0
TMEM130,up,0.0021872632726,0.023792955,3.2577318,222865.0
NFATC1,down,0.0021875922315,0.023792955,4.3209751,4772.0
HOXB4,up,0.0021893587612,0.023792955,10.513957,3214.0
DNAJB6,up,0.002189647411,0.023792955,4.1848938,10049.0
TRPM6,down,0.0021902395695,0.023792955,2.6141457,140803.0
CIDEA,up,0.002193387691,0.023809894,3.9569618,1149.0
TOR1B,up,0.0021946816458,0.023809894,4.7455974,27348.0
LMX1B,down,0.0021953132617,0.023809894,4.2524035,4010.0
RNF19B,up,0.0022015375999,0.023858205,3.4522321,127544.0
SWAP70,down,0.002202115211,0.023858205,6.9739172,23075.0
TFAP4,up,0.0022054668911,0.023881787,10.1814444,7023.0
LRRC6,down,0.0022159655426,0.023982694,3.7398822,23639.0
KRT79,down,0.0022207957511,0.024005976,2.6342557,338785.0
ZBP1,up,0.0022228134327,0.024005976,7.5341695,81030.0
TAF11,up,0.0022228472493,0.024005976,2.8705167,6882.0
LEMD2,up,0.0022242493272,0.024005976,2.3200933,221496.0
CEP97,up,0.0022255464249,0.024005976,3.3404546,79598.0
ZNF468,down,0.0022265534764,0.024005976,280.1376988,90333.0
MARCH1,down,0.0022265934436,0.024005976,13.4332682,55016.0
GSTA4,up,0.0022275656117,0.024005976,9.3799749,2941.0
RSF1,down,0.0022312142097,0.024032554,3.1479139,51773.0
HSPBAP1,up,0.002239010239,0.024096929,3.2662161,79663.0
TMEM191C,down,0.0022395620968,0.024096929,3.5028303,645426.0
DRAM1,up,0.0022419802915,0.024110185,3.1173457,55332.0
SPRN,up,0.0022514161586,0.024181071,2.7633481,503542.0
LSM5,up,0.0022518291402,0.024181071,7.3075012,23658.0
CD55,up,0.0022521410833,0.024181071,2.2779346,1604.0
GAGE1,up,0.0022540922604,0.024185814,3.7976176,2543.0
HPR,up,0.0022558983063,0.024185814,2.9926717,3250.0
SLAMF8,up,0.0022585229903,0.024185814,2.7000389,56833.0
GAB2,down,0.0022585326199,0.024185814,4.8967901,9846.0
ZFY,down,0.0022637204563,0.024215852,10.1695293,7544.0
KCTD8,up,0.0022656271431,0.024223499,3.2171507,386617.0
PAAF1,up,0.0022685595724,0.0242421,3.3552302,80227.0
ZNF498,down,0.0022741186911,0.024288735,5.0264464,221785.0
CSMD2,up,0.0022768741178,0.024293639,6.1145512,114784.0
TRUB2,up,0.0022781173319,0.024293639,7.2850067,26995.0
C10orf120,up,0.0022793961873,0.024293639,6.943341,399814.0
CXorf40A,up,0.0022808173021,0.024293639,2.1712802,91966.0
ITGA10,up,0.0022824978192,0.024293639,4.8720438,8515.0
