"GO_ID","TERM","GeneRatio","BgRatio","Count","pvalue","p.adjust","geneID"
"GO:0045671","negative regulation of osteoclast differentiation","3/88","19/10007",3,0.00057509298674822,0.120807782416964,"LILRB4/LRRC17/TLR4"
"GO:1990416","cellular response to brain-derived neurotrophic factor stimulus","2/88","6/10007",2,0.00112086941338978,0.120807782416964,"SH3GL2/WASF1"
"GO:0006814","sodium ion transport","3/88","26/10007",3,0.0014759934155519,0.120807782416964,"SCN5A/SCN7A/SLC22A5"
"GO:0010827","regulation of glucose transmembrane transport","2/88","7/10007",2,0.00156024811239621,0.120807782416964,"EDNRA/FFAR4"
"GO:0045124","regulation of bone resorption","2/88","7/10007",2,0.00156024811239621,0.120807782416964,"PDK4/SIGLEC15"
"GO:0048485","sympathetic nervous system development","2/88","7/10007",2,0.00156024811239621,0.120807782416964,"EDNRA/GFRA3"
"GO:0097484","dendrite extension","2/88","7/10007",2,0.00156024811239621,0.120807782416964,"SH3GL2/WASF1"
"GO:0055078","sodium ion homeostasis","2/88","9/10007",2,0.00264425283786181,0.159242782013456,"EDNRA/SCN7A"
"GO:0060135","maternal process involved in female pregnancy","2/88","9/10007",2,0.00264425283786181,0.159242782013456,"DSG1/IHH"
"GO:0031214","biomineral tissue development","2/88","10/10007",2,0.00328646107398218,0.161932900190758,"ECM1/TMEM119"
"GO:0090136","epithelial cell-cell adhesion","2/88","10/10007",2,0.00328646107398218,0.161932900190758,"DSP/IHH"
"GO:0007051","spindle organization","2/88","13/10007",2,0.00559972762454232,0.23676581834883,"SPAG5/TTK"
"GO:0070373","negative regulation of ERK1 and ERK2 cascade","3/88","42/10007",3,0.00589005567599021,0.23676581834883,"SIRT3/TLR4/WNK2"
"GO:0007202","activation of phospholipase C activity","2/88","14/10007",2,0.00649584642249728,0.23676581834883,"EDNRA/LPAR2"
"GO:0098703","calcium ion import across plasma membrane","2/88","15/10007",2,0.00745259218328949,0.23676581834883,"SCN5A/SCN7A"
"GO:0032691","negative regulation of interleukin-1 beta production","2/88","16/10007",2,0.00846885413996994,0.23676581834883,"FFAR4/LILRB4"
"GO:0006954","inflammatory response","6/88","205/10007",6,0.00925569811517735,0.23676581834883,"AFAP1L2/ECM1/FFAR4/FUT4/SPHK1/TLR4"
"GO:0032689","negative regulation of type II interferon production","2/88","17/10007",2,0.00954353598626306,0.23676581834883,"LILRB4/TLR4"
