"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"RGD1310257",188.208175424068,2.4620261625686,0.54398353260645,6.72653322573542,1.7375298714453e-11,2.13803050681344e-07,NA,NA
"Slc26a10",133.601909511931,2.34263449403454,0.543189495281115,5.80114314349734,6.58643430111729e-09,4.05230370376241e-05,NA,NA
"Ccnb1",195.927514594779,-1.43783317089636,0.514211463124833,-5.72920782669673,1.00900715401404e-08,4.13861101004759e-05,"CCNB1",891
"Slc15a2",219.354045956143,-1.95142526123591,0.536476838375326,-5.66005003819034,1.51328864625548e-08,4.65525419804343e-05,"SLC15A2",6565
"Rps6ka2",694.554518968562,-1.74640565455661,0.530539522548452,-5.57837787142623,2.42771831480019e-08,5.97461477272327e-05,"RPS6KA2",6196
"Kif18a",118.427101985577,1.46430711986797,0.515861420966363,5.44454182818307,5.19388985909388e-08,0.000106518024526917,"KIF18A",81930
"Hmox1",110.662188745362,-1.47644276921746,0.516639612548783,-5.35884726647102,8.37546214666253e-08,0.000147228659592403,"HMOX1",3162
"Zbtb32",120.499716854173,1.28655302034672,0.50408485585624,5.23111693316807,1.68488882685288e-07,0.000259156962680309,"ZBTB32",27033
"Dlgap5",122.243776454234,-1.90697318610988,0.535332380642555,-5.1352144573863,2.81822469544745e-07,0.000315256862522553,"DLGAP5",9787
"Hectd3",560.850214185693,-2.22509052980838,0.431758243958907,-5.16075362336463,2.45957698610626e-07,0.000315256862522553,"HECTD3",79654
"Rbak",345.799990093192,-1.89638837210308,0.53693158717856,-5.14424758123176,2.68595123048145e-07,0.000315256862522553,"RBAK",57786
"Dhx57",203.125150340789,1.47807951732778,0.517859676081328,5.02953468332151,4.91671562030965e-07,0.000504168214232586,"DHX57",90957
"Tmem150c",209.83490496861,1.92010673876169,0.53814001282988,4.99672166203398,5.83131395049438e-07,0.000551956293544872,"TMEM150C",441027
"Bfsp1",88.9761364062269,1.22064027293883,0.498947249917271,4.93004684467485,8.22099012519862e-07,0.000632245521816057,"BFSP1",631
"Pkhd1l1",190.991815874447,1.7617021244532,0.532628364825737,4.93110193237494,8.1767050653514e-07,0.000632245521816057,"PKHD1L1",93035
"Resp18",116.662460257796,1.47328941842506,0.517020117716183,4.95458123175965,7.24862300910798e-07,0.000632245521816057,"RESP18",389075
"Alms1",580.028661823427,-2.15635119594984,0.448524074079232,-4.81907464998752,1.44225586273959e-06,0.00104393872888298,"ALMS1",7840
"L3hypdh",107.14640089209,0.962754525460699,0.472681897266962,4.65365787758418,3.26097704917984e-06,0.00211191171527147,"L3HYPDH",112849
"Sapcd2",75.5961330369918,-1.13949550847016,0.491888493580319,-4.65830967546308,3.18816370982875e-06,0.00211191171527147,"SAPCD2",89958
"Trpv6",96.5787080490076,-0.949815340227276,0.471142350561069,-4.52048731134091,6.16974432433051e-06,0.00379593519554435,"TRPV6",55503
"Bcl2l13",496.240298130701,-2.28732076764747,0.522773529249041,-4.48121713274607,7.42185541558073e-06,0.00430009883821151,NA,NA
"Megf11",89.6389540022212,0.925051085354192,0.467937496635983,4.47369026676048,7.68810844702587e-06,0.00430009883821151,"MEGF11",84465
"Fam227a",72.6568527488794,0.970705746325486,0.473734557791056,4.41859212528068,9.93459321748183e-06,0.00531500737135278,"FAM227A",646851
"Nrm",99.1294681840388,-1.65486795403374,0.529865182734923,-4.39693645337786,1.09789470742399e-05,0.0056289976561884,"NRM",11270
"Caprin2",84.3248050081154,0.879672794462662,0.461810298414644,4.35357799961268,1.3393341115136e-05,0.00610389120080552,"CAPRIN2",65981
"LOC103693936",64.8140406814993,0.975551585615553,0.474352239847232,4.35370414266333,1.3385632910986e-05,0.00610389120080552,NA,NA
"Mmp11",74.0796214995265,0.926777212376083,0.468201339310661,4.35676623710486,1.31998110300733e-05,0.00610389120080552,"MMP11",4320
"Ccnd2",2909.76240067376,1.60670210745769,0.373656178087387,4.30119262280575,1.69881303375715e-05,0.00746567656442203,"CCND2",894
"Dffb",166.661636660518,1.19060521071208,0.498976174172669,4.20907689034817,2.56416125714119e-05,0.0098697474935449,"DFFB",1677
"LOC102552635",61.2548531095038,-0.938254312539988,0.469807906948594,-4.21285716959411,2.52160528108329e-05,0.0098697474935449,NA,NA
"Stard8",91.9701131095649,1.20173990354038,0.49898895274021,4.21268637257803,2.52351342627624e-05,0.0098697474935449,"STARD8",9754
"Tbc1d14",902.059571709688,-1.89842193602686,0.452038794427128,-4.20885363105513,2.56669581303077e-05,0.0098697474935449,"TBC1D14",57533
"Rc3h1",752.386165627376,-1.70440456612233,0.409008052533934,-4.16943511330019,3.05355533723846e-05,0.0113860601287028,NA,NA
"LOC102548945",63.3844311106392,-0.863084004152239,0.459578796009585,-4.10505807148262,4.0421332620598e-05,0.0142109856541845,NA,NA
"Lrp11",310.024184691888,2.12125229805748,0.5343023821307,4.10763207866469,3.99736195562454e-05,0.0142109856541845,"LRP11",84918
"Ptchd3",70.9964527597964,0.77272353939191,0.445470917945669,4.04388346791729,5.25730571659068e-05,0.0179697630118468,"PTCHD3",374308
"Socs4",72.1045706787546,-0.764378094018562,0.444119818621985,-3.99527727442798,6.46185811712385e-05,0.0214900443597862,"SOCS4",122809
"Rhebl1",53.6521096066203,0.827907153420266,0.454333123175739,3.98235920663443,6.8234547235347e-05,0.0220954237823933,"RHEBL1",121268
"LOC103691238",157.463918699751,1.72869723086964,0.538348237962031,3.96672829961434,7.28659773816482e-05,0.0229901500431072,NA,NA
"Ube2c",55.6808483125024,-0.81931080454563,0.453077954146058,-3.94730844663526,7.90347070811618e-05,0.0243130517658424,"UBE2C",11065
"Mmp7",3803.10350736496,2.02428205169229,0.527725829397075,3.92896163591321,8.53134473132572e-05,0.0256044382729178,"MMP7",4316
"Dusp28",57.5550206856981,1.30582876349316,0.509619166900491,3.90893036816804,9.27056778227428e-05,0.0266729458699033,"DUSP28",285193
"Pid1",54.8865813162067,1.0339559122821,0.482520982366655,3.90762196187983,9.3208994100434e-05,0.0266729458699033,NA,NA
"Shd",50.2991089094231,0.786756657632541,0.447854073172287,3.86759780607766,0.000109912749530384,0.0307380996129857,"SHD",56961
"Atg5",836.656338614828,-1.61172721743741,0.418980061711,-3.84937954979997,0.000118417396544507,0.0316627755926993,NA,NA
"Clec1a",109.037395925321,1.14481497663531,0.496127386244308,3.84421553498532,0.00012093867963079,0.0316627755926993,"CLEC1A",51267
"LOC103692066",108.618537857474,-1.24866468934843,0.506121373996965,-3.84692287780597,0.00011961059932338,0.0316627755926993,NA,NA
"Cxcl1",50.2635743645752,0.763459975958638,0.443977606124024,3.82271111880646,0.000131992383601272,0.0323171136616325,"CXCL2",2920
"Prkci",2842.37157721504,-1.31174517427901,0.343231009003276,-3.82205581911578,0.000132343721751961,0.0323171136616325,"PRKCI",5584
"Shpk",120.012543127039,0.9670037528064,0.475524419404486,3.81909285505561,0.00013394333984098,0.0323171136616325,"SHPK",23729
"Them4",229.432604858556,-1.61405825818648,0.534067194728924,-3.83320463337994,0.000126484649947188,0.0323171136616325,"THEM4",117145
"Kcnj15",52.0378876384987,0.740749389489478,0.440044012003827,3.79835065342479,0.000145662154996037,0.0344687080235814,"KCNJ15",3772
"Plxna3",88.5577232667476,-1.01395945478658,0.481348814082846,-3.76402074960653,0.000167203000673745,0.0388194891186873,"PLXNA3",55558
"Adcy5",112.064881870542,0.963998164972951,0.475483612018254,3.74657098507255,0.000179268291201465,0.0408499319117412,"ADCY5",111
"Ehbp1",148.483578669493,1.07061163772526,0.489145338773655,3.71467261106155,0.000203466945583787,0.0455211048256092,"EHBP1",23301
"Gfra2",72.6798891607528,1.17763510336611,0.500173748666278,3.69621672062034,0.000218836185293371,0.0476673685905967,"GFRA2",2675
"L1cam",273.241342539017,1.58259085201485,0.534352766140952,3.6895154048902,0.000224681623588347,0.0476673685905967,"L1CAM",3897
"Rab32",347.459912826419,1.67724677738472,0.539767250553068,3.69346955245913,0.000221215007810402,0.0476673685905967,"RAB32",10981
