"TERM_ID","Count_A","M_A","N_A","n_A","pvalue_A","geneID_A","p.adjust_A","PATH_NAME_A","Count_B","M_B","N_B","n_B","pvalue_B","geneID_B","p.adjust_B","PATH_NAME_B"
4640,2,88,191076,56,0.0003177466050462,"HLA-DRB4/IL1R2",0.0040247903305854,"Hematopoietic cell lineage",8,87,31072,534,0.0001284726719597,"CSF3/EPO/IL1R1/IL6/ITGA1/ITGB3/KIT/MME",0.0046250161905509,"Hematopoietic cell lineage"
4060,2,265,191076,56,0.0028086279844489,"IL1R2/TNFRSF25",0.0124782559561513,"",12,238,31072,534,0.0009216271123279,"CCR2/CCR5/CSF3/EPO/FLT1/IL1R1/IL2RB/IL6/INHBA/KIT/TGFB2/TNFRSF12A",0.0199071456262836,"Cytokine-cytokine receptor interaction"
4010,2,268,191076,56,0.0028710863809485,"PRKCB/IL1R2",0.0124782559561513,"",15,251,31072,534,3.35606175372103e-05,"CACNA1G/DUSP10/DUSP14/DUSP5/DUSP8/FGF9/GADD45A/GADD45B/IL1R1/JUND/MAP3K8/NFATC2/NR4A1/NTF3/TGFB2",0.0018122733470093,"MAPK signaling pathway"
5410,1,83,191076,56,0.0240404979804417,"SGCA",0.0333480873958468,"",6,82,31072,534,0.0029136306715071,"IL6/ITGA1/ITGA7/ITGB3/LMNA/TGFB2",0.0417961368714148,"Hypertrophic cardiomyopathy"
