"Gene","Penney_p","Cartwright_p","HUNT_p","UKBiobank_p","n_cohorts_sig","min_p","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","DEG_no_GSE53868_FDR05"
"CLEC4C","9.10E-01","2.35E-04*","1.28E-01","1.78E-01",1,0.000235,0.0110207280833342,5.522390008625,0.158402753281254,0.876352603769253,0.946494857168498,-6.28417653550173,TRUE,FALSE
"KLK4","3.01E-01","5.56E-05*","3.14E-01","6.50E-01",1,5.56e-05,-0.00740364366666608,5.76325396541667,-0.15825846848723,0.876464229058612,0.946494857168498,-6.28420012116103,TRUE,FALSE
"MYT1L","5.60E-01","7.71E-01","1.15E-01","6.34E-04*",1,0.000634,0.00771431108333331,5.34628862220833,0.146190887537514,0.885809659432941,0.950658808806136,-6.28609694093,TRUE,FALSE
"SAA4","7.18E-01","2.25E-01","6.98E-01","7.31E-04*",1,0.000731,0.00458755575000061,5.374401320125,0.145507342130094,0.886339554641324,0.950880179602086,-6.28619989714568,TRUE,FALSE
"PCP2","5.21E-01","5.53E-01","4.39E-02†","7.16E-04*",2,0.000716,-0.00577739783333228,6.98492591775,-0.135252600153981,0.89429580684719,0.955030221004808,-6.28768672086239,TRUE,FALSE
"CDK8","3.52E-01","6.37E-01","1.58E-01","2.25E-04*",1,0.000225,0.0113207917500007,8.024382287625,0.127987091459039,0.899940023260546,0.957166962454234,-6.28867457315749,TRUE,FALSE
"CKAP2L","9.66E-04*","5.53E-01","2.94E-01","1.58E-01",1,0.000966,0.00547693266666758,5.53876918325,0.113548743373674,0.911172816444163,0.962253261946128,-6.29047617263755,TRUE,FALSE
"PLD4","4.50E-02†","6.36E-01","3.25E-02†","3.63E-04*",3,0.000363,-0.00216030541666615,6.03483065729167,-0.0417678915926431,0.967260782106755,0.98669879079727,-6.29623872678374,TRUE,FALSE
"NRAP","2.58E-01","2.86E-04*","3.81E-01","5.81E-01",1,0.000286,-0.000826249499999518,5.436165134,-0.0231932916935551,0.981816329289735,0.992855256665602,-6.29686268488326,TRUE,FALSE
"SHOX2","9.34E-04*","9.84E-02","6.03E-02","1.38E-01",1,0.000934,0.000425412333334324,6.65267970566667,0.00357399789513007,0.997197703230597,0.999414337537661,-6.29713426435813,TRUE,FALSE
"ADGRF2","7.84E-01","6.78E-01","8.08E-01","8.25E-04*",1,0.000825,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"AHNAK2","5.78E-02","6.47E-01","1.54E-02†","1.28E-04*",2,0.000128,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"APOE1","2.95E-01","3.65E-01","2.32E-01","5.40E-04*",1,0.00054,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"BCL22","2.17E-01","4.83E-04*","5.89E-01","7.39E-01",1,0.000483,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CCDC142","3.22E-06*","3.51E-01","5.99E-01","6.39E-01",1,3.22e-06,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CCDC85A","9.59E-01","7.20E-02","8.87E-04*","3.36E-01",1,0.000887,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CCN4","3.58E-01","8.36E-01","5.78E-04*","9.10E-02",1,0.000578,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CCNYL1","4.14E-05*","5.62E-01","4.26E-01","5.11E-01",1,4.14e-05,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CELF6","3.61E-01","5.84E-01","6.37E-04*","1.74E-02†",2,0.000637,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CEP170B","2.98E-01","3.01E-01","7.44E-02","5.80E-04*",1,0.00058,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CFAP46","2.31E-01","6.50E-01","5.44E-01","3.30E-04*",1,0.00033,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"CFAP58","5.85E-01","7.56E-01","5.62E-04*","4.13E-01",1,0.000562,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"DMRTA2","5.99E-05*","1.31E-01","6.97E-02","2.33E-01",1,5.99e-05,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"DUS2","2.42E-01","5.56E-01","4.57E-01","2.79E-04*",1,0.000279,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"EIPR1","8.81E-02","8.35E-01","9.22E-01","7.20E-04*",1,0.00072,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"ELFN1","4.31E-01","1.41E-01","5.04E-02","1.76E-04*",1,0.000176,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"ERLEC1","4.38E-02†","9.97E-01","8.54E-04*","7.03E-01",2,0.000854,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"ESRP2","4.83E-01","7.28E-01","2.97E-01","2.67E-04*",1,0.000267,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"FAM117B","5.91E-01","5.95E-01","5.31E-01","1.17E-04*",1,0.000117,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"FAM193A","7.05E-04*","7.07E-01","9.60E-02","5.34E-01",1,0.000705,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"FAM53A","5.52E-01","1.74E-01","5.12E-01","3.26E-04*",1,0.000326,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"FBN23","6.75E-01","6.48E-04*","5.48E-01","2.05E-01",1,0.000648,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"FBXO45","1.61E-01","5.42E-04*","4.49E-01","4.99E-01",1,0.000542,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"INKA2","7.59E-01","6.00E-02","6.65E-04*","8.77E-01",1,0.000665,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"INO80B","2.17E-06*","3.74E-01","6.70E-01","8.42E-01",1,2.17e-06,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"KDM5A","4.90E-01","6.51E-01","4.93E-04*","8.08E-01",1,0.000493,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"LCA5","5.05E-01","4.43E-01","3.73E-05*","1.52E-02†",2,3.73e-05,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"METTL21A","2.21E-04*","4.47E-01","4.59E-01","7.23E-01",1,0.000221,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"MNR","2.72E-01","2.06E-01","8.44E-04*","1.84E-01",1,0.000844,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"MOGS","2.33E-06*","3.73E-01","6.07E-01","7.27E-01",1,2.33e-06,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"NANOGNB","5.73E-01","3.66E-05*","5.95E-01","1.44E-01",1,3.66e-05,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"NBEAL1","4.95E-01","8.77E-01","3.39E-01","5.26E-07*",1,5.26e-07,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"NME8","7.18E-04*","9.33E-02","6.70E-02","7.40E-01",1,0.000718,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"NMRK1","2.86E-04*","1.83E-01","9.54E-01","7.20E-01",1,0.000286,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"NRN1L","4.89E-01","1.05E-01","4.76E-01","6.26E-04*",1,0.000626,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"PET100","5.16E-01","7.45E-01","4.86E-02†","8.66E-04*",2,0.000866,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"PLA2G15","5.76E-01","6.68E-01","2.53E-01","3.20E-04*",1,0.00032,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"SMCO1","2.05E-01","2.48E-04*","2.08E-01","5.40E-01",1,0.000248,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"SNRNP35","7.90E-01","8.35E-04*","1.83E-01","3.57E-02†",2,0.000835,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"SUV3","7.01E-04*","6.30E-01","6.30E-01","7.91E-01",1,0.000701,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"SYNE3","7.43E-02","4.06E-01","6.25E-01","2.80E-04*",1,0.00028,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"THNSL2","5.24E-01","3.78E-01","2.08E-04*","7.45E-01",1,0.000208,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"TMEM114","7.97E-02","9.08E-04*","1.39E-01","5.63E-01",1,0.000908,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"TMEM241","8.84E-04*","5.98E-01","6.68E-01","2.70E-01",1,0.000884,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"TXNDC17","2.64E-01","4.98E-01","4.96E-04*","1.64E-01",1,0.000496,NA,NA,NA,NA,NA,NA,FALSE,FALSE
