"Gene","Penney_p","Cartwright_p","HUNT_p","UKBiobank_p","n_cohorts_sig","min_p","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","DEG_no_GSE53868_FDR05"
"LAPTM4A","4.61E-04*","7.31E-01","5.76E-01","1.49E-01",1,0.000461,-0.136641788333331,15.77430567,-2.51818379825033,0.0242749255038236,0.133025357855709,-3.60101489990207,TRUE,FALSE
"SLC12A4","3.62E-01","2.69E-01","2.57E-01","5.94E-04*",1,0.000594,0.196114164750001,9.93935637029167,2.4971520156838,0.0252894434062096,0.136169312477618,-3.63836875840198,TRUE,FALSE
"TANC2","2.09E-01","1.10E-01","3.96E-01","1.75E-04*",1,0.000175,0.124112115833334,6.46023860083333,2.48980211191178,0.025653457149163,0.137246742255258,-3.65139583213771,TRUE,FALSE
"DDX20","6.88E-01","8.90E-02","7.07E-04*","7.57E-01",1,0.000707,-0.184658325083333,9.90025735595833,-2.46910665329852,0.0267055307172694,0.140738509234565,-3.688000519628,TRUE,FALSE
"TLX2","1.51E-05*","2.77E-01","7.03E-01","3.83E-01",1,1.51e-05,0.0738802740000005,7.26920261,2.45910711022954,0.0272285115404968,0.14249455857784,-3.70564606707484,TRUE,FALSE
"CCDC102B","2.05E-01","5.99E-04*","5.01E-01","8.74E-01",1,0.000599,0.230484170750001,8.52932210329167,2.44574008274025,0.0279428893795675,0.144696980862296,-3.72919157671512,TRUE,FALSE
"ZNF578","5.79E-04*","1.04E-01","7.18E-01","3.66E-01",1,0.000579,-0.138888662,7.6763401105,-2.44422462058371,0.0280249991942315,0.144890644752606,-3.73185791172204,TRUE,FALSE
"ITGA2","6.13E-04*","8.62E-02","2.09E-02†","5.60E-01",2,0.000613,0.18024900075,6.44427219304167,2.43979901879385,0.0282661024731078,0.145706669123223,-3.73964077107682,TRUE,FALSE
"ACTN3","4.63E-02†","5.42E-01","7.25E-01","9.93E-04*",2,0.000993,0.29239172625,7.87827933995833,2.43726148526488,0.0284052352889191,0.146075401323591,-3.74410082448189,TRUE,FALSE
"DOK1","1.06E-04*","1.12E-01","6.03E-01","6.98E-01",1,0.000106,-0.119970601666666,10.4047358725,-2.41297722954731,0.0297701257747484,0.150262167971289,-3.7866921705241,TRUE,FALSE
