"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"A3galt2",781.964292155642,-0.0221496503241362,0.493226301686268,-0.0449046022780437,0.964183348459484,0.999906855889024,"A3GALT2",127550
"Aaas",429.517694580278,0.926692686802652,0.77820504662774,1.19260431300778,0.233024375919137,0.999906855889024,"AAAS",8086
"Aacs",974.357368957851,-0.365197999477427,0.819511470784625,-0.445832078858563,0.655718547836274,0.999906855889024,"AACS",65985
"Aagab",1747.03777645645,-0.621018981461299,0.548275690353437,-1.13267911936174,0.257349029446491,0.999906855889024,"AAGAB",79719
"Aamdc",502.350756067393,0.082242029361796,0.77320592179532,0.106379731390085,0.915281073823959,0.999906855889024,"AAMDC",28971
"Aamp",4884.50202678966,-0.133729895304502,0.371990634997829,-0.359495052282154,0.719224778485023,0.999906855889024,"AAMP",14
"Aar2",743.336777400141,-0.519204883478648,0.586081536068392,-0.885875285601248,0.375684735199458,0.999906855889024,"AAR2",25980
"Aars2",123.758663168018,-0.269729396013016,0.858024084508134,-0.315043218445005,0.752728839817242,0.999906855889024,"AARS2",57505
"Aasdh",148.861874427642,-0.179659212552929,0.859834935609402,-0.209091420607036,0.834376872050035,0.999906855889024,"AASDH",132949
"Aasdhppt",752.558503810698,0.150405641572961,0.654556740816584,0.229783815412232,0.818259761675237,0.999906855889024,"AASDHPPT",60496
"Aatf",317.019802494008,-0.116956145275998,0.86247814288192,-0.135616849782617,0.892124184322029,0.999906855889024,"AATF",26574
"Aatk",87.6757856103447,-0.39879562942213,0.81629708359178,-0.496707862389841,0.619395077185637,0.999906855889024,"AATK",9625
"Abca1",651.377750933954,-0.911050817775806,0.56114508368325,-1.62356516262393,0.1044686456026,0.887762337813888,"ABCA1",19
"Abca2",2723.61576920296,-0.127232417720046,0.571458592493959,-0.222644058307565,0.823812543413236,0.999906855889024,"ABCA2",20
"Abca7",63.7430683102717,-0.0943047697983348,0.779747504747169,-0.121093609036702,0.903616891175774,0.999906855889024,"ABCA7",10347
"Abcb10",582.907745119706,-0.439110234901662,0.775053725406794,-0.566703019633642,0.570915968953059,0.999906855889024,"ABCB10",23456
"Abcb6",880.994340639581,0.816812607415529,0.48738119582706,1.67593415120384,0.0937510914457011,0.86965774876987,"ABCB6",10058
"Abcb7",32.8356803559988,0.0440662521677945,0.657785857813761,0.0671349553152276,0.946474266339439,0.999906855889024,"ABCB7",22
"Abcb8",435.503739151013,-0.0848733755476672,0.714795154499309,-0.118728445243537,0.905490499894114,0.999906855889024,"ABCB8",11194
"Abcb9",269.496870863851,-0.153562902366276,0.83025888604436,-0.185279291710632,0.853009979641483,0.999906855889024,"ABCB9",23457
