"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Dsel",459.469402409441,3.49416720338613,0.393559696619277,8.87118028041732,7.23746761069062e-19,1.01324546549669e-14,"DSEL",92126
"Spag5",753.152053908773,8.35809236692133,0.978828338045902,7.93769114345843,2.05979470530907e-15,1.44185629371635e-11,"SPAG5",10615
"Fam124a",148.412121862869,-6.82112938335891,0.809462771553883,-7.31213633863487,2.62928124214069e-13,1.22699791299899e-09,"FAM124A",220108
"Dsg1",476.21820210827,7.11377111535204,1.03200870356352,6.99521730559654,2.64848100237614e-12,9.26968350831649e-09,"DSG1",1828
"Kremen1",142.827773984652,-7.34974724708838,0.96060716777635,-6.93192261961581,4.15159046890904e-12,1.16244533129453e-08,"KREMEN1",83999
"Bbs10",113.432976971423,6.07520173171046,0.841973929304344,6.74881541086695,1.49057075690875e-11,3.47799843278707e-08,"BBS10",79738
"Siglec15",119.947484755036,-7.09446877840631,0.972728943409996,-6.67315920885168,2.50354533886406e-11,5.00709067772813e-08,"SIGLEC15",284266
"Dcbld1",160.466945925547,-7.02681762890042,0.996082204285158,-6.56981976305145,5.03762019299846e-11,7.8362980779976e-08,"DCBLD1",285761
"Xk",194.189118213972,-6.78070053189149,0.901729006787869,-6.57684912795142,4.80521902207132e-11,7.8362980779976e-08,"XK",7504
"Ffar4",125.398630150875,-6.98325863585335,0.985845628662875,-6.53990516243356,6.15578563142244e-11,8.33472341724467e-08,"FFAR4",338557
"Plagl1",210.227654905848,6.95085593556142,0.934132574087341,6.53064486291261,6.54871125640652e-11,8.33472341724467e-08,"PLAGL1",5325
"Wnk2",169.454054098661,-5.77644341617373,0.862270096685405,-6.47138064465697,9.71114517127413e-11,1.13296693664865e-07,"WNK2",65268
"Asprv1",196.087078117021,6.65777109038269,1.03690066661651,6.34912383236743,2.16544676148664e-10,2.19690612877529e-07,NA,NA
"Zswim5",105.133712819957,6.80005652699756,1.003885335172,6.34690435750949,2.19690612877529e-10,2.19690612877529e-07,"ZSWIM5",57643
"Hpse2",164.029704737403,-5.01273011513637,0.783596328170353,-6.31786668906737,2.6519862491063e-10,2.47518716583254e-07,"HPSE2",60495
"Lilrb4",165.019905071921,4.79148064017091,0.77099075749541,6.16656798756592,6.97880823426044e-10,6.10645720497788e-07,"LILRB4",11006
"Acot1",88.2576183892726,-5.55174189144587,0.847673254641868,-6.14513623757439,7.98949102476105e-10,6.57958084392086e-07,NA,NA
