"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"04972",1,101,5868,47,0.55923805630744,"CPA3",0.623518292664616
"04114",1,112,5868,47,0.597211681956764,"YWHAZ",0.657671284966165
"04270",1,116,5868,47,0.610210470587164,"RAF1",0.657671284966165
"04670",1,116,5868,47,0.610210470587164,"CTNND1",0.657671284966165
"04080",2,272,5868,47,0.648219677565945,"ADORA3/HTR2C",0.690650464085547
"04530",1,132,5868,47,0.658222291990342,"CDK4",0.690650464085547
"05160",1,134,5868,47,0.66380078920417,"RAF1",0.690650464085547
"04650",1,136,5868,47,0.669290140454036,"RAF1",0.690650464085547
"04310",1,150,5868,47,0.705333968998905,"SMAD2",0.720183105188356
"04062",1,189,5868,47,0.78666315223242,"RAF1",0.794857560068174
"01100",7,1130,5868,47,0.827558511033707,"AGL/ALOX12/COX4I1/FECH/ITPKB/NDUFA4/AGPAT1",0.827558511033707
