"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0050680",1,55,191076,56,0.0159945879500968,"CDKN1C",0.0207631607550946,"negative regulation of epithelial cell proliferation"
"GO:0050853",1,56,191076,56,0.0162830604378064,"PRKCB",0.0210721958606906,"B cell receptor signaling pathway"
"GO:0019731",1,57,191076,56,0.0165714498662196,"PI3",0.0211830765874,"antibacterial humoral response"
"GO:0032024",1,57,191076,56,0.0165714498662196,"PRKCB",0.0211830765874,"positive regulation of insulin secretion"
"GO:0048812",1,57,191076,56,0.0165714498662196,"GAS7",0.0211830765874,"neuron projection morphogenesis"
"GO:0090398",1,57,191076,56,0.0165714498662196,"TP63",0.0211830765874,"cellular senescence"
"GO:0042475",1,58,191076,56,0.0168597562588163,"TP63",0.0214859088908086,"odontogenesis of dentin-containing tooth"
"GO:0032091",1,59,191076,56,0.0171479796390712,"DKK1",0.0217867947997926,"negative regulation of protein binding"
"GO:0009749",1,60,191076,56,0.0174361200304508,"PRKCB",0.022085752038571,"response to glucose"
"GO:0007346",1,62,191076,56,0.0180121519404232,"CKS2",0.0226779503346292,"regulation of mitotic cell cycle"
"GO:0032731",1,62,191076,56,0.0180121519404232,"CASP1",0.0226779503346292,"positive regulation of interleukin-1 beta production"
"GO:0030163",1,63,191076,56,0.0183000435059174,"DPP3",0.0229712257822026,"protein catabolic process"
"GO:0050679",1,65,191076,56,0.0188755779751295,"NME1",0.0235522137122511,"positive regulation of epithelial cell proliferation"
"GO:0097190",1,65,191076,56,0.0188755779751295,"TNFRSF25",0.0235522137122511,"apoptotic signaling pathway"
"GO:0001819",1,66,191076,56,0.0191632209257104,"S100A13",0.0235594892557264,"positive regulation of cytokine production"
"GO:0006814",1,66,191076,56,0.0191632209257104,"FXYD3",0.0235594892557264,"sodium ion transport"
"GO:0007611",1,66,191076,56,0.0191632209257104,"DKK1",0.0235594892557264,"learning or memory"
"GO:0010977",1,66,191076,56,0.0191632209257104,"DKK1",0.0235594892557264,"negative regulation of neuron projection development"
"GO:0071560",1,66,191076,56,0.0191632209257104,"CLDN1",0.0235594892557264,"cellular response to transforming growth factor beta stimulus"
"GO:0030514",1,68,191076,56,0.0197382583759306,"DKK1",0.0241952844608181,"negative regulation of BMP signaling pathway"
"GO:0006813",1,69,191076,56,0.0200256529223944,"FXYD3",0.0244757980162599,"potassium ion transport"
"GO:0008217",1,72,191076,56,0.0208873401280083,"NPR1",0.0253069802130651,"regulation of blood pressure"
