"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0010718",6,44,31072,534,0.000101594778486004,"FOXC1/IL6/LRG1/MDK/SNAI1/TGFB2",0.00692349601534249,"positive regulation of epithelial to mesenchymal transition"
"GO:2000379",5,29,31072,534,0.000124226382713248,"AKR1C1/CDKN1A/GADD45A/RIPK1/ZC3H12A",0.0081634480068706,"positive regulation of reactive oxygen species metabolic process"
"GO:0048661",6,47,31072,534,0.000147956601728424,"HBEGF/IL6/ITGB3/MYB/NR4A3/PTGS2",0.00938759128207931,"positive regulation of smooth muscle cell proliferation"
"GO:0016477",12,205,31072,534,0.0002434992141329,"EPHB3/FAM83D/FLT1/FOXC1/ITGB3/NEDD9/NFATC2/RND1/RND2/RND3/SDC2/TGFB2",0.0146608829289051,"cell migration"
"GO:0016525",7,73,31072,534,0.000260529775083627,"ADAMTS1/CCR2/FOXC1/GADD45A/KLF4/TGFB2/THBS4",0.0146608829289051,"negative regulation of angiogenesis"
"GO:0030154",19,441,31072,534,0.000263225223614305,"APOLD1/BMP8B/CPNE5/CREM/ETS2/FGF9/FLT1/FOXC1/GADD45B/ID4/INHBA/MDK/NANOG/RHOB/SLC2A14/SYT1/TNFRSF12A/TTLL7/ZC3H12A",0.0146608829289051,"cell differentiation"
"GO:0150077",3,8,31072,534,0.000265054726065432,"IL6/PTGS2/SPHK1",0.0146608829289051,"regulation of neuroinflammatory response"
"GO:0006915",19,445,31072,534,0.000294524675707751,"COMP/CYFIP2/DLC1/EMP1/GADD45A/GADD45B/GZMA/GZMH/NR4A1/PHLDA1/PHLDA2/PLK3/PPP1R15A/RHOB/RIPK1/SIX1/STK17B/TNFRSF12A/ZC3H12A",0.0146608829289051,"apoptotic process"
"GO:0060282",2,2,31072,534,0.000294811232809504,"PDE3A/PDE5A",0.0146608829289051,"positive regulation of oocyte development"
"GO:0061756",2,2,31072,534,0.000294811232809504,"CCR2/LRG1",0.0146608829289051,"leukocyte adhesion to vascular endothelial cell"
"GO:1905337",2,2,31072,534,0.000294811232809504,"BAG3/HSPB8",0.0146608829289051,"positive regulation of aggrephagy"
"GO:0001525",12,211,31072,534,0.000316899658213996,"APOLD1/EPHB3/FGF9/FLT1/FOXC1/HAND2/PTGS2/RAMP1/RHOB/SERPINE1/TNFRSF12A/ZC3H12A",0.0153446150293093,"angiogenesis"
"GO:0010863",3,9,31072,534,0.000392507321824876,"ABL2/FLT1/KIT",0.0180553368039443,"positive regulation of phospholipase C activity"
"GO:0070837",3,9,31072,534,0.000392507321824876,"SLC2A1/SLC2A14/SLC2A3",0.0180553368039443,"dehydroascorbic acid transport"
"GO:2000134",5,37,31072,534,0.000407233344263741,"CDKN1A/FAM107A/INHBA/KLF4/WEE1",0.0182758378889094,"negative regulation of G1/S transition of mitotic cell cycle"
"GO:0009611",6,57,31072,534,0.000432651596032929,"CCR2/F2R/FOSL1/GLI1/MDK/TGFB2",0.0189542603976331,"response to wounding"
"GO:0060038",4,22,31072,534,0.000493388511769613,"FGF9/FOXC1/TGFB2/WNT2",0.0211124386431648,"cardiac muscle cell proliferation"
"GO:0045599",5,39,31072,534,0.00052293699151009,"ID4/IL6/JDP2/MSX2/SOD2",0.0218682741904219,"negative regulation of fat cell differentiation"
"GO:0030218",5,40,31072,534,0.000589278567853971,"DYRK3/EPO/INHBA/KIT/MYB",0.0239374602313626,"erythrocyte differentiation"
"GO:0007165",32,996,31072,534,0.000598436505784065,"ABL2/ALCAM/ANK3/BMP8B/CREM/DLC1/EPO/FAM83D/FGF9/GEM/GPRC5A/HBEGF/IL2RB/KIT/LEFTY2/MDK/NEDD9/NR4A1/NR4A2/NTF3/OGN/PDE5A/PDE8B/PSD/RHOB/RND1/RND2/RND3/TCP11L2/THBS4/TTR/VLDLR",0.0239374602313626,"signal transduction"
"GO:0003198",3,11,31072,534,0.000751465015093828,"MSX2/SNAI1/SNAI2",0.0282182781178091,"epithelial to mesenchymal transition involved in endocardial cushion formation"
"GO:0035313",3,11,31072,534,0.000751465015093828,"HBEGF/LRG1/MSX2",0.0282182781178091,"wound healing, spreading of epidermal cells"
"GO:0046323",3,11,31072,534,0.000751465015093828,"SLC2A1/SLC2A14/SLC2A3",0.0282182781178091,"glucose import"
"GO:0010574",2,3,31072,534,0.000874337813275332,"CCR2/IL6",0.0287282424361895,"regulation of vascular endothelial growth factor production"
"GO:0036018",2,3,31072,534,0.000874337813275332,"MT1X/MT2A",0.0287282424361895,"cellular response to erythropoietin"
"GO:0038162",2,3,31072,534,0.000874337813275332,"EPO/KIT",0.0287282424361895,"erythropoietin-mediated signaling pathway"
"GO:0051795",2,3,31072,534,0.000874337813275332,"MSX2/TGFB2",0.0287282424361895,"positive regulation of timing of catagen"
"GO:1900625",2,3,31072,534,0.000874337813275332,"HAS2/NR4A3",0.0287282424361895,"positive regulation of monocyte aggregation"
"GO:1902219",2,3,31072,534,0.000874337813275332,"EPO/PTGS2",0.0287282424361895,"negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress"
"GO:1903978",2,3,31072,534,0.000874337813275332,"IL6/SPHK1",0.0287282424361895,"regulation of microglial cell activation"
"GO:0034612",4,26,31072,534,0.000955014606786347,"PTGS2/RIPK1/SELE/SPHK1",0.0303353842056494,"response to tumor necrosis factor"
"GO:0002690",3,12,31072,534,0.000989197311053785,"IL6/MDK/PTN",0.0303353842056494,"positive regulation of leukocyte chemotaxis"
"GO:0032516",3,12,31072,534,0.000989197311053785,"ITGA1/PPP1R15A/PPP1R15B",0.0303353842056494,"positive regulation of phosphoprotein phosphatase activity"
"GO:0043518",3,12,31072,534,0.000989197311053785,"DYRK3/SNAI1/SNAI2",0.0303353842056494,"negative regulation of DNA damage response, signal transduction by p53 class mediator"
"GO:0048146",5,45,31072,534,0.00101979281251447,"CDKN1A/FOSL2/ITGB3/SPHK1/WNT2",0.0307609635250268,"positive regulation of fibroblast proliferation"
"GO:0000079",5,46,31072,534,0.00112818784556584,"CDKN1A/CDKN2A/DIRAS3/GADD45A/SERTAD1",0.0334817038038893,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0032956",6,69,31072,534,0.00120215518032251,"ABL2/DLC1/FAM107A/FZD10/ITGB3/NEDD9",0.035110563996721,"regulation of actin cytoskeleton organization"
"GO:0010463",3,13,31072,534,0.00126959895677284,"FGF9/HAND2/WNT2",0.0353948800070004,"mesenchymal cell proliferation"
"GO:0031668",3,13,31072,534,0.00126959895677284,"CDKN1A/FOSL1/NR4A2",0.0353948800070004,"cellular response to extracellular stimulus"
"GO:1904754",3,13,31072,534,0.00126959895677284,"ADAMTS1/FGF9/NR4A3",0.0353948800070004,"positive regulation of vascular associated smooth muscle cell migration"
"GO:0019221",8,125,31072,534,0.00146882651256689,"CCR2/CSF3/CTSG/FOSL1/IL2RB/IL6/INHBA/KIT",0.0397447173988689,"cytokine-mediated signaling pathway"
"GO:0045766",8,125,31072,534,0.00146882651256689,"CCBE1/FLT1/ITGB3/LRG1/RHOB/SERPINE1/SPHK1/ZC3H12A",0.0397447173988689,"positive regulation of angiogenesis"
"GO:0055093",3,14,31072,534,0.00159531721945368,"CDKN1A/EPO/SOD2",0.0424118203980426,"response to hyperoxia"
"GO:0030282",5,50,31072,534,0.00164859110689763,"COMP/FOSL2/KLF10/PTGS2/PTN",0.0424118203980426,"bone mineralization"
"GO:0002138",2,4,31072,534,0.00172874267926804,"RBP1/RDH10",0.0424118203980426,"retinoic acid biosynthetic process"
"GO:0010957",2,4,31072,534,0.00172874267926804,"SNAI1/SNAI2",0.0424118203980426,"negative regulation of vitamin D biosynthetic process"
"GO:0023052",2,4,31072,534,0.00172874267926804,"CCR5/TGFB2",0.0424118203980426,"signaling"
"GO:0032765",2,4,31072,534,0.00172874267926804,"KIT/NR4A3",0.0424118203980426,"positive regulation of mast cell cytokine production"
"GO:0055118",2,4,31072,534,0.00172874267926804,"PDE5A/ZC3H12A",0.0424118203980426,"negative regulation of cardiac muscle contraction"
"GO:0071479",4,31,31072,534,0.00187831641343423,"CDKN1A/GADD45A/RHOB/SNAI2",0.0454750289568288,"cellular response to ionizing radiation"
