"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"A2ml1",93.5171013066668,-0.31529531363334,0.337706769783395,-1.48908179251227,NA,NA,"OVOS2",144203
"A3galt2",776.282366177176,-0.177788969886502,0.514198313565077,-0.34579654867819,0.729495619094626,0.999856671432754,"A3GALT2",127550
"Aaas",129.145433915814,-0.299842012482767,0.529127210559393,-0.570092993989226,0.568614626718896,0.999856671432754,"AAAS",8086
"Aacs",1378.61178636756,-0.384464565685178,0.543774161563682,-0.70841972354425,0.47868464767022,0.999856671432754,"AACS",65985
"Aagab",1636.51632995883,-0.135449762340756,0.482983642631742,-0.28044380909881,0.779137030129196,0.999856671432754,"AAGAB",79719
"Aamdc",325.631011463733,-0.117352793170013,0.525209783974003,-0.223448889334716,0.823186157843123,0.999856671432754,"AAMDC",28971
"Aamp",5253.48918917383,-0.434228025134575,0.375252147024354,-1.15718627606058,0.247196263552932,0.999856671432754,"AAMP",14
"Aar2",338.85406220788,0.402996229069068,0.530582071743545,0.767622618902345,0.44271142045014,0.999856671432754,"AAR2",25980
"Aars2",424.742418206428,-0.17472502967835,0.528335565628634,-0.331428723518599,0.740320671513408,0.999856671432754,"AARS2",57505
"Aasdh",126.479800865783,0.282053065421774,0.544456760444818,0.519216892788766,0.603609500184848,0.999856671432754,"AASDH",132949
"Aasdhppt",511.324680506218,-1.04082583417359,0.45410151093506,-2.29367903621566,0.0218089417812966,0.839461744668363,"AASDHPPT",60496
"Aatf",298.087348512878,0.0384329253541949,0.488497395692498,0.0787025028593465,0.937269254663822,0.999856671432754,"AATF",26574
"Abca1",701.151100235059,0.49584096127188,0.519823857552144,0.954816266490812,0.339670619874278,0.999856671432754,"ABCA1",19
"Abca2",3039.9376280579,0.336491025353936,0.438198946590828,0.767936108613088,0.442525143860748,0.999856671432754,"ABCA2",20
"Abca7",287.930298867157,0.761333461316065,0.478120483082004,1.94704808268981,0.0515289703944713,0.999856671432754,"ABCA7",10347
"Abcb10",469.805164453825,0.306597622221748,0.538225153613791,0.570100215666193,0.56860972889614,0.999856671432754,"ABCB10",23456
"Abcb4",115.270065218313,0.516035583976646,0.403215181509661,2.02973649274442,0.0423833313838073,0.999856671432754,"ABCB4",5244
"Abcb6",553.770927273763,0.764952620850437,0.539976818093051,1.42483764522933,0.154204137607984,0.999856671432754,"ABCB6",10058
"Abcb7",64.0234258233547,0.35959780179789,0.385614281804269,1.14443202289822,0.252444514110261,0.999856671432754,"ABCB7",22
