"Human_Entrez_ID","Rat_Gene_Symbol","Human_Ortholog_Symbol","SUI_36h_log2FC","SUI_36h_padj","POP_log2FC","POP_padj"
"55790","Csgalnact1","CSGALNACT1",-1.83784804640556,0.0836866006854257,-1.03555305166776,0.00285205142656838
"8821","Inpp4b","INPP4B",-4.56724687656333,0.00268809929092679,-0.908214575751624,0.00740903158056541
"5284","Pigr","PIGR",-2.13496607524488,0.0820307516466203,-1.02087786137667,0.0297570511177597
"1893","Ecm1","ECM1",1.94889107953805,0.000179048124657764,1.04293784839031,0.0312643772077564
"4908","Ntf3","NTF3",-3.86074596860589,0.0180026098802454,-0.960477089189454,0.0340057540199508
"57673","Bend3","BEND3",3.63730382778901,0.000194317410766647,0.597388241575859,0.0341972125583116
"2170","Fabp3","FABP3",-3.12620958385713,0.0745207982677292,-1.03648170991206,0.0369852183118527
"57152","Slurp1","SLURP1",1.84526529599406,0.0644796855781309,1.3622957369901,0.0438705599669892
"83999","Kremen1","KREMEN1",-7.34974724708838,1.16244533129453e-08,0.919929357026333,0.0450275870835733
"6281","S100a10","S100A10",1.21160031234972,0.0899969225465624,0.919891844727685,0.0553576651805668
"93099","Dmkn","DMKN",3.62103491133792,0.0283259860549764,1.22340828738262,0.0576875148081972
"2239","Gpc4","GPC4",-4.30404020074211,5.70791987127847e-05,-0.828823075455845,0.0702571055950508
"8877","Sphk1","SPHK1",2.15183222879692,0.000914809249471573,1.07757440278752,0.0761199619427794
"80323","Ccdc68","CCDC68",-4.47675194255787,0.00168548881668311,-0.842227170171152,0.0809270643823208
"89958","Sapcd2","SAPCD2",3.0676541104983,0.00934122462737985,1.03276926221225,0.0853623997399751
"286336","Fam78a","FAM78A",-2.97650987586043,0.0732455747191051,-0.928552547328433,0.0902587748893405
"29108","Pycard","PYCARD",1.55223505578668,0.0569798943294617,0.692206258675241,0.0944136057955286
"25989","Ulk3","ULK3",-6.25801107535756,3.22152603386334e-06,0.508073677643822,0.0955152302621377
"55824","Pag1","PAG1",4.89431112491978,0.000671605166400615,-0.707325223309051,0.0957539668689514
"80157","Cwh43","CWH43",2.08858030275373,0.0251026774359189,1.16556155902801,0.0957539668689514
