"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rat_Gene_Symbol"
18.1689142060822,0.0286562698950574,0.293630607428258,0.0980180420139974,0.921917966898224,0.999856671432754,"Ptpn7"
496.619025715947,0.356683437279642,0.49910783657194,0.714858182068315,0.474696679195178,0.999856671432754,"Arl8a"
12179.3081097144,0.089684578705483,0.346564333474778,0.258785050264255,0.795801093216578,0.999856671432754,"Elf3"
1270.46682178885,-0.0528296071355268,0.409562668299106,-0.128987298454882,0.897367699230829,0.999856671432754,"Rnpep"
1341.92248767726,0.391659257076909,0.338042220109563,1.15861523752998,0.246613055021473,0.999856671432754,"Timm17a"
1096.88718098941,0.665491987533535,0.433525272394488,1.53537000861757,0.12469296634895,0.999856671432754,"Lmod1"
100.015449730668,0.193638104852137,0.545109920801856,0.355531792014645,0.722191232008412,0.999856671432754,"Shisa4"
560.907491601211,-0.0456649633509253,0.541404015134009,-0.0843443458144133,0.932782655129684,0.999856671432754,"Ipo9"
281.616039129861,0.01843527504752,0.516651942283172,0.0356898107849862,0.971529695193169,0.999856671432754,"LOC102553639"
10608.0254268566,0.425091279037489,0.366691910513047,1.15928321975835,0.246340759333115,0.999856671432754,"Csrp1"
999.571302124876,0.0422070836180364,0.348140195218545,0.121238161731871,0.903502398348844,0.999856671432754,"Phlda3"
1121.67466829997,-0.0515582469425225,0.4163568577109,-0.12405662206858,0.901270443342353,0.999856671432754,"Tnni1"
6735.00899827171,0.00819355688280534,0.272823215478058,0.0300343243265256,0.97603967865699,0.999856671432754,"Lad1"
1535.11347651101,0.150118275157374,0.544093681183458,0.276082525823734,0.782484681659298,0.999856671432754,"Tnnt2"
1397.92313973973,-0.448047581999907,0.515714172580404,-0.869398986557921,0.384628937223936,0.999856671432754,"Pkp1"
1067.99326426498,-0.50160231267643,0.395291093942081,-1.26896340131468,0.204454117652505,0.999856671432754,"Tmem9"
531.23446410725,0.0438021924031109,0.332265907172015,0.132532229251679,0.894563332600553,0.999856671432754,"Cacna1s"
1731.99750708535,-0.55030684802632,0.448514759014851,-1.22715896627631,0.21976284871479,0.999856671432754,"RGD1311892"
1074.94191533542,0.505643525331725,0.434439073346152,1.16405683053244,0.244400981689617,0.999856671432754,"Camsap2"
368.147286429145,-0.473759014293465,0.472424543414215,-1.00307401717409,0.315825150055821,0.999856671432754,"Ddx59"
243.144367770033,0.179826133351805,0.497056575707384,0.363683927198075,0.716094046889966,0.999856671432754,"Zfp281"
175.239356768562,-0.797715048758528,0.545423004120556,-1.48338622333605,0.13797182558372,0.999856671432754,"Ptprc"
1140.95652519874,0.0814586851501915,0.486123548075032,0.167576873534021,0.866916166137288,0.999856671432754,"Nek7"
190.503174092985,0.196941207381085,0.491792268022036,0.403323379657908,0.686710344570013,0.999856671432754,"RGD1566099"
242.613042406479,-0.639836321035447,0.544335652323199,-1.18218835628166,0.237130971680837,0.999856671432754,"Dennd1b"
320.529144122083,-0.68680807747774,0.544261200529999,-1.27890026925958,0.200932177827243,0.999856671432754,"Zbtb41"
391.487859756685,0.0293209956774354,0.536046723241605,0.0547019665529913,0.956375902627812,0.999856671432754,"Cfh"
894.130628315983,0.261090738337999,0.496296691984388,0.526141276672884,0.598790051403289,0.999856671432754,"Cdc73"
932.641221823835,0.374012963846239,0.419914322873458,0.890733436306116,0.373072192469314,0.999856671432754,"Glrx2"
187.309555355536,-0.123783344513749,0.477395579012475,-0.260267561788956,0.794657392513121,0.999856671432754,"Trove2"
567.77846314281,-0.288532210037845,0.543867645373795,-0.531839289478927,0.594837308290398,0.999856671432754,"Uchl5"
349.715167720256,0.0678054658670188,0.545123063398124,0.124387928120424,0.901008131080783,0.999856671432754,"Rgs2"
136.995509279359,0.243144368589724,0.533887672606149,0.455630148579296,0.64865595959674,0.999856671432754,"RGD1562140"
90.8041579829876,-0.0878791697660696,0.417313925140567,-0.211732187167363,0.832315975627302,0.999856671432754,"Rgs18"
125.146797810887,-0.0476248377510248,0.457607533932297,-0.104146243672786,0.917053293217942,0.999856671432754,"Pla2g4a"
238.828581255678,-0.576246126375972,0.528954263724004,-1.11508836833176,0.264812555463463,0.999856671432754,"RGD1307830"
1627.96488134084,-0.347498066439181,0.427667106511621,-0.812578778396153,0.41645960283491,0.999856671432754,"Tpr"
14.2437111510895,0.181053157867093,0.293417086849888,0.773537025973892,0.439204624889369,0.999856671432754,"Prg4"
27.3443022745917,-0.399335073191845,0.420217045484255,-1.08116053665614,0.279625708934541,0.999856671432754,"Hmcn1"
225.557690938872,0.305419078096416,0.534284735579731,0.574593052100983,0.565566552089039,0.999856671432754,"Hmcn1-2"
65.4939069648913,-0.0644289200438755,0.545471643236045,-0.118116039119907,0.905975715034671,0.999856671432754,"LOC102552335"
2745.04077787676,-0.0503407016577914,0.390592110047697,-0.128880323399528,0.897452346458947,0.999856671432754,"Ivns1abp"
259.465873980188,-0.262843805399182,0.544205139023593,-0.483445552461441,0.628779410794973,0.999856671432754,"Swt1"
324.76040962426,-0.714059953312569,0.498818777252511,-1.43292161081655,0.15188024057803,0.999856671432754,"Trmt1l"
684.733220020078,-0.0314138937256301,0.540020975764359,-0.0581725332835803,0.953611198925699,0.999856671432754,"Rnf2"
2426.39604178952,0.818954436732507,0.502692652515833,1.63173961463827,0.102734350980641,0.999856671432754,"Fam129a"
505.778543921111,0.585085730647567,0.545302746936347,1.08148073717393,0.279483324753327,0.999856671432754,"Edem3"
349.556323452453,-0.0513343226805482,0.503451620021799,-0.101959236327175,0.918789031103089,0.999856671432754,"RGD1309104"
740.902543921036,0.311365964195812,0.411283056627216,0.757075437957447,0.449004668374887,0.999856671432754,"Tsen15"
325.804005977972,1.01490050495498,0.515414306990571,1.97596532758283,0.0481587042953739,0.999856671432754,"Rgl1"
4025.46791192382,-0.164250456117872,0.325652704539946,-0.504374031092319,0.613998563314184,0.999856671432754,"Arpc5"
464.123043680069,-0.652798040436707,0.540169609467945,-1.23003085419273,0.218685551075267,0.999856671432754,"Smg7"
370.096682204499,0.136101786155923,0.492867589241188,0.276151306806381,0.782431855016434,0.999856671432754,"Lamc2"
947.503018444113,0.318509986438519,0.508262624301791,0.626856000948824,0.530753630903212,0.999856671432754,"Lamc1"
39.9334024198896,0.662992588095873,0.465705101451897,1.70748378946894,0.0877321682963944,0.999856671432754,"Dhx9"
73.1095213615361,-0.251594756026266,0.388545303695687,-0.700769309109606,0.483446994241694,0.999856671432754,"Npl"
57.67575626088,0.165322148548928,0.404628732921241,0.418594574039133,0.675512455722729,0.999856671432754,"Rgs16"
99.5096752209975,0.0322965244022687,0.397876217699729,0.081263533974783,0.935232373715212,0.999856671432754,"Rnasel"
7100.33645218052,0.300427497611043,0.321776387348728,0.933660620645958,0.350478984310222,0.999856671432754,"Glul"
1229.80290762251,0.126884096156735,0.365469347890874,0.347187495715781,0.728450464248184,0.999856671432754,"Ier5"
97.7936430574862,0.0984989558829419,0.523453095266272,0.188277705157908,0.85065896151428,0.999856671432754,"Mr1"
926.896489501382,0.362369634496591,0.467497209639643,0.775209093509579,0.4382161156713,0.999856671432754,"Stx6"
814.539530995815,0.144488185873101,0.435901812477189,0.331468052163605,0.740290968967459,0.999856671432754,"Acbd6"
253.130507096174,-0.14547829524335,0.539213682350815,-0.2700501533952,0.787121669588237,0.999856671432754,"Qsox1"
319.950459177191,0.827720540393525,0.543139420789744,1.55943172625796,0.118894232101497,0.999856671432754,"Cep350"
405.845352564214,-0.0874724551325077,0.50998948120301,-0.171511777728857,0.863821370369331,0.999856671432754,"Tor1aip1"
1274.04936491561,-0.217081745381762,0.435211335242515,-0.49881087179352,0.617912627839799,0.999856671432754,"Tor1aip2"
214.208094487043,0.00732164207333879,0.518417767578623,0.0141262268560027,0.988729276536457,0.999856671432754,"LOC679963"
315.786794977345,0.0136164069076639,0.530224732172063,0.0256864405899858,0.979507439131535,0.999856671432754,"Soat1"
225.864612616235,0.622376662204216,0.502715388749059,1.31802012165693,0.187496912155422,0.999856671432754,"Abl2"
1686.04726055238,0.292512409992172,0.462672104472912,0.632281760516018,0.527202779803561,0.999856671432754,"Tor3a"
846.577732206669,0.293447225225929,0.447653490638163,0.655558684388392,0.512108116104131,0.999856671432754,"Fam20b"
27.5859358726612,-0.140034589495553,0.388324929034339,-0.368825008704662,0.712258162596131,0.999856671432754,"Ralgps2"
104.591497335684,0.158573414259197,0.439786341415365,0.365093293366107,0.715041767011571,0.999856671432754,"LOC102555826"
306.763857353637,0.374929027561609,0.50230964854466,0.746680217917568,0.455256613560772,0.999856671432754,"Rasal2"
110.168957062175,0.0414632882510588,0.545426868461336,0.0760413453545371,0.939386204565402,0.999856671432754,"LOC680254"
281.89176604417,-0.641377846266038,0.511563364100471,-1.25525957815001,0.209384543866909,0.999856671432754,"Tp53i3-2"
1155.75425480498,-0.265875018986623,0.541832387980816,-0.491072782567527,0.623374970981676,0.999856671432754,"Rfwd2"
688.328511029596,-0.186273229446585,0.526178873807675,-0.354054162810207,0.723298292673876,0.999856671432754,"LOC100302372"
1154.42326388653,0.12440625597132,0.382625953110158,0.325140322509772,0.745074872474268,0.999856671432754,"Mrps14"
2991.35810485098,-0.0700241394825459,0.3387079051246,-0.206735728394408,0.836216252892539,0.999856671432754,"Cacybp"
1114.36865934468,0.389699016237631,0.406547152514979,0.958576779961605,0.337771994782887,0.999856671432754,"Rabgap1l"
299.218804015899,-0.242484686197383,0.533554379048323,-0.454675011049994,0.64934306109433,0.999856671432754,"Gas5"
346.450404584222,-0.264424745912268,0.544467198275509,-0.486099985887631,0.626896276932743,0.999856671432754,"Dars2"
133.023519959457,0.206787197201056,0.469139192885962,0.446303082086645,0.65537833022554,0.999856671432754,"Cenpl"
441.311014434052,-0.60485497240095,0.44853737786273,-1.34878668904516,0.177405491389855,0.999856671432754,"Klhl20"
1881.54763737015,0.121546680169955,0.355389883105085,0.342012971191306,0.732341130668905,0.999856671432754,"Prdx6"
360.119963569095,0.410027381205694,0.541354914963797,0.758819786423795,0.447960367736083,0.999856671432754,"Suco"
388.813592569569,-0.423339927547793,0.4929507898175,-0.859004924636978,0.390337799037535,0.999856671432754,"Pigc"
531.862597852346,-0.351836629765976,0.542210949736947,-0.651696673514111,0.514596868949699,0.999856671432754,"Mettl13"
258.619508897612,-0.189309883995738,0.540075420811999,-0.351071002663625,0.725535081607833,0.999856671432754,"Vamp4"
1059.07259064374,0.527879450036731,0.347294910256718,1.51997990100122,0.128516027181797,0.999856671432754,"Prrc2c"
223.694749860884,0.0404771491793003,0.526133703308275,0.0769519745709716,0.938661750360357,0.999856671432754,"Prrx1"
360.681411384635,-0.589938826597772,0.540095716952022,-1.09596541900115,0.273093908172911,0.999856671432754,"Gorab"
825.556726402012,0.781998914139731,0.413099414088824,1.89331109288877,0.0583165108311203,0.999856671432754,"Kifap3"
198.063755869624,0.476374474363753,0.541826996217183,0.886259749436907,0.375477573312078,0.999856671432754,"Scyl3"
77.3690100114659,-0.370475182941232,0.35656209648548,-1.72556458802992,0.0844257747341465,0.999856671432754,"Mettl18"
85.8680822834886,0.52208318314099,0.460982049423975,1.26431444094345,0.206117188384171,0.999856671432754,"F5"
161.292167816992,-0.0486696337672912,0.394088672846107,-0.123786390220961,0.901484407959288,0.999856671432754,"Slc19a2"
600.250824658387,0.369957441597149,0.50236932643974,0.736649339821581,0.46133562192099,0.999856671432754,"Ccdc181"
244.710984449195,0.0514549428376476,0.465874564094596,0.110537202546626,0.911983347261878,0.999856671432754,"Nme7"
3703.47002617794,0.317531306927073,0.49403589550132,0.642860385222491,0.520314696427904,0.999856671432754,"Atp1b1"
284.679551585797,0.0595493026561945,0.5432378141902,0.109628572823107,0.912703949395075,0.999856671432754,"Dpt"
24.3660380238338,0.0822627465794286,0.293788456666662,0.2903035361883,0.771584033796392,0.999856671432754,"LOC100912617"
1204.79915516319,-0.385520536486657,0.411501181253421,-0.93689694141402,0.348811572662183,0.999856671432754,"Sft2d2"
