"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
1.03079730416667,8.84901753758333,9.4384704158703,1.58000541658073e-07,0.00379906582597302,7.40351477059873,"SLITRK6"
-1.51348293775,7.23647720629167,-9.04281785647129,2.68488890917613e-07,0.00379906582597302,6.95043240492139,"THC2296596"
-0.855528655166666,8.906528327,-8.63564858729991,4.71652281968373e-07,0.00379906582597302,6.46253952041807,"GLI1"
-1.34883325391667,9.14527946170833,-8.6099008541296,4.89066146494982e-07,0.00379906582597302,6.43092741962312,"A_32_P171043"
-1.97237220141667,10.2192343495417,-8.35905268950661,6.99050967516116e-07,0.00434418233253215,6.11810238232541,"H19"
-0.640992640333333,6.28758768441667,-8.10211789828665,1.01566232738277e-06,0.00525977663940625,5.78841600999909,"THC2374163"
-0.868747803916666,7.09281240304167,-7.9302454051756,1.30981011547833e-06,0.00550367830891018,5.56252497421775,"CCBE1"
0.309767587750001,7.924078026375,7.85222905990595,1.47186416250421e-06,0.00550367830891018,5.45855062640482,"OR7E156P"
-0.752284905333333,7.87457260775,-7.799142949455,1.59413957196806e-06,0.00550367830891018,5.38728354621118,"FMO2"
-0.446387714583332,8.175317341375,-7.71811585327923,1.80186298399863e-06,0.00559874866388054,5.2776927573294,"THC2273031"
-1.13615784975,11.7948260184583,-7.60594927097858,2.13773240947884e-06,0.00603851103884787,5.12435204504978,"MGC16121"
0.513848633000001,7.71831026691667,7.46638228971107,2.65026587565129e-06,0.0061015852234187,4.93088177890072,"ALCAM"
-0.882425986666666,11.550822075,-7.45776267914359,2.68589750450571e-06,0.0061015852234187,4.91883537633285,"THC2376725"
0.453003935250001,7.48746195995833,7.41911547628747,2.85197466354991e-06,0.0061015852234187,4.86468326630787,"STK17A"
1.02918274575,8.02977643645833,7.38457224439478,3.00958046219139e-06,0.0061015852234187,4.81608689226012,"WEE1"
-0.281585936416665,9.03003779595833,-7.35701003865107,3.14190794202816e-06,0.0061015852234187,4.77717948328283,"FLJ20558"
-0.781665649333334,8.96230163258333,-7.30218652320953,3.42367132302357e-06,0.00620907860133004,4.69943985006973,"LOC63920"
-0.946321298416667,9.181336507875,-7.20527458110719,3.98880383726483e-06,0.00620907860133004,4.56087642655272,"BC069781"
0.898696675500001,9.06492252925,7.14584855297306,4.38322683776599e-06,0.00620907860133004,4.47518491489848,"THC2340695"
-1.128178175,12.2306698283333,-7.13036227707842,4.49261316956671e-06,0.00620907860133004,4.45276308858376,"EMX2OS"
-0.562401112083333,9.32998268870833,-7.12319100044756,4.54423654769382e-06,0.00620907860133004,4.4423674044362,"FLJ14397"
-0.732374362749998,9.38984863920833,-7.11374147501127,4.61321509859506e-06,0.00620907860133004,4.42865678371558,"THC2378401"
-1.39768744441667,10.9269562802917,-7.11292408821287,4.61923330960029e-06,0.00620907860133004,4.42747015222866,"COLEC12"
-0.229936976333333,7.76677725233333,-7.08903384390257,4.79883008470912e-06,0.00620907860133004,4.39274141950426,"MEN1"
-0.805644140083332,7.94076542970833,-7.06390106225461,4.9957184936036e-06,0.00620907860133004,4.35610958968098,"LOC92312"
1.50769114008333,7.92788125220833,7.0112497926908,5.4362467534598e-06,0.00640825744147039,4.27904620235853,"A_23_P123234"
1.21732900625,7.75029291920833,6.99344833441161,5.59428035415582e-06,0.00640825744147039,4.25289206378238,"ENST00000381802"
-0.782874669083333,7.010550532625,-6.92064219657275,6.29267159030403e-06,0.00640825744147039,4.14540286063158,"D4S234E"
-0.2836808395,7.08726781066667,-6.91150456849274,6.38659103654938e-06,0.00640825744147039,4.13185301227393,"FLJ36208"
-0.836768329999999,12.7049160741667,-6.90614392152994,6.44237419247554e-06,0.00640825744147039,4.12389774793551,"MDK"
-0.744241355166667,6.45076023275,-6.89676049334476,6.54125491084472e-06,0.00640825744147039,4.10996165786069,"EPO"
-0.926641773416666,8.724439240875,-6.89128902933787,6.59964721057712e-06,0.00640825744147039,4.10182909641651,"NEURL"
0.354435231750001,9.11355339745833,6.8508949969551,7.0480574556484e-06,0.00652212208051461,4.04164199432756,"A_24_P332780"
-0.381175141333332,10.5463907468333,-6.82078606536008,7.40306049577794e-06,0.00652212208051461,3.99661103105998,"CHST12"
-0.522141610166666,7.67748927375,-6.80313689767729,7.61984527518506e-06,0.00652212208051461,3.97014786582016,"AK093987"
-0.392074748333332,11.9495678391667,-6.77394816874925,7.99312983266123e-06,0.00652212208051461,3.92627343948167,"SREBF1"
-0.570625663,6.989015872,-6.75790153891926,8.20648202394408e-06,0.00652212208051461,3.90209545478474,"A_32_P2303"
1.06037041366667,7.18903120341667,6.75266016893182,8.27745922303847e-06,0.00652212208051461,3.89418921620724,"SERPINE1"
-0.69752705125,9.33837202920833,-6.74754979980694,8.34728342563421e-06,0.00652212208051461,3.88647636521568,"ZNF550"
0.599357445500001,9.35272732408333,6.74400060873452,8.39614068037411e-06,0.00652212208051461,3.88111727933718,"C9orf21"
