"GeneSymbol","PValue","FDR","FoldChange","Direction","Sui1","Sui2","Sui3","Ctrl1","Ctrl2","Ctrl3","logFC"
"DAD1",9.6615445e-06,0.005950633,3.7990596,"up",13.934184,14.050781,14.053673,12.052975,12.197368,12.011368,1.92564234531432
"RPL7A",1.04478326e-05,0.006245653,17.1511808,"up",12.529608,12.464131,12.909203,8.639151,8.510234,8.452849,4.10023599931237
"IGIP",1.10334391e-05,0.006373321,2.7892592,"up",13.112877,13.027475,13.212863,11.628798,11.625696,11.659075,1.47988200721636
"IL18BP",1.14098166e-05,0.006373321,13.5228969,"up",14.813598,14.612149,14.833952,11.126509,10.754961,11.106232,3.75733233641712
"TMEM47",1.1602109e-05,0.006373321,5.6067085,"up",5.0402446,5.1865544,5.3361826,2.756008,2.6312828,2.7142286,2.48715406417972
"ARPC3",1.2922464e-05,0.006646652,17.2123276,"up",10.165683,10.1211605,10.273521,6.082697,5.8191886,6.342368,4.10537029917523
"ERH",1.2987654e-05,0.006646652,11.5484794,"up",11.901973,12.225569,12.330067,8.537839,8.661507,8.66937,3.52963099791395
"RGPD8",1.32212355e-05,0.006646652,4.7627301,"up",9.715476,9.610096,9.623342,7.3416286,7.29547,7.556449,2.25178879467625
"STEAP2",1.37179738e-05,0.006646652,5.7628222,"up",8.377104,8.07173,8.310047,5.7232947,5.6697974,5.7854624,2.5267755090296
"UNG",1.37347785e-05,0.006646652,8.8564734,"up",9.394499,9.152723,9.214578,6.196183,6.215871,5.909549,3.14673233973225
"LEPREL1",1.4895484e-05,0.007040714,3.4243153,"up",4.3062015,4.473078,4.5186396,2.6259892,2.6302547,2.7142286,1.77581554659996
"EIF1",1.53118164e-05,0.007059881,3.4707345,"up",15.524231,15.435259,15.624666,13.817894,13.656815,13.723724,1.79524100786795
"RBM12B",1.56307337e-05,0.007059881,10.5555145,"up",10.367195,10.455255,10.7054405,7.0777354,6.9679275,7.2824526,3.39992499555333
"METTL10",1.60435071e-05,0.007088789,3.9956069,"up",10.487049,10.392948,10.409862,8.350393,8.361459,8.582763,1.99841465337124
"PABPC4",1.72204692e-05,0.007093208,5.1939995,"up",8.270866,8.229997,8.377104,5.8527184,5.805497,6.089214,2.37684587513539
"TMEM91",1.72559585e-05,0.007093208,2.3406326,"up",9.5732565,9.547329,9.566102,8.329979,8.251398,8.424615,1.2268984979888
"EIF4E3",1.74992401e-05,0.007093208,4.1554933,"up",4.834438,4.848263,4.9452257,2.9721603,2.7764785,2.7142286,2.05501974997276
"MGST3",1.75802546e-05,0.007093208,10.019586,"up",12.639161,12.601086,12.851753,9.275657,9.242726,9.599364,3.32475099383104
"ZNF391",1.84340404e-05,0.007093208,2.4526473,"up",4.003361,3.9987254,3.8872063,2.5913818,2.700663,2.7142286,1.29433978378315
"C8orf58",1.85149135e-05,0.007093208,6.6799075,"up",5.652383,5.414746,5.56379,2.9877124,2.7094936,2.7142286,2.73982812512219
"ACTR2",1.86899173e-05,0.007093208,6.8854705,"down",5.7993927,5.98679,5.6136966,8.645865,8.61194,8.49274,-2.78355524039141
