"PATH","PathwayName","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Same_direction"
"04270","KEGG 04270 - Vascular smooth muscle contraction",102,NA,0.0103602319171181,37,-1.67306715161724,0.0822706705059646,NA
"04510","KEGG 04510 - Focal adhesion",192,NA,0.0103602319171181,71,-1.86301568312386,0.0599400599400599,NA
"04512","KEGG 04512 - ECM-receptor interaction",81,NA,0.0103602319171181,22,-1.61332678914707,0.125800125800126,NA
"03013","KEGG 03013 - Nucleocytoplasmic transport",143,1.65215251794639,0.105031316676991,49,1.48222090946952,0.240668422486604,TRUE
"00480","KEGG 00480 - Glutathione metabolism",44,1.54285938865686,0.118001285564464,17,1.90779968535099,0.0599400599400599,TRUE
"00563","KEGG 00563 - Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",25,1.40689124505579,0.138136425561575,13,1.51452240082852,0.220831799779168,TRUE
