"Pathway","KEGG_ID","Gene","logFC_POP","logFC_SUI","Direction_POP","Direction_SUI","Concordant"
"KEGG 00071","00071","ACADVL",0.336899163357083,1.97279997917182,"up","up",TRUE
"KEGG 00071","00071","ADH7",3.26686679177944,4.49006516941542,"up","up",TRUE
"KEGG 00071","00071","ALDH9A1",0.172596757136028,2.07095585229633,"up","up",TRUE
"KEGG 00071","00071","ALDH3A2",0.590281648056129,3.06121533807184,"up","up",TRUE
"KEGG 00071","00071","HADHB",0.150196145569172,2.25442300762598,"up","up",TRUE
"KEGG 00071","00071","ACAA1",0.328999638095515,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACADL",-0.605027449055456,1.39691906096566,"down","up",FALSE
"KEGG 00071","00071","ACADM",-0.189787575099428,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACADS",0.36427585525973,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACADSB",-0.275639690599415,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACAT1",0.0869445152857407,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACAT2",0.927258360828375,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACOX1",0.503741044067283,NA,"up","not tested",FALSE
"KEGG 00071","00071","ADH1A",-0.471188055347162,3.48218016574633,"down","up",FALSE
"KEGG 00071","00071","ADH1B",-0.634135872296628,NA,"down","not tested",FALSE
"KEGG 00071","00071","ADH1C",-0.0480927293052573,3.34880830566278,"down","up",FALSE
"KEGG 00071","00071","ADH4",0.0116449209131216,NA,"up","not tested",FALSE
"KEGG 00071","00071","ADH5",-0.384703434855167,NA,"down","not tested",FALSE
"KEGG 00071","00071","ADH6",-0.401470554082526,NA,"down","not tested",FALSE
"KEGG 00071","00071","ALDH2",0.0837506869707935,NA,"up","not tested",FALSE
"KEGG 00071","00071","ALDH1B1",-0.842044731591522,NA,"down","not tested",FALSE
"KEGG 00071","00071","ALDH7A1",0.302454938874505,NA,"up","not tested",FALSE
"KEGG 00071","00071","CPT1A",-0.140535975317902,1.82518437247675,"down","up",FALSE
"KEGG 00071","00071","CPT1B",0.194876729298597,-2.78920513346,"up","down",FALSE
"KEGG 00071","00071","CPT2",0.18327457844428,NA,"up","not tested",FALSE
"KEGG 00071","00071","CYP4A11",-0.281549530010318,NA,"down","not tested",FALSE
"KEGG 00071","00071","ECI1",0.183521333656287,NA,"up","not tested",FALSE
"KEGG 00071","00071","ECHS1",0.553862578148793,NA,"up","not tested",FALSE
"KEGG 00071","00071","EHHADH",0.373702305415461,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL1",-0.160991214613624,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACSL3",0.327020434712104,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL4",-0.16041491860267,NA,"down","not tested",FALSE
"KEGG 00071","00071","GCDH",0.132074838689592,NA,"up","not tested",FALSE
"KEGG 00071","00071","HADHA",0.128709818564649,NA,"up","not tested",FALSE
"KEGG 00071","00071","HADH",-0.151410159228856,2.19797528732425,"down","up",FALSE
"KEGG 00071","00071","ACOX3",0.184642696389233,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACAA2",-0.129369968617939,NA,"down","not tested",FALSE
"KEGG 00071","00071","ECI2",-0.201435353104907,1.3826803102518,"down","up",FALSE
"KEGG 00071","00071","ACSL6",-0.873506045126016,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACSL5",-0.220925395602582,3.56222462934583,"down","up",FALSE
"KEGG 00071","00071","ACSBG2",-0.33512050945172,NA,"down","not tested",FALSE
