"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"SNORA120",-1.79750577692082,13.2968053984598,-4.6288524654936,3.676976043167e-06,0.0780982473398569
"TGM3",5.67143289038715,442.560615212956,4.48634239316409,7.2456269997649e-06,0.0780982473398569
"LOC105375520",2.45961999983714,52.1112777006139,4.40497615919027,1.05795512516739e-05,0.0780982473398569
"AFG2B",0.917626676384333,222.979370716704,4.29226605790463,1.76858848361597e-05,0.0979179013953984
"COMP",3.94807040296972,556.222637199194,4.18297219512946,2.87722592916579e-05,0.127438090854611
"RNU4-1",2.20003435602264,52.4537857655653,3.95833836368943,7.54729893514658e-05,0.241898393793496
"RNF222",2.45766030187863,60.434415766337,3.93912461908642,8.177944658143e-05,0.241898393793496
"SLC25A2",1.61199470914937,17.5397802026617,3.92319285733173,8.73831459562886e-05,0.241898393793496
"ZCCHC12",-3.57813329490156,320.163949958287,-3.84734266574172,0.00011940590896001,0.270653092855094
"METTL2A",0.613349108770379,157.564164966215,3.84164384200242,0.00012221308265831,0.270653092855094
"COCH",-1.72011588024644,150.711212121396,-3.78952820841286,0.000150933672146828,0.303541774448459
"SNORD17",2.76882274440889,4185.94934660682,3.75108880407036,0.000176068320693995,0.303541774448459
"SLC7A11",2.3075365138011,49.3326314895071,3.74809452536822,0.000178183106106293,0.303541774448459
"CDA",2.19084263908025,125.019930011041,3.72805486071076,0.00019296337824456,0.305240498186003
"LRR1",0.992234973665048,58.7793925348945,3.66237262377662,0.000249890014339646,0.341194752515378
"SLC2A4",-1.84461100650468,257.528517677813,-3.6546579030677,0.000257525129000624,0.341194752515378
"VSIG10L2",1.89622073543655,97.5233889092234,3.63342156998872,0.000279687489631766,0.341194752515378
"RPSAP9",1.27632987854542,35.1227398461623,3.61948677954055,0.000295187890993008,0.341194752515378
"LINC02600",-2.30320968983387,168.91663081591,-3.60327827997876,0.000314228797145794,0.341194752515378
"PXK",-0.998851066490672,828.620184909145,-3.60048306212619,0.000317626520777598,0.341194752515378
