"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust","PathwayName"
"00053",18,-0.368730938099184,-1.41462542976654,0.00199600798403194,"MIOX/UGT2B28/ALDH3A2/ALDH1B1/UGT2B10/UGT2B7/UGT2B4/UGDH/UGT2A1/UGT2B17/UGT1A8/UGT1A6/UGT2B15/ALDH2/UGT2A3/UGT2B11/ALDH7A1/ALDH9A1",0.00659287485634791,"KEGG 00053"
"00071",38,-0.27678326107921,NA,0.00199600798403194,"CPT1A/ALDH3A2/ACAA2/ALDH1B1/ACADM/CYP4A11/ACSL4/HADHA/ACADS/ACSL6/ACSBG2/ACAT1/ADH4/ADH1A/ADH1C/ACOX3/ACSL3/CPT1B/EHHADH/HADHB/CPT2/ACADVL/ADH7/ACOX1/ACAT2/ACADSB/ECHS1/GCDH/ALDH2/ACSL5/ADH5/ACADL/CPT1C/ADH6/ACSL1/ACAA1/ALDH7A1/ALDH9A1",0.00659287485634791,"KEGG 00071"
"00230",144,-0.29956331642369,NA,0.00199600798403194,"PDE5A/ENTPD1/PDE3A/GMPS/POLE/PRPS1L1/FHIT/GUCY1A2/ADSL/PDE1A/POLR2D/ENTPD4/PDE4B/HPRT1/POLD2/POLR2E/PDE3B/AK5/ENTPD2/ADCY2/POLR1E/ADCY5/PDE6D/ADCY9/NT5C1A/GMPR/POLR1D/PDE9A/AK1/PRPS1/RRM1/POLR2A/PDE1C/PDE4D/POLR2J2/PDE6G/ENTPD5/PDE10A/PNPT1/GUCY2D/POLR1A/POLR2H/GUK1/GDA/CANT1/POLR2J/ADK/POLD4/NME1/NME2/AK2/POLR3G/PDE8A/RRM2B/POLR2I/PDE2A/NME4/ADCY4/POLR3GL/NUDT5/POLR3A/NPR1/POLA2/AK7/POLR2L/POLR3C/PGM1/ADCY8/ENPP1/PDE1B/POLE3/GMPR2/POLR2K/ADCY1/AMPD2/NT5C2/PDE6A/APRT/DGUOK/PDE7B/POLD3/PDE6C/PAPSS1/PAPSS2/ITPA/PDE6H/ENTPD6/PDE6B/ADCY6/ENTPD8/POLR3D/ALLC/POLD1/XDH/POLE4/NT5C1B/POLR2F/ADA/POLR2C/NME3/PDE11A/GUCY2F/PDE4C/PDE7A/PAICS/IMPDH1/GUCY2C/NME7/ENPP3/POLR1C/ATIC/NME5/POLR3F/PGM2/PRIM1/ADCY7/POLR3K/ADCY3/PFAS/NT5M/PDE4A/AMPD1/RRM2/NME6/POLR2G/PKLR/IMPDH2/AMPD3/DCK/POLR3B/NPR2/ENTPD3/PDE8B/NT5E/NUDT2/POLR1B/NUDT9/POLR2B/NT5C/PRPS2/GART/POLR3H/POLE2/PPAT",0.00659287485634791,"KEGG 00230"
"00240",86,-0.354373642355805,NA,0.00199600798403194,"ENTPD1/UCKL1/UPP1/POLE/UCK2/CTPS2/POLR2D/ENTPD4/UPB1/POLD2/POLR2E/POLR1E/NT5C1A/TXNRD1/POLR1D/RRM1/POLR2A/TK1/UCK1/POLR2J2/ENTPD5/PNPT1/DPYS/POLR1A/POLR2H/CANT1/POLR2J/POLD4/NME1/NME2/POLR3G/RRM2B/POLR2I/NME4/POLR3GL/UPP2/POLR3A/TXNRD2/POLA2/AK3/POLR2L/POLR3C/POLE3/TK2/DUT/POLR2K/NT5C2/POLD3/ITPA/ENTPD6/ENTPD8/POLR3D/POLD1/CDA/POLE4/NT5C1B/POLR2F/POLR2C/NME3/NME7/POLR1C/NME5/DTYMK/POLR3F/PRIM1/CAD/POLR3K/NT5M/RRM2/NME6/DHODH/POLR2G/DCK/UMPS/DPYD/POLR3B/DCTD/ENTPD3/NT5E/NUDT2/POLR1B/POLR2B/NT5C/TYMS/POLR3H/POLE2",0.00659287485634791,"KEGG 00240"
"00250",29,-0.245627624541764,NA,0.00199600798403194,"GLUD1/GLUD2/ADSL/ASL/GFPT1/GLS/GPT/ALDH4A1/GAD2/AGXT/IL4I1/AGXT2/ASNS/GOT1/GAD1/ACY3/GOT2/CPS1/GFPT2/DDO/GLUL/GLS2/ABAT/ASPA/NIT2/CAD/GPT2/ALDH5A1/PPAT",0.00659287485634791,"KEGG 00250"
"00260",32,-0.337946811427629,NA,0.00199600798403194,"GATM/GLYCTK/GAMT/MAOA/PIPOX/ALAS1/AGXT/DLD/AOC3/AOC2/ALAS2/AGXT2/GNMT/GLDC/SRR/MAOB/SHMT2/PSAT1/CTH/BHMT/SDS/SARDH/DAO/PHGDH/SHMT1/DMGDH/AMT/CHDH/GCAT/CBS/PSPH/ALDH7A1",0.00659287485634791,"KEGG 00260"
"00270",32,-0.331266512455248,-1.92564841792501,0.00199600798403194,"LDHA/AMD1/MAT2A/AHCYL1/LDHC/IL4I1/ADI1/GOT1/MTR/MAT1A/LDHAL6B/DNMT3L/SRM/GOT2/LDHB/TAT/LDHAL6A/CTH/MPST/BHMT/SDS/APIP/DNMT3A/AHCY/MTAP/SMS/DNMT3B/MAT2B/CBS/TST/CDO1/DNMT1",0.00659287485634791,"KEGG 00270"
"00280",41,-0.279966665063075,NA,0.00199600798403194,"MCCC2/ALDH3A2/ACAA2/ALDH1B1/OXCT2/ACADM/BCKDHA/HADHA/ACADS/BCKDHB/ACAT1/PCCB/IL4I1/DLD/HMGCS1/BCAT2/AUH/OXCT1/EHHADH/HADHB/HMGCS2/ACAT2/ACADSB/ECHS1/IVD/HMGCL/ALDH2/HIBADH/BCAT1/PCCA/DBT/ALDH6A1/ABAT/HIBCH/AOX1/MCCC1/ACAD8/ACAA1/ALDH7A1/MCEE/ALDH9A1",0.00659287485634791,"KEGG 00280"
"00310",35,-0.48027040693234,-2.7572453023731,0.00199600798403194,"ALDH3A2/DOT1L/ALDH1B1/OGDH/HADHA/PIPOX/PLOD2/TMLHE/ACAT1/ASH1L/DLST/AASS/PLOD1/SETD1A/BBOX1/SETD2/EHHADH/NSD1/OGDHL/EHMT2/SUV39H1/ACAT2/ECHS1/GCDH/ALDH2/SETD7/EHMT1/SETDB2/SUV39H2/PLOD3/SETMAR/SETDB1/AADAT/ALDH7A1/ALDH9A1",0.00659287485634791,"KEGG 00310"
"00340",26,-0.428575295603943,-1.61629193511585,0.00199600798403194,"ALDH3A2/ALDH1B1/ALDH3B1/MAOA/ALDH3A1/LCMT1/UROC1/FTCD/MAOB/METTL2B/ACY3/ALDH3B2/ALDH1A3/LCMT2/ALDH2/CNDP1/HAL/HEMK1/DDC/ASPA/METTL6/AMDHD1/HNMT/HDC/ALDH7A1/ALDH9A1",0.00659287485634791,"KEGG 00340"
