"Pathway","KEGG_ID","Gene","logFC_POP","logFC_SUI","Direction_POP","Direction_SUI","Concordant"
"KEGG 00071","00071","ADH1A",0.130070073,3.48218016574633,"up","up",TRUE
"KEGG 00071","00071","ADH1C",0.136635432666668,3.34880830566278,"up","up",TRUE
"KEGG 00071","00071","ALDH3A2",0.214475432000001,3.06121533807184,"up","up",TRUE
"KEGG 00071","00071","CPT1A",0.292705822083335,1.82518437247675,"up","up",TRUE
"KEGG 00071","00071","CPT1B",-0.00971887558333304,-2.78920513346,"down","down",TRUE
"KEGG 00071","00071","ACAA1",-0.128214870833332,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACADL",-0.177279161416666,1.39691906096566,"down","up",FALSE
"KEGG 00071","00071","ACADM",0.102656384750001,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACADS",0.0873678613333346,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACADSB",-0.0459119525833327,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACADVL",-0.0219587366666652,1.97279997917182,"down","up",FALSE
"KEGG 00071","00071","ACAT1",0.0565606950000011,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACAT2",-0.052770055083332,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACOX1",-0.0395079496666658,NA,"down","not tested",FALSE
"KEGG 00071","00071","ADH4",0.213225846333333,NA,"up","not tested",FALSE
"KEGG 00071","00071","ADH5",-0.0737093041666655,NA,"down","not tested",FALSE
"KEGG 00071","00071","ADH6",-0.232634552249999,NA,"down","not tested",FALSE
"KEGG 00071","00071","ADH7",-0.0443574361666665,4.49006516941542,"down","up",FALSE
"KEGG 00071","00071","ALDH2",-0.0951375399999999,NA,"down","not tested",FALSE
"KEGG 00071","00071","ALDH1B1",0.666288877750001,NA,"up","not tested",FALSE
"KEGG 00071","00071","ALDH9A1",-0.248585253333331,2.07095585229633,"down","up",FALSE
"KEGG 00071","00071","ALDH7A1",-0.183782901666666,NA,"down","not tested",FALSE
"KEGG 00071","00071","CPT2",-0.011241869416665,NA,"down","not tested",FALSE
"KEGG 00071","00071","CYP4A11",0.0800877060833341,NA,"up","not tested",FALSE
"KEGG 00071","00071","ECHS1",-0.0676825241666658,NA,"down","not tested",FALSE
"KEGG 00071","00071","EHHADH",-0.00972787066666692,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACSL1",-0.218614694833333,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACSL3",0.0131213737500012,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL4",0.0776318319166675,NA,"up","not tested",FALSE
"KEGG 00071","00071","GCDH",-0.0447374899999999,NA,"down","not tested",FALSE
"KEGG 00071","00071","HADHA",0.0883115509166676,NA,"up","not tested",FALSE
"KEGG 00071","00071","HADHB",-0.0193402608333323,2.25442300762598,"down","up",FALSE
"KEGG 00071","00071","HADH",NA,2.19797528732425,"not tested","up",FALSE
"KEGG 00071","00071","ACOX3",0.0239543858333347,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACAA2",0.117146680000001,NA,"up","not tested",FALSE
"KEGG 00071","00071","ECI2",NA,1.3826803102518,"not tested","up",FALSE
"KEGG 00071","00071","ACSL6",0.0519092037499999,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL5",-0.0541337881666653,3.56222462934583,"down","up",FALSE
"KEGG 00071","00071","ACSBG2",0.0715599242500014,NA,"up","not tested",FALSE
"KEGG 00071","00071","CPT1C",-0.136223419666665,NA,"down","not tested",FALSE
"KEGG 00230","00230","ADCY9",0.0941072311666674,1.30322378230858,"up","up",TRUE
"KEGG 00230","00230","ADSL",0.0775796592499998,1.14528864132264,"up","up",TRUE
"KEGG 00230","00230","ENTPD1",0.387137683416667,1.80938587817967,"up","up",TRUE
"KEGG 00230","00230","GMPR",0.081591870833335,1.68176938890103,"up","up",TRUE
"KEGG 00230","00230","NME2",0.0240544466666661,2.739458328015,"up","up",TRUE
"KEGG 00230","00230","PDE6G",0.0490973572500007,1.53318665347495,"up","up",TRUE
