"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust","PathwayName"
"00250",28,-0.287245308055027,NA,0.00199600798403194,"ABAT/CPS1/GFPT2/ASPA/ADSL/GLUD2/IL4I1/ASL/GFPT1/NIT2/ADSS1/GLS/DDO/GAD1/ASNS/PPAT/CAD/ASS1/GLS2/GLUD1/GPT2/GOT1/ALDH4A1/GPT/ALDH5A1/GOT2/ADSS2/GLUL",0.00311607001823691,"KEGG 00250 - Alanine, aspartate and glutamate metabolism"
"00260",28,-0.322228848532079,-1.74978026525803,0.00199600798403194,"SDS/CTH/SARDH/DMGDH/SRR/GLDC/AOC3/PIPOX/GNMT/ALAS2/PSPH/SHMT1/GLYCTK/CBS/PHGDH/AMT/GCAT/MAOB/PSAT1/ALAS1/ALDH7A1/CHDH/DLD/AOC2/SHMT2/GATM/GAMT/MAOA",0.00311607001823691,"KEGG 00260 - Glycine, serine and threonine metabolism"
"00270",32,-0.301204408491402,-1.41132414516965,0.00199600798403194,"SDS/CDO1/CTH/TRDMT1/SRM/IL4I1/AMD1/LDHAL6A/MTR/MPST/DNMT3A/MRI1/LDHC/APIP/SMS/CBS/DNMT3B/ENOPH1/LDHB/MTAP/LDHAL6B/LDHA/AHCY/GOT1/MAT2A/MAT2B/AHCYL1/ADI1/TST/DNMT1/GOT2/AHCYL2",0.00311607001823691,"KEGG 00270 - Cysteine and methionine metabolism"
"00280",43,-0.359671843950417,-1.82035789961499,0.00199600798403194,"ABAT/AOX1/ACADS/BCAT1/IVD/HIBADH/AUH/MCEE/ACAA2/BCKDHB/ALDH2/IL4I1/ACAT1/DBT/ALDH6A1/PCCB/ACADM/ECHS1/MCCC1/ACADSB/MCCC2/OXCT2/ACAD8/HSD17B10/MMUT/ALDH1B1/EHHADH/BCAT2/HADHB/HMGCL/PCCA/BCKDHA/ACAA1/ALDH7A1/ALDH9A1/DLD/HADHA/ACAT2/HIBCH/HADH/HMGCS1/ALDH3A2/OXCT1",0.00311607001823691,"KEGG 00280 - Valine leucine and isoleucine degradation"
"00310",44,-0.481884648418015,-2.612088879132,0.00199600798403194,"COLGALT2/SUV39H2/SETDB2/PLOD2/SUV39H1/PIPOX/ALDH2/ACAT1/TMLHE/PLOD3/AASS/ECHS1/OGDHL/EHMT2/GCDH/SETMAR/SETD1A/COLGALT1/ALDH1B1/DOT1L/PLOD1/EHHADH/SETD1B/KMT5C/AADAT/OGDH/BBOX1/ALDH7A1/KMT5B/EHMT1/ALDH9A1/DLST/SETD7/SETD2/NSD1/SETDB1/ASH1L/HADHA/ACAT2/NSD3/NSD2/HADH/KMT5A/ALDH3A2",0.00311607001823691,"KEGG 00310 - Lysine degradation"
"00330",50,-0.330357159355779,-1.89962178867743,0.00199600798403194,"AGMAT/AZIN2/ARG1/CPS1/PYCR3/OTC/P4HA3/P4HA1/PYCR1/GLUD2/NOS2/SRM/ALDH2/ASL/NOS1/AMD1/NOS3/CKM/GLS/ALDH18A1/ACY1/SMS/NAGS/LAP3/SAT1/ASS1/ALDH1B1/GLS2/CKMT2/GLUD1/MAOB/SAT2/P4HA2/PYCR2/GOT1/CKB/ODC1/ALDH4A1/ARG2/ALDH7A1/ALDH9A1/GATM/GAMT/AOC1/GOT2/OAT/ALDH3A2/GLUL/PRODH/MAOA",0.00311607001823691,"KEGG 00330 - Arginine and proline metabolism"
"00340",25,-0.270985304729991,NA,0.00199600798403194,"HDC/HAL/AMDHD1/METTL6/ASPA/LCMT2/UROC1/HEMK1/TRMT11/ALDH2/FTCD/LCMT1/HNMT/ALDH1B1/BUD23/METTL2B/MAOB/ALDH3A1/ALDH1A3/ALDH7A1/ALDH3B1/ALDH9A1/AOC1/ALDH3A2/MAOA",0.00311607001823691,"KEGG 00340 - Histidine metabolism"
"00360",14,-0.628931152324846,-2.41169302811909,0.00199600798403194,"PAH/AOC3/IL4I1/HPD/MAOB/ALDH3A1/PRDX6/GOT1/ALDH1A3/MIF/ALDH3B1/AOC2/GOT2/MAOA",0.00311607001823691,"KEGG 00360 - Phenylalanine metabolism"
"00380",36,-0.287214414341529,-1.89048215292873,0.00199600798403194,"ASMT/KYNU/AOX1/TPH1/ACMSD/IDO1/HAAO/INMT/KMO/CYP1B1/WARS2/AANAT/ALDH2/IL4I1/ACAT1/WARS1/KYAT1/ECHS1/OGDHL/GCDH/ALDH1B1/EHHADH/MAOB/AADAT/AFMID/CAT/KYAT3/OGDH/ALDH7A1/ALDH9A1/HADHA/ACAT2/AOC1/HADH/ALDH3A2/MAOA",0.00311607001823691,"KEGG 00380 - Tryptophan metabolism"
"00410",20,-0.387027549587412,-1.70092484505129,0.00199600798403194,"ABAT/DPYS/MLYCD/UPB1/AOC3/SRM/ALDH2/DPYD/ACADM/ECHS1/GAD1/SMS/ALDH1B1/EHHADH/ALDH7A1/ALDH9A1/AOC2/HADHA/HIBCH/ALDH3A2",0.00311607001823691,"KEGG 00410 - beta-Alanine metabolism"
"00480",42,-0.361524995593749,-1.88852732877349,0.00199600798403194,"GGT1/GCLM/MGST1/GSTM3/GPX7/RRM2B/SRM/GSTO1/TXNDC12/GGT7/ANPEP/GPX3/MGST3/GSTO2/GSTM5/GSTZ1/GGT5/GSTT2/SMS/LAP3/GPX1/RRM2/GGCT/GSTM2/GPX2/MGST2/GSTA4/GSTM1/GSS/G6PD/ODC1/GSTM4/GSR/RRM1/GCLC/PGD/IDH1/GPX4/OPLAH/GSTP1/IDH2/GSTK1",0.00311607001823691,"KEGG 00480 - Glutathione metabolism"
"00500",31,-0.322299165556867,-1.50050364070913,0.00199600798403194,"ENPP3/HK3/MGAM/SI/AMY1C/PYGM/AMY2A/AMY1A/TREH/AMY2B/UGDH/HK2/PGM2L1/PYGL/GYS2/ENPP1/UGP2/GAA/GUSB/PGM1/UXS1/GANC/AGL/HKDC1/GCK/GBE1/PGM2/PYGB/GYS1/GPI/HK1",0.00311607001823691,"KEGG 00500 - Starch and sucrose metabolism"
