"PATH","PathwayName","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Same_direction"
"04012","KEGG 04012 - ErbB signaling pathway",87,NA,0.00588013162863462,34,-1.62450971375563,0.0822706705059646,NA
"04270","KEGG 04270",103,NA,0.00588013162863462,37,-1.67306715161724,0.0822706705059646,NA
"04310","KEGG 04310 - Wnt signaling pathway",143,NA,0.00588013162863462,57,-1.4537982156916,0.128442985585843,NA
"04370","KEGG 04370 - VEGF signaling pathway",68,NA,0.00588013162863462,30,-1.27726702957301,0.237857380714524,NA
"04510","KEGG 04510 - Focal adhesion",193,NA,0.00588013162863462,71,-1.86301568312386,0.0599400599400599,NA
"04512","KEGG 04512 - ECM-receptor interaction",83,NA,0.00588013162863462,22,-1.61332678914707,0.125800125800126,NA
"04520","KEGG 04520 - Adherens junction",73,-1.78868759559019,0.00588013162863462,30,-1.50919466663138,0.153180153180153,TRUE
"04650","KEGG 04650",103,-1.59199589860578,0.00588013162863462,45,-1.51265062807367,0.125800125800126,TRUE
"04660","KEGG 04660 - T cell receptor signaling pathway",103,-1.56796544231771,0.00588013162863462,36,-1.39859252025782,0.168581418581419,TRUE
"04662","KEGG 04662 - B cell receptor signaling pathway",73,-1.80215746861767,0.00588013162863462,27,-1.8596705911035,0.0822706705059646,TRUE
"04666","KEGG 04666",94,NA,0.00588013162863462,45,-1.56562407547623,0.124875124875125,NA
"04810","KEGG 04810 - Regulation of actin cytoskeleton",190,NA,0.00588013162863462,82,-1.83232857130834,0.0599400599400599,NA
"05215","KEGG 05215",86,NA,0.00588013162863462,34,-1.7099708488711,0.0822706705059646,NA
"05218","KEGG 05218",60,NA,0.00588013162863462,23,-2.02656089704156,0.0599400599400599,NA
"05220","KEGG 05220",73,-1.45313920573666,0.00588013162863462,35,-1.78246724925485,0.0599400599400599,TRUE
"05223","KEGG 05223 - Non-small cell lung cancer",54,-1.87040765504095,0.00588013162863462,20,-1.33904113882827,0.240668422486604,TRUE
"05221","KEGG 05221",57,-1.1439732679673,0.0107439442103447,23,-1.54023370570433,0.153180153180153,TRUE
"00071","KEGG 00071",43,-0.971162349656,0.0150044738109987,13,1.89234038962075,0.0599400599400599,FALSE
"04320","KEGG 04320",22,-1.14513579600786,0.0150044738109987,10,-1.3378419622396,0.243756243756244,TRUE
"04140","KEGG 04140 - Autophagy",19,-0.962868799800968,0.0362608117099135,6,1.46385965102544,0.220831799779168,FALSE
"00480","KEGG 00480",43,1.45910805502482,0.126736817626882,17,1.90779968535099,0.0599400599400599,TRUE
"00190","KEGG 00190 - Oxidative phosphorylation",111,1.48375851744288,0.241738744732757,42,1.44926694443149,0.243756243756244,TRUE
