"ProbeSet","GeneDescription","GeneSymbol","Direction","RMA_pvalue","RMA_FoldChange","MAS5_pvalue","MAS5_FoldChange","logFC","logFC_POP","Direction_POP","Concordant"
204131,"Forkhead box O3A","FOXO3","down",2e-04,0.7,0.0013,0.7,-0.514573172829758,-0.284121125640766,"down",TRUE
205356,"Ubiquitin specific protease 13 (isopeptidase T-3)","USP13","down",0.0214,0.8,0.0128,0.7,-0.321928094887362,-0.261088072741881,"down",TRUE
205902,"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3","KCNN3","down",0.0117,0.5,0.0143,0.1,-1,0.140300990100362,"up",FALSE
206631,"Prostaglandin E receptor 2 (subtype EP2), 53 kDa","PTGER2","down",0.02,0.8,0.0015,0.3,-0.321928094887362,-0.497910421462966,"down",TRUE
207957,"Protein kinase C, beta 1","PRKCB","down",0.0046,0.7,1e-04,0.3,-0.514573172829758,-1.3107458337162,"down",TRUE
208760,"Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)","UBE2I","down",0.0068,0.5,0.0029,0.5,-1,-0.0483557626704708,"down",TRUE
208806,"Chromodomain helicase DNA-binding protein 3","CHD3","down",0.0039,0.8,0.0143,0.5,-0.321928094887362,-0.251725238316026,"down",TRUE
209315,"HBS1-like (S. cerevisiae)","HBS1L","down",0.0161,0.8,0.0042,0.3,-0.321928094887362,-0.0858522190342426,"down",TRUE
209522,"Carnitine acetyltransferase","CRAT","down",0.0011,0.8,0,0.5,-0.321928094887362,-0.294654754229657,"down",TRUE
210632,"Sarcoglycan, alpha (50 kDa dystrophin-associated glycoprotein)","SGCA","down",0.009,0.7,0.0129,0.3,-0.514573172829758,-1.11661002120415,"down",TRUE
212197,"Rho interacting protein 3","RHPN2","down",0.0142,0.7,1e-04,0.7,-0.514573172829758,0.288846205642858,"up",FALSE
213348,"Cyclin-dependent kinase inhibitor 1C (p57,KIP2)","CDKN1C","down",0.0066,0.6,9e-04,0.6,-0.736965594166206,0.160230601020939,"up",FALSE
215543,"Like-glycosyltransferase","LARGE1","down",0.0182,0.7,6e-04,0.5,-0.514573172829758,-0.40696114165655,"down",TRUE
217946,"SUMO-1 activating enzyme subunit 1","SAE1","down",0.0117,0.8,1e-04,0.8,-0.321928094887362,0.106836299002769,"up",FALSE
219477,"Thrombospondin, type I, domain 1","THSD1","down",3e-04,0.7,0.0162,0.4,-0.514573172829758,-0.498761866622602,"down",TRUE
