"PATH","PathwayName","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Same_direction"
"04012","KEGG 04012 - ErbB signaling pathway",87,-3.15921033519597,0.00468627961468368,34,-1.62450971375563,0.0822706705059646,TRUE
"04144","KEGG 04144 - Endocytosis",197,NA,0.00468627961468368,69,-1.67624755077221,0.0599400599400599,NA
"04270","KEGG 04270 - Vascular smooth muscle contraction",109,-2.42109578915953,0.00468627961468368,37,-1.67306715161724,0.0822706705059646,TRUE
"04310","KEGG 04310 - Wnt signaling pathway",144,NA,0.00468627961468368,57,-1.4537982156916,0.128442985585843,NA
"04360","KEGG 04360 - Axon guidance",127,-2.86712431740558,0.00468627961468368,48,-1.52878444895838,0.124875124875125,TRUE
"04370","KEGG 04370 - VEGF signaling pathway",69,NA,0.00468627961468368,30,-1.27726702957301,0.237857380714524,NA
"04510","KEGG 04510 - Focal adhesion",195,NA,0.00468627961468368,71,-1.86301568312386,0.0599400599400599,NA
"04512","KEGG 04512 - ECM-receptor interaction",83,NA,0.00468627961468368,22,-1.61332678914707,0.125800125800126,NA
"04520","KEGG 04520 - Adherens junction",73,-2.70386824660494,0.00468627961468368,30,-1.50919466663138,0.153180153180153,TRUE
"04621","KEGG 04621 - NOD-like receptor signaling pathway",56,-1.40853939069616,0.00468627961468368,28,-1.30264965516877,0.23391242903438,TRUE
"04650","KEGG 04650 - Natural killer cell mediated cytotoxicity",106,-1.52398496836158,0.00468627961468368,45,-1.51265062807367,0.125800125800126,TRUE
"04660","KEGG 04660 - T cell receptor signaling pathway",103,-1.05034425425014,0.00468627961468368,36,-1.39859252025782,0.168581418581419,TRUE
"04662","KEGG 04662 - B cell receptor signaling pathway",73,-1.64800148014061,0.00468627961468368,27,-1.8596705911035,0.0822706705059646,TRUE
"04666","KEGG 04666 - Fc gamma R-mediated phagocytosis",94,-1.70984560521543,0.00468627961468368,45,-1.56562407547623,0.124875124875125,TRUE
"04810","KEGG 04810 - Regulation of actin cytoskeleton",196,NA,0.00468627961468368,82,-1.83232857130834,0.0599400599400599,NA
"05110","KEGG 05110 - Vibrio cholerae infection",51,-1.34508564706517,0.00468627961468368,27,1.7399943462038,0.124875124875125,FALSE
"05215","KEGG 05215 - Prostate cancer",86,-2.29241991491051,0.00468627961468368,34,-1.7099708488711,0.0822706705059646,TRUE
"05217","KEGG 05217 - Basal cell carcinoma",53,-2.66267593945933,0.00468627961468368,16,1.51628323165724,0.23391242903438,FALSE
"05218","KEGG 05218 - Melanoma",63,NA,0.00468627961468368,23,-2.02656089704156,0.0599400599400599,NA
"05220","KEGG 05220 - Chronic myeloid leukemia",73,-2.02639109415504,0.00468627961468368,35,-1.78246724925485,0.0599400599400599,TRUE
"05221","KEGG 05221 - Acute myeloid leukemia",57,-1.48014075755604,0.00468627961468368,23,-1.54023370570433,0.153180153180153,TRUE
"05223","KEGG 05223 - Non-small cell lung cancer",54,-2.27844371355392,0.00468627961468368,20,-1.33904113882827,0.240668422486604,TRUE
"00071","KEGG 00071 - Fatty acid degradation",43,-0.743231017286661,0.00879872907246731,13,1.89234038962075,0.0599400599400599,FALSE
"04320","KEGG 04320 - Dorso-ventral axis formation",23,-1.23589990287712,0.0125574094529388,10,-1.3378419622396,0.243756243756244,TRUE
"00563","KEGG 00563 - Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",25,1.31630361428041,0.219102778050456,13,1.51452240082852,0.220831799779168,TRUE
