"Pathway","KEGG_ID","Gene","logFC_POP","logFC_SUI","Direction_POP","Direction_SUI","Concordant"
"KEGG 00071","00071","ACADVL",0.085036440441315,1.97279997917182,"up","up",TRUE
"KEGG 00071","00071","ADH1A",0.343840104287028,3.48218016574633,"up","up",TRUE
"KEGG 00071","00071","ADH1C",0.861971513823051,3.34880830566278,"up","up",TRUE
"KEGG 00071","00071","ADH7",2.68365879625184,4.49006516941542,"up","up",TRUE
"KEGG 00071","00071","ALDH9A1",0.151687503762621,2.07095585229633,"up","up",TRUE
"KEGG 00071","00071","ALDH3A2",0.239562491269982,3.06121533807184,"up","up",TRUE
"KEGG 00071","00071","HADHB",0.112093390149815,2.25442300762598,"up","up",TRUE
"KEGG 00071","00071","ACAA1",0.253262155910622,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACADL",-0.0155424871839194,1.39691906096566,"down","up",FALSE
"KEGG 00071","00071","ACADM",-0.091725866622092,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACADS",0.404202527508613,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACADSB",-0.22399196450712,NA,"down","not tested",FALSE
"KEGG 00071","00071","ACAT1",0.135787332568433,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACAT2",0.726834865597649,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACOX1",0.511359748581387,NA,"up","not tested",FALSE
"KEGG 00071","00071","ADH1B",0.26123498250907,NA,"up","not tested",FALSE
"KEGG 00071","00071","ADH4",0.369711560720618,NA,"up","not tested",FALSE
"KEGG 00071","00071","ADH5",-0.328528652746623,NA,"down","not tested",FALSE
"KEGG 00071","00071","ADH6",-0.174587066520234,NA,"down","not tested",FALSE
"KEGG 00071","00071","ALDH2",0.2422897457506,NA,"up","not tested",FALSE
"KEGG 00071","00071","ALDH1B1",-0.625223552250413,NA,"down","not tested",FALSE
"KEGG 00071","00071","ALDH7A1",0.108902054494388,NA,"up","not tested",FALSE
"KEGG 00071","00071","CPT1A",-0.101795432040384,1.82518437247675,"down","up",FALSE
"KEGG 00071","00071","CPT1B",0.235730508719021,-2.78920513346,"up","down",FALSE
"KEGG 00071","00071","CPT2",0.109444260660202,NA,"up","not tested",FALSE
"KEGG 00071","00071","CYP4A11",-0.0656473534838596,NA,"down","not tested",FALSE
"KEGG 00071","00071","ECI1",0.0500989162919182,NA,"up","not tested",FALSE
"KEGG 00071","00071","ECHS1",0.451954703249007,NA,"up","not tested",FALSE
"KEGG 00071","00071","EHHADH",0.364199466562538,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL1",0.290755369929517,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL3",0.248847981414468,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL4",-0.183615437315066,NA,"down","not tested",FALSE
"KEGG 00071","00071","GCDH",0.117038966939631,NA,"up","not tested",FALSE
"KEGG 00071","00071","HADHA",0.0292744088382729,NA,"up","not tested",FALSE
"KEGG 00071","00071","HADH",-0.400657522168808,2.19797528732425,"down","up",FALSE
"KEGG 00071","00071","ACOX3",0.127639262115305,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACAA2",-0.167540331807519,NA,"down","not tested",FALSE
"KEGG 00071","00071","ECI2",-0.201133130672142,1.3826803102518,"down","up",FALSE
"KEGG 00071","00071","ACSL6",0.162096919672084,NA,"up","not tested",FALSE
"KEGG 00071","00071","ACSL5",-0.123485185855269,3.56222462934583,"down","up",FALSE
