"PATH","PathwayName","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Same_direction"
"00010","KEGG 00010 - Glycolysis / Gluconeogenesis",57,-2.43748647516338,0.00311607001823691,18,1.70410108180449,0.125800125800126,FALSE
"00071","KEGG 00071 - Fatty acid degradation",42,-1.73644321615882,0.00311607001823691,13,1.89234038962075,0.0599400599400599,FALSE
"00190","KEGG 00190 - Oxidative phosphorylation",111,-3.23778690639962,0.00311607001823691,42,1.44926694443149,0.243756243756244,FALSE
"00230","KEGG 00230 - Purine metabolism",155,NA,0.00311607001823691,36,1.47416756024436,0.23391242903438,NA
"00280","KEGG 00280 - Valine leucine and isoleucine degradation",43,-1.82035789961499,0.00311607001823691,12,1.47991295345918,0.243756243756244,FALSE
"00380","KEGG 00380 - Tryptophan metabolism",36,-1.89048215292873,0.00311607001823691,12,-1.42835782874169,0.216925931211645,TRUE
"00480","KEGG 00480 - Glutathione metabolism",42,-1.88852732877349,0.00311607001823691,17,1.90779968535099,0.0599400599400599,FALSE
"00564","KEGG 00564 - Glycerophospholipid metabolism",73,NA,0.00311607001823691,28,1.45437806153455,0.243756243756244,NA
"00640","KEGG 00640 - Propanoate metabolism",32,-1.88411578813993,0.00311607001823691,6,1.45881479743401,0.220831799779168,FALSE
"00650","KEGG 00650 - Butanoate metabolism",25,-2.3303016909159,0.00311607001823691,8,1.43283604548142,0.243756243756244,FALSE
"03013","KEGG 03013 - RNA transport",142,-3.32307954818277,0.00311607001823691,49,1.48222090946952,0.240668422486604,FALSE
"03015","KEGG 03015 - mRNA surveillance pathway",78,-3.17219977170392,0.00311607001823691,34,1.7651479927289,0.124875124875125,FALSE
"03018","KEGG 03018 - RNA degradation",69,-3.89740369776659,0.00311607001823691,22,1.72072221454273,0.124875124875125,FALSE
"04012","KEGG 04012 - ErbB signaling pathway",87,-3.26139493715438,0.00311607001823691,34,-1.62450971375563,0.0822706705059646,TRUE
"04141","KEGG 04141 - Protein processing in endoplasmic reticulum",161,-4.17454591173365,0.00311607001823691,63,1.85754335034878,0.0599400599400599,FALSE
"04144","KEGG 04144 - Endocytosis",197,NA,0.00311607001823691,69,-1.67624755077221,0.0599400599400599,NA
"04146","KEGG 04146 - Peroxisome",75,NA,0.00311607001823691,27,1.46264752227171,0.243756243756244,NA
"04270","KEGG 04270 - Vascular smooth muscle contraction",107,-1.97029226232652,0.00311607001823691,37,-1.67306715161724,0.0822706705059646,TRUE
"04310","KEGG 04310 - Wnt signaling pathway",142,NA,0.00311607001823691,57,-1.4537982156916,0.128442985585843,NA
"04320","KEGG 04320 - Dorso-ventral axis formation",23,-2.16273168065592,0.00311607001823691,10,-1.3378419622396,0.243756243756244,TRUE
"04360","KEGG 04360 - Axon guidance",127,-4.4274735411657,0.00311607001823691,48,-1.52878444895838,0.124875124875125,TRUE
"04370","KEGG 04370 - VEGF signaling pathway",69,-2.46914581890946,0.00311607001823691,30,-1.27726702957301,0.237857380714524,TRUE
