"PATH","PathwayName","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Same_direction"
"00010","KEGG 00010",43,NA,0.00525777712866949,18,1.70410108180449,0.125800125800126,NA
"00190","KEGG 00190 - Oxidative phosphorylation",92,-3.27599124715493,0.00525777712866949,42,1.44926694443149,0.243756243756244,FALSE
"00230","KEGG 00230",132,NA,0.00525777712866949,36,1.47416756024436,0.23391242903438,NA
"00280","KEGG 00280",41,-1.97284419888968,0.00525777712866949,12,1.47991295345918,0.243756243756244,FALSE
"00380","KEGG 00380",25,NA,0.00525777712866949,12,-1.42835782874169,0.216925931211645,NA
"00480","KEGG 00480",40,NA,0.00525777712866949,17,1.90779968535099,0.0599400599400599,NA
"00510","KEGG 00510",45,-1.26491112527355,0.00525777712866949,23,1.78932663201835,0.124875124875125,FALSE
"00563","KEGG 00563",24,-1.54142442100964,0.00525777712866949,13,1.51452240082852,0.220831799779168,FALSE
"00640","KEGG 00640",28,-1.74768990324922,0.00525777712866949,6,1.45881479743401,0.220831799779168,FALSE
"03010","KEGG 03010 - Ribosome",85,-2.31637658675012,0.00525777712866949,47,3.63932514723238,0.0599400599400599,FALSE
"03013","KEGG 03013 - RNA transport",136,-1.88790466529426,0.00525777712866949,49,1.48222090946952,0.240668422486604,FALSE
"03015","KEGG 03015 - mRNA surveillance pathway",73,-1.42281780072943,0.00525777712866949,34,1.7651479927289,0.124875124875125,FALSE
"03018","KEGG 03018 - RNA degradation",62,NA,0.00525777712866949,22,1.72072221454273,0.124875124875125,NA
"04012","KEGG 04012 - ErbB signaling pathway",71,NA,0.00525777712866949,34,-1.62450971375563,0.0822706705059646,NA
"04141","KEGG 04141 - Protein processing in endoplasmic reticulum",150,NA,0.00525777712866949,63,1.85754335034878,0.0599400599400599,NA
"04146","KEGG 04146",67,-1.68488348000428,0.00525777712866949,27,1.46264752227171,0.243756243756244,FALSE
"04270","KEGG 04270",78,NA,0.00525777712866949,37,-1.67306715161724,0.0822706705059646,NA
"04360","KEGG 04360",104,NA,0.00525777712866949,48,-1.52878444895838,0.124875124875125,NA
"04370","KEGG 04370 - VEGF signaling pathway",55,NA,0.00525777712866949,30,-1.27726702957301,0.237857380714524,NA
"04512","KEGG 04512 - ECM-receptor interaction",68,-1.90271287352893,0.00525777712866949,22,-1.61332678914707,0.125800125800126,TRUE
"05012","KEGG 05012 - Parkinson disease",93,-3.65698261403623,0.00525777712866949,42,1.52536763449906,0.205676676264912,FALSE
"05016","KEGG 05016 - Huntington disease",147,NA,0.00525777712866949,53,1.58026484155002,0.167574361122748,NA
"00071","KEGG 00071",34,-1.0669874051678,0.014213331578601,13,1.89234038962075,0.0599400599400599,FALSE
"05219","KEGG 05219 - Bladder cancer",38,-1.14166520723436,0.0222235940490154,15,-1.60362914580452,0.124875124875125,TRUE
"04140","KEGG 04140 - Autophagy",19,-0.976453642297018,0.0334864252078367,6,1.46385965102544,0.220831799779168,FALSE
"00650","KEGG 00650",21,-0.684715874512586,0.0660301019582457,8,1.43283604548142,0.243756243756244,FALSE
"00982","KEGG 00982",29,-1.07798202883914,0.081767499483791,25,1.82211797189288,0.0822706705059646,FALSE
